Date,Open,High,Low,Close,Volume
2001-01-02,2.609375,2.609375,2.289063,2.316406,38233600
2001-01-03,2.314453,2.5,2.085938,2.412109,42412800
2001-01-04,2.433594,2.527344,2.05127,2.054688,40121600
2001-01-05,2.064453,2.068359,1.738281,1.828125,107948800
2001-01-08,1.830078,1.859375,1.554688,1.699219,104924800
2001-01-09,1.71875,1.769531,1.640625,1.689453,77571200
2001-01-10,1.65918,1.777832,1.658203,1.751953,53305600
2001-01-11,1.808594,1.818359,1.71875,1.779297,38502400
2001-01-12,1.75,1.960938,1.703125,1.86377,33148800
2001-01-16,1.898438,2.14209,1.878906,2.037109,47542400
2001-01-17,2.081055,2.085938,1.789063,1.849609,33747200
2001-01-18,1.851563,1.886719,1.765625,1.851563,45702400
2001-01-19,1.962891,1.978516,1.828125,1.861328,31382400
2001-01-22,1.880859,2.027344,1.875,1.931641,27097600
2001-01-23,1.97168,2.167969,1.912109,2.151855,41769600
2001-01-24,2.152344,2.164063,2.015625,2.044922,33664000
2001-01-25,2.068359,2.078125,2,2.050781,19331200
2001-01-26,1.990234,2.078125,1.96875,2.011719,27078400
2001-01-29,2.013672,2.189453,1.996094,2.15625,32451200
2001-01-30,2.160156,2.1875,2.087891,2.105469,16272000
2001-01-31,2.132813,2.154297,2.103516,2.115234,19267200
2001-02-01,2.123047,2.125,1.996094,2.017578,23692800
2001-02-02,2.017578,2.039063,1.933594,1.974609,22012800
2001-02-05,1.960938,2.003906,1.851563,1.925781,25974400
2001-02-06,1.908203,2.085938,1.906738,2.058594,27116800
2001-02-07,2.060547,2.064453,1.929688,2.029297,30108800
2001-02-08,2.042969,2.128906,1.882813,1.908203,66944000
2001-02-09,1.904297,1.988281,1.904297,1.969727,33257600
2001-02-12,1.964844,2.208984,1.955078,2.179688,54300800
2001-02-13,2.185547,2.285156,2.111328,2.113281,57667200
2001-02-14,2.113281,2.164063,2.025391,2.080078,29980800
2001-02-15,2.152344,2.152344,2.050781,2.082031,21059200
2001-02-16,2.025391,2.199219,2.025391,2.179688,23808000
2001-02-20,2.283203,2.3125,2.070313,2.191406,86531200
2001-02-21,2.15625,2.191406,2.046875,2.066406,33913600
2001-02-22,2.078125,2.078125,1.914063,1.980469,16435200
2001-02-23,1.988281,2.179688,1.96875,2.160156,31908800
2001-02-26,2.175781,2.289063,2.171875,2.28125,35779200
2001-02-27,2.28125,2.3125,2.199219,2.246094,25470400
2001-02-28,2.265625,2.339844,2.222656,2.335938,18251200
2001-03-01,2.308594,2.335938,2.050781,2.195313,31913600
2001-03-02,2.171875,2.292969,2.164063,2.242188,20952000
2001-03-05,2.257813,2.28125,2.097656,2.097656,14086400
