Date,Open,High,Low,Close,Volume
2004-06-10,6.333333,6.336667,6.033333,6.116667,35097600
2004-06-14,6.083333,6.126667,6.053333,6.066667,2313600
2004-06-15,6.07,6.25,6.07,6.25,2499600
2004-06-16,6.25,6.366667,6.25,6.333333,2810100
2004-06-17,6.353333,6.366667,6.266667,6.35,1390200
2004-06-18,6.35,6.396667,6.333333,6.343333,708300
2004-06-21,6.33,6.366667,6.3,6.363333,508500
2004-06-22,6.33,6.363333,6.3,6.353333,1125900
2004-06-23,6.283333,6.296667,6.156667,6.296667,1033500
2004-06-24,6.266667,6.35,6.25,6.333333,857700
2004-06-25,6.333333,6.35,6.25,6.333333,809100
2004-06-28,6.25,6.356667,6.216667,6.333333,1184400
2004-06-29,6.333333,6.366667,6.333333,6.366667,608700
2004-06-30,6.35,6.4,6.346667,6.366667,552600
2004-07-01,6.35,6.383333,6.333333,6.366667,380100
2004-07-02,6.35,6.383333,6.266667,6.383333,246600
2004-07-06,6.353333,6.366667,6.333333,6.363333,137100
2004-07-07,6.34,6.35,6.333333,6.35,181200
2004-07-08,6.363333,6.363333,6.336667,6.35,190500
2004-07-09,6.35,6.356667,6.333333,6.333333,226500
2004-07-12,6.333333,6.35,6.303333,6.303333,176700
2004-07-13,6.283333,6.353333,6.26,6.353333,578100
2004-07-14,6.34,6.373333,6.323333,6.366667,303600
2004-07-15,6.343333,6.35,6.303333,6.35,312900
2004-07-16,6.343333,6.36,6.3,6.3,268800
2004-07-19,6.3,6.333333,6.293333,6.333333,212700
2004-07-20,6.326667,6.346667,6.29,6.333333,505200
2004-07-21,6.326667,6.35,6.323333,6.336667,165000
2004-07-22,6.333333,6.406667,6.323333,6.406667,231000
2004-07-23,6.25,6.3,6.163333,6.3,1555800
2004-07-26,6.216667,6.26,6.213333,6.26,420900
2004-07-27,6.256667,6.28,6.256667,6.26,113700
2004-07-28,6.253333,6.303333,6.233333,6.286667,131100
2004-07-29,6.256667,6.3,6.256667,6.3,91800
2004-07-30,6.3,6.346667,6.276667,6.313333,1072200
2004-08-02,6.296667,6.346667,6.283333,6.34,203100
2004-08-03,6.34,6.406667,6.333333,6.39,222900
2004-08-04,6.35,6.366667,6.326667,6.35,386400
2004-08-05,6.5,6.666667,6.386667,6.57,1145100
2004-08-06,6.533333,6.533333,6.433333,6.473333,144900
2004-08-09,6.44,6.44,6.356667,6.36,469800
2004-08-10,6.333333,6.48,6.333333,6.433333,328800
2004-08-11,6.45,6.48,6.416667,6.433333,138900
2004-08-12,6.45,6.5,6.416667,6.416667,279600
2004-08-13,6.45,6.453333,6.373333,6.4,420300
