Date,Open,High,Low,Close,Volume
2019-01-02,229.73,231.23,226.73,228.08,165800
2019-01-03,228.18,231.26,223.89,224.3,180200
2019-01-04,224.5,228.34,224.11,226.28,446800
2019-01-07,227.52,234.82,227.26,233.67,354300
2019-01-08,235,236.91,232.48,235.53,235800
2019-01-09,236.61,241.4,236.61,237.37,266100
2019-01-10,235.88,242.15,235.68,240.87,227000
2019-01-11,240.3,242,238.2,241.42,127800
2019-01-14,238.5,239.45,236.37,236.37,261200
2019-01-15,236.68,239.28,236.68,237.9,282200
2019-01-16,238.75,240.53,236.32,236.56,216100
2019-01-17,236.23,239.65,235.44,237.84,248200
2019-01-18,239.81,242.55,237.89,239.65,321100
2019-01-22,238.87,240.9,234.29,235.52,167200
2019-01-23,236.31,237.71,233.18,237.09,162800
2019-01-24,237,239.03,236.29,237.07,146700
2019-01-25,238.55,240.68,236.53,240.31,205000
2019-01-28,237.86,238.21,235.52,238.07,124500
2019-01-29,238.04,241.9,238.01,239.3,190400
2019-01-30,240,245.1,238.48,244.98,198200
2019-01-31,244.56,250.11,243.74,249.87,222400
2019-02-01,249.75,252.63,248.08,251.12,264400
2019-02-04,251.38,251.38,247.9,250.7,186900
2019-02-05,250.85,253.2,249.73,250.15,174500
2019-02-06,250.14,253.36,248.43,252.7,206800
2019-02-07,251.51,252.64,246.7,248.03,227500
2019-02-08,246.44,249.02,245.59,248.85,278100
2019-02-11,250.3,254.86,250.05,252.93,468500
2019-02-12,254.41,259.35,253.11,258.1,368900
2019-02-13,258.6,262.38,256.25,261.79,277400
2019-02-14,261.48,265.74,260.37,261.42,226300
2019-02-15,262.99,270.49,262.38,270.34,268900
2019-02-19,269.33,270.34,266.95,270.06,274900
2019-02-20,270.23,273.05,269.23,272.74,202900
2019-02-21,273.28,275.8,271.25,274.34,233300
2019-02-22,275.35,275.71,271.7,274.26,247500
2019-02-25,276.02,277.36,274,275.22,261500
2019-02-26,273.48,275.71,271.83,272.87,202300
2019-02-27,272.31,275.5,271.13,273.99,225600
2019-02-28,273.71,275.58,268.96,270.9,409500
2019-03-01,302,323.95,302,317.41,952400
2019-03-04,315.5,316.35,309.33,312.79,479600
2019-03-05,313.72,316.52,311.01,312.32,300400
2019-03-06,311.58,312.76,307.26,308.73,274500
2019-03-07,306.81,306.81,301.87,302.6,338000
2019-03-08,300.41,305.21,299.55,303.86,430500
2019-03-11,305.18,309.36,304.58,308.27,381100
2019-03-12,308.95,310.91,306.33,308.87,205200
2019-03-13,310.55,313.07,308.47,309.42,240000
2019-03-14,309.52,312.98,307.79,311.87,237300
2019-03-15,312.24,313.11,309.07,310.33,297200
2019-03-18,310.17,313.8,308.44,313.67,384700
2019-03-19,315,317.52,312.62,314.12,228600
2019-03-20,313.82,314.74,310.72,310.72,222000
2019-03-21,308.7,315.74,308.44,315.57,120000
2019-03-22,314.07,314.95,305.4,305.59,188300
2019-03-25,305.03,308.95,302.33,307.19,196800
2019-03-26,309.44,310.87,306.8,307.69,211900
2019-03-27,307.12,308.02,299.54,302.42,179900
2019-03-28,302.74,304.32,297.09,303.75,109100
2019-03-29,306.01,307.4,304.65,305.68,280700
2019-04-01,308.44,310.51,305.12,307.4,199300
2019-04-02,307.7,311.54,305.28,309.14,193500
2019-04-03,311.62,311.73,304.85,305.88,227600
2019-04-04,306.49,307.09,302.31,305.8,123400
2019-04-05,305.99,310.51,305.99,308.61,156100
2019-04-08,307.34,310.15,305.02,309.84,95000
2019-04-09,307.87,308.44,304.95,305.92,201100
2019-04-10,306.84,308.06,305.03,307.6,318100
2019-04-11,307.87,308.44,305.43,305.98,157000
2019-04-12,308.06,310.67,305.42,308.53,329700
2019-04-15,308.58,309.95,306.39,306.74,264400
2019-04-16,308.16,309.83,300.65,301.44,226300
2019-04-17,301.96,301.96,287.89,291.83,364400
2019-04-18,293.37,295.6,288.39,294.13,262700
2019-04-22,293.49,297.43,292.47,293.49,156000
2019-04-23,293,295.98,289.03,295.14,275500
2019-04-24,294.85,295.75,291.4,293.78,194800
2019-04-25,293.36,299.32,291.73,298.9,183600
2019-04-26,298.75,301.9,296.86,301.8,227400
2019-04-29,301.65,302.44,298.97,299.24,81200
2019-04-30,298.67,301.63,295.94,300.93,118200
2019-05-01,301.35,301.35,296.58,297.08,114100
2019-05-02,296.87,302.95,293.98,302.2,154100
2019-05-03,303.93,309.34,302.27,308.36,161700
2019-05-06,303.64,308.17,301.45,306.3,228000
2019-05-07,303.78,304.72,296.33,297.69,133100
2019-05-08,297.93,299.45,295,296.51,343500
2019-05-09,306,319.99,306,309.28,411100
2019-05-10,307,312.86,301.09,311.1,395400
2019-05-13,304.19,304.19,295.23,296.28,281100
2019-05-14,297.32,298.06,291.02,291.97,274600
2019-05-15,289.88,294.66,287.31,294.35,182100
2019-05-16,296.22,300.94,289.71,299.26,169100
2019-05-17,296.21,304,295.29,296.72,197400
2019-05-20,294.45,295.29,290.69,292.84,152500
2019-05-21,294.6,298.77,291.61,294.35,182600
2019-05-22,293.87,296.78,292.24,295.35,148700
2019-05-23,292.86,295.1,291.64,293.96,113400
2019-05-24,295.49,298.51,293.21,293.37,89400
2019-05-28,294.33,296.54,288.91,289.12,112000
2019-05-29,287.49,290.14,286.23,288.08,86600
2019-05-30,288.69,288.69,284.4,287.25,72400
2019-05-31,283.95,287.82,281.66,286.93,129200
2019-06-03,287.25,290.23,286,288.24,144700
2019-06-04,290.51,294.58,290.36,291.8,196900
2019-06-05,293.03,293.46,286.02,287.7,362200
2019-06-06,288.41,291.65,286.48,287.87,177600
