Date,Open,High,Low,Close,Volume
2019-01-02,26.41,27.88,26.32,27.59,3340400
2019-01-03,27.26,27.57,26.78,26.96,3065300
2019-01-04,27.47,28.86,27.45,28.55,4038600
2019-01-07,28.55,29.6,28.25,29.18,3795800
2019-01-08,29.14,29.92,28.47,29.48,4255900
2019-01-09,29.8,30.4,29.56,30.18,4252600
2019-01-10,29.84,30.22,29.55,30.08,3064200
2019-01-11,30,30.44,29.67,29.82,3002600
2019-01-14,29.5,30.01,29.08,29.65,3386200
2019-01-15,29.77,30.55,29.77,30.53,3555600
2019-01-16,30.55,31.45,30.31,31.09,4160900
2019-01-17,30.95,32.05,30.95,31.61,5880500
2019-01-18,31.99,32.84,31.83,32.4,5506900
2019-01-22,31.97,32.01,30.69,30.96,5542100
2019-01-23,31.05,31.7,30.14,30.29,3926300
2019-01-24,30.49,31.73,30.34,31.69,4773400
2019-01-25,32,32.35,31.71,32.31,3881100
2019-01-28,32,32.41,31.77,31.89,3700800
2019-01-29,32.09,32.23,31.03,31.69,2791900
2019-01-30,32,32.49,31.71,32.43,2848200
2019-01-31,32.69,33.64,32.6,33.3,5515900
2019-02-01,33.28,34,33.25,33.53,3298100
2019-02-04,33.24,33.78,33.12,33.66,1975000
2019-02-05,34.09,34.72,33.92,34.26,3766200
2019-02-06,34.24,34.25,33.7,33.9,2241200
2019-02-07,33.62,33.62,31.91,32.1,4000400
2019-02-08,32.01,32.49,31.76,32.38,2479900
2019-02-11,32.75,33.24,32.31,33,2502900
2019-02-12,33.51,33.9,33.2,33.68,3666100
2019-02-13,33.57,34.23,33.53,33.87,2688300
2019-02-14,33.71,33.92,33.18,33.74,3166700
2019-02-15,33.83,33.93,33.22,33.32,2421100
2019-02-19,33.04,33.52,33.01,33.33,6380900
2019-02-20,33.61,34.42,33.5,33.8,5304500
2019-02-21,33.72,33.85,32.26,32.52,4975500
2019-02-22,32.68,33.29,32.16,32.79,6226900
2019-02-25,33.95,34.27,33.44,34.09,6512100
2019-02-26,33.72,34.41,33.43,34.19,3704500
2019-02-27,34,34.08,33.38,33.92,4103300
2019-02-28,33.99,34.33,33.47,34.13,4119600
2019-03-01,34.57,35.59,34.19,34.36,4825900
2019-03-04,34.71,35.44,34.39,34.99,9174500
2019-03-05,39.79,43,39.28,41.91,38509500
2019-03-06,41,42.86,40.55,42.59,17486200
2019-03-07,41.35,41.95,39.42,40.28,14802300
2019-03-08,38.53,41,38.53,40.81,8168300
2019-03-11,40.9,42.5,40.8,41.92,7086900
2019-03-12,42,42.52,41.05,41.38,5681800
2019-03-13,41.42,41.84,41.19,41.64,4995500
2019-03-14,41.01,42.19,40.88,41.28,3860600
2019-03-15,41.52,42.14,41.37,41.67,5154200
2019-03-18,41.72,42.46,41.58,42.41,5081000
2019-03-19,42.27,42.5,41.39,41.94,3278400
2019-03-20,41.41,41.75,40.58,41.48,3576700
2019-03-21,41.07,41.84,40.78,41.79,3318100
2019-03-22,41.39,41.57,39.96,40.26,3845900
2019-03-25,39.88,41.29,39.62,41.28,4599100
2019-03-26,41.28,41.44,40.4,40.79,3277100
2019-03-27,41.04,43,40.83,42.31,8445900
2019-03-28,42.17,43.55,42.09,43.47,7551300
2019-03-29,43.72,44.77,43.61,43.69,5734600
2019-04-01,44.5,45.43,44.2,45.19,7600000
2019-04-02,45,45.44,44.4,44.62,3590300
2019-04-03,44.79,45.79,44.61,45.13,4537900
2019-04-04,44.71,45.3,43.86,44.43,4627900
2019-04-05,44.35,45.76,44.31,45.75,4008900
2019-04-08,45.5,46.12,44.9,46.01,4640400
2019-04-09,45,45.72,44.66,45.36,5163300
2019-04-10,45.3,45.55,44.45,44.97,3056800
2019-04-11,44.71,44.87,44.24,44.3,2786700
2019-04-12,45.48,46.5,44.89,44.98,4197900
2019-04-15,44.97,45.05,43.72,44.13,3084000
2019-04-16,44.99,44.99,44.14,44.33,2150100
2019-04-17,44.67,44.73,43.5,43.95,3863500
2019-04-18,44.01,44.53,43.64,44.43,3049900
2019-04-22,43.9,43.9,43.18,43.53,3418900
2019-04-23,43.13,43.86,42.74,43.84,5065400
2019-04-24,43.45,43.99,42.06,42.94,3924000
2019-04-25,42.59,42.79,41.88,42.5,4045500
2019-04-26,42.84,43.33,42.42,43.28,2055000
2019-04-29,43.44,44.07,43.27,44.01,2120400
2019-04-30,43.66,44.35,43.35,44.05,1915900
2019-05-01,44.32,44.59,43.43,43.54,1908300
2019-05-02,43.28,43.87,42.89,43.29,1975700
2019-05-03,43.29,44.28,43.2,44.18,2081200
2019-05-06,41.93,42.16,40.9,41.95,6668700
2019-05-07,41.96,42.16,40.38,41.04,5109900
2019-05-08,40.81,41.19,40.29,40.64,2895500
2019-05-09,39.95,40.89,39.21,40.63,5686500
2019-05-10,41.22,41.4,39.12,40,4841700
2019-05-13,38.56,39.07,38,38.07,5484900
2019-05-14,38.55,39.03,37.58,38.85,4034400
2019-05-15,38.97,39.43,38.26,38.96,2850400
2019-05-16,39.06,39.95,38.45,38.81,3064000
2019-05-17,38.12,38.25,36.5,36.7,7147900
2019-05-20,35.97,36.46,35.48,36.04,4939500
2019-05-21,36.5,38.72,36.2,37.89,7611500
2019-05-22,37.6,38.37,37.34,37.66,6626300
2019-05-23,36.4,36.67,34.87,36.46,8974700
2019-05-24,37.09,37.46,35.08,35.18,4762400
2019-05-28,35.41,35.99,34.31,34.36,6759200
2019-05-29,34.09,34.28,33.17,34.07,5473500
2019-05-30,33.79,34.9,33.5,34.68,3261600
2019-05-31,34.09,34.83,33.99,34.56,2852900
2019-06-03,34.49,34.76,33.66,33.96,4113600
2019-06-04,33.97,35.01,33.75,34.87,3409700
2019-06-05,35.21,35.36,33.05,33.73,4949400
2019-06-06,33.58,34,33.39,33.58,2619800
2019-06-07,33.72,34.25,33.51,33.95,3379300
2019-06-10,34.42,35.74,34.13,35.1,4791400
2019-06-11,35.9,36.8,35.55,36.19,5026600
2019-06-12,35.22,35.5,34.64,35.2,3843100
2019-06-13,35.28,35.68,34.34,34.54,3191400
2019-06-14,34.17,34.3,33.25,33.47,4854800
2019-06-17,33.8,34.2,33.45,33.86,3129000
2019-06-18,34.19,36.07,34.18,35.99,6818700
2019-06-19,36.3,36.89,35.96,36.63,3952400
2019-06-20,37.52,38.11,36.45,36.48,4793700
2019-06-21,36.05,36.59,36,36.05,4087800
2019-06-24,36.05,36.53,35.83,36.43,3166300
2019-06-25,36.22,36.37,34.72,35,3039400
2019-06-26,35.58,37,35.52,36.79,4687900
2019-06-27,37.01,37.51,36.77,37.11,3521000
2019-06-28,37.39,37.39,36.57,36.91,3177600
2019-07-01,38.58,39.69,38.3,38.66,6679600
2019-07-02,38.43,39.3,38.32,38.88,3248500
2019-07-03,38.96,39.01,38.17,38.69,1687000
2019-07-05,38.2,38.67,38.05,38.57,1528000
2019-07-08,38.04,38.14,36.74,36.8,2826600
2019-07-09,36.68,37.97,36.53,37.94,3228200
2019-07-10,38.46,38.88,37.79,37.96,2547000
2019-07-11,37.96,38.1,37.21,37.39,1610800
2019-07-12,37.71,37.85,37.04,37.25,1877200
2019-07-15,37.55,37.63,36.96,37.35,2339300
2019-07-16,37.47,37.47,36.84,36.86,1627300
2019-07-17,37.39,38.96,37.26,37.6,3487200
2019-07-18,37.69,38.04,37.33,38.01,2224400
2019-07-19,38.25,38.95,37.97,38.16,3270000
2019-07-22,38.06,38.64,38,38.56,2588300
2019-07-23,38.69,40.91,38.69,40.76,6605400
2019-07-24,40.5,40.75,39.95,40.28,3194400
2019-07-25,40.27,40.73,39.91,40.33,3035900
2019-07-26,40.49,40.53,38.99,39.19,4050000
2019-07-29,39.11,39.5,38.53,39.33,1691600
2019-07-30,38.93,39.3,38.63,39.21,2064600
2019-07-31,39.15,39.37,38.35,38.98,2541400
2019-08-01,38.98,39.87,37.05,37.29,4450400
2019-08-02,36.91,37.05,35.85,36.44,3562700
2019-08-05,34.67,35.01,32.72,33.5,8965400
2019-08-06,34.15,34.77,33.92,33.99,3559500
2019-08-07,33.33,34.3,32.87,34.15,2830900
2019-08-08,34.5,35,34.09,34.99,2299800
2019-08-09,34.49,34.62,33.71,33.93,1654800
2019-08-12,33.25,33.34,32.73,32.74,4947300
2019-08-13,32.78,34.2,32.14,33.44,3581300
2019-08-14,32.83,32.83,31.64,32.13,3742200
2019-08-15,32.51,32.9,31.84,32.36,2257900
2019-08-16,33.17,33.78,32.8,33.53,2853800
2019-08-19,34.48,35.37,34.38,35.3,4894200
2019-08-20,34.79,35.6,34.79,35.26,2659500
2019-08-21,35.66,35.7,34.62,34.7,2158500
2019-08-22,34.5,34.6,32.96,33.32,3242200
2019-08-23,33.03,33.36,31.93,32.14,3708000
2019-08-26,32.53,32.81,31.84,31.86,3467000
2019-08-27,31.88,32.12,31.18,31.39,3794600
2019-08-28,31.38,31.99,31.01,31.68,2908100
2019-08-29,32.21,32.32,31.75,31.87,5245800
2019-08-30,32.19,32.74,31.98,32.38,5355400
2019-09-03,32.27,32.27,31.36,31.58,5091900
2019-09-04,32.77,33.33,32.35,32.87,6412100
2019-09-05,33.11,34.85,33.11,34.1,6191200
2019-09-06,34.2,35.15,33.88,34.93,4623800
2019-09-09,34.75,35.17,34.35,35.11,4763800
2019-09-10,34.2,35.47,33.55,34.17,9638900
2019-09-11,34.41,36.6,34.12,36.12,7223800
2019-09-12,36.41,36.41,34.76,34.83,4971500
2019-09-13,35.46,36.13,35.32,36.01,3453800
2019-09-16,34.93,35.66,34.92,35.63,2605400
2019-09-17,35.5,35.5,34.92,35.24,3316600
2019-09-18,35.2,35.5,33.77,34.03,4094300
