Date,Open,High,Low,Close,Volume
2009-01-02,39,41.25,39,41.1,425200
2009-01-05,40.69,41.58,40.6,41.07,586600
2009-01-06,41.29,41.65,40.36,41,686800
2009-01-07,40.49,41.08,40,40.5,819700
2009-01-08,40.15,40.15,39.19,39.98,436900
2009-01-09,39.98,40.03,38.64,38.83,381700
2009-01-12,38.52,38.59,36.94,37.2,574200
2009-01-13,37.35,37.42,36.13,36.67,577600
2009-01-14,36.13,36.15,35.11,35.28,644500
2009-01-15,35.17,35.77,34.29,35.4,729500
2009-01-16,36.03,36.5,34.74,35.81,456800
2009-01-20,35.66,35.78,32.83,32.93,962800
2009-01-21,33.36,34.03,32.58,33.9,1008200
2009-01-22,33.14,33.61,32.25,33.08,857800
2009-01-23,32.36,32.71,31.74,32.22,619500
2009-01-26,32.3,32.69,31.6,32.27,566300
2009-01-27,32.44,32.96,32.16,32.66,345200
2009-01-28,33.05,34.31,33.05,33.81,990800
2009-01-29,32.87,32.87,31.05,31.12,978700
2009-01-30,31.54,31.54,29.89,30.18,898900
2009-02-02,29.86,30.1,29.2,29.55,759500
2009-02-03,29.45,31.34,29.11,31.2,1016800
2009-02-04,30.37,31.48,29.6,30.36,1344700
2009-02-05,30.29,30.63,29.37,30.1,830500
2009-02-06,30.01,31.99,30.01,31.62,692300
2009-02-09,31.48,31.74,30.9,31.22,830000
2009-02-10,30.86,31.22,29.6,29.73,713600
2009-02-11,29.72,30.33,29.26,29.69,730200
2009-02-12,29.13,29.3,27.59,28.81,1528900
2009-02-13,28.35,28.98,28.12,28.46,566400
2009-02-17,27.85,27.85,26.05,27.02,1030200
2009-02-18,27.12,27.31,26.38,26.92,1112900
2009-02-19,26.84,27.11,26.17,26.29,705200
2009-02-20,25.98,27.08,25.03,25.53,984900
2009-02-23,25.89,25.89,24.25,24.3,734600
2009-02-24,24.47,25.33,24.1,25.01,920800
2009-02-25,24.97,25.14,24.17,24.45,715400
2009-02-26,24.84,25.59,24.2,24.24,951900
2009-02-27,24.04,24.18,23.54,23.59,971700
2009-03-02,23.25,23.47,22.3,22.35,988500
2009-03-03,22.62,22.95,21.94,21.98,1244500
2009-03-04,22.21,22.53,22.06,22.21,912400
2009-03-05,21.77,21.77,20.51,20.66,792800
2009-03-06,21.45,22.05,20.94,21.52,1426200
2009-03-09,21.18,21.67,20.61,20.77,758400
2009-03-10,21.09,23.19,21.03,23.17,1014000
2009-03-11,23.14,23.87,22.53,22.93,1114800
2009-03-12,22.84,23.92,22.1,23.87,617600
2009-03-13,23.9,24.65,23.86,24.24,554900
2009-03-16,24.3,25,24.08,24.33,475000
2009-03-17,24.22,25.37,24.02,25.37,504200
2009-03-18,24.96,26.65,24.8,26.48,631300
2009-03-19,26.49,27.08,26.11,26.28,534600
2009-03-20,26.44,26.54,25.03,25.26,551800
2009-03-23,25.76,27.68,25.55,27.52,579100
2009-03-24,26.91,27.25,26.56,26.84,483000
2009-03-25,26.94,28.35,26.46,26.94,959600
