Date,Open,High,Low,Close,Volume
2014-01-02,70.11,70.23,69.48,69.89,1148400
2014-01-03,69.89,70.21,69.81,69.94,1101300
2014-01-06,70.34,70.54,69.35,69.69,1301400
2014-01-07,69.82,70.92,69.82,70.45,1531600
2014-01-08,70.33,71.41,70.28,71.14,2084000
2014-01-09,71.45,71.92,71.1,71.38,1610000
2014-01-10,71.49,71.55,71.04,71.34,1582600
2014-01-13,71.42,71.75,70.38,70.61,1806500
2014-01-14,70.66,70.96,69.61,70.54,2427300
2014-01-15,70.74,70.74,70.03,70.55,1251500
2014-01-16,70.6,70.68,70.26,70.5,1082200
2014-01-17,70.68,70.94,70.32,70.53,1545100
2014-01-21,70.88,71.17,70.27,70.52,1368000
2014-01-22,70.8,70.87,69.8,70.28,1845400
2014-01-23,70,70.88,69.22,69.64,2110900
2014-01-24,69.27,69.83,67.25,67.25,3513300
2014-01-27,67.04,67.51,66.64,66.81,2836200
2014-01-28,66.74,67.89,66.69,67.72,1897300
2014-01-29,66.67,67.92,66.67,67.26,1906900
2014-01-30,67.65,68.15,67.65,67.77,1437200
2014-01-31,66.6,67.49,66.13,67.22,3733500
2014-02-03,67.13,67.13,65.1,65.17,3542200
2014-02-04,65.38,65.68,64.86,65.01,1865000
2014-02-05,64.82,65.12,64.28,64.72,2421400
2014-02-06,64.86,65.61,64.4,65.51,1553900
2014-02-07,65.88,66.59,65.7,66.54,1551300
2014-02-10,66.46,66.48,65.72,66.37,2913600
2014-02-11,66.23,67.89,66.19,67.56,2487800
2014-02-12,67.81,68.82,67.58,67.74,1965400
2014-02-13,67.37,68.19,66.88,67.89,1286200
2014-02-14,67.73,68.36,67.6,68,1110500
2014-02-18,68.06,68.96,67.99,68.5,1544800
2014-02-19,68.12,69.02,67.98,68.11,1937400
2014-02-20,68.4,68.65,67.57,68.39,1469800
2014-02-21,68.42,69.15,68.16,68.4,1113100
2014-02-24,68.31,69.22,68.31,68.58,1363100
2014-02-25,68.39,68.99,68.24,68.72,1497200
2014-02-26,68.87,69.17,67.96,68.26,1539100
2014-02-27,68.01,68.31,67.65,68.01,1401600
2014-02-28,68.17,68.38,67.47,67.85,1681800
2014-03-03,67.11,67.69,66.97,67.5,1389800
2014-03-04,68.03,68.94,67.97,68.76,2309100
2014-03-05,69,69.15,68.7,68.89,1426900
2014-03-06,69,69.45,68.75,68.75,1495300
2014-03-07,69.25,69.27,68.56,68.94,1783400
2014-03-10,68.91,69.65,68.75,69.1,1232100
2014-03-11,69.11,69.47,68.17,68.34,1562700
2014-03-12,67.76,67.85,66.97,67.68,1944500
2014-03-13,68.01,68.21,67.55,67.79,1897100
2014-03-14,67.66,67.95,67.4,67.57,1672800
2014-03-17,67.73,68.18,67.64,68.08,1444600
2014-03-18,68.08,68.43,67.78,67.85,1604600
2014-03-19,68.05,68.1,66.59,66.87,1337700
2014-03-20,66.74,66.9,66.26,66.48,1526300
2014-03-21,66.55,66.63,64.56,64.82,3534800
2014-03-24,65.29,65.49,63.53,64.32,2792900
2014-03-25,64.61,65.31,63.98,64.56,1948600
2014-03-26,64.92,65.59,64.78,64.85,2186700
2014-03-27,64.81,64.82,63.72,64.11,2184400
2014-03-28,64.25,65.03,64.2,64.82,1672000
2014-03-31,65.3,65.64,65.06,65.59,1479300
2014-04-01,65.6,65.92,65.32,65.91,1747300
2014-04-02,65.75,66.37,65.55,65.58,1836200
2014-04-03,65.81,65.91,65.38,65.8,2173400
2014-04-04,65.99,66.34,64.85,65.05,1965800
2014-04-07,64.94,65.08,63.61,64.18,3037900
2014-04-08,64.14,64.48,63.4,64.17,1907300
2014-04-09,64.77,65.71,64.64,65.64,2409100
2014-04-10,65.91,66.18,64.74,65,2105700
2014-04-11,64.53,65.25,63.86,64.17,2587400
2014-04-14,64.44,64.68,63.85,64.51,1432200
2014-04-15,64.56,64.91,63.23,64.22,2011100
2014-04-16,64.87,65.14,64.3,64.95,1392900
2014-04-17,64.75,65.09,64.48,64.68,1049600
2014-04-21,64.21,65.15,64.21,64.8,1224700
2014-04-22,64.8,65.49,64.66,64.68,1602800
2014-04-23,64.8,65.19,64.5,64.84,1399800
2014-04-24,66,66.81,63.76,64.89,3612700
2014-04-25,64.53,64.79,62.55,62.83,2935500
2014-04-28,63.25,63.68,62.69,63.45,1667000
2014-04-29,63.7,64.3,63.56,63.99,1758500
2014-04-30,63.75,65.29,63.59,65.18,3099900
2014-05-01,64.76,65.17,63.85,64.87,2151100
2014-05-02,64.89,64.89,64.15,64.27,1797000
2014-05-05,64,65.3,63.88,65.1,1767300
2014-05-06,64.71,65,64.57,64.77,1445800
2014-05-07,64.87,64.96,64.26,64.54,1946700
2014-05-08,64.39,65.26,64.19,64.4,1586500
2014-05-09,64.52,65.75,64.02,65.58,2715800
2014-05-12,65.98,66.72,65.87,66.67,1719600
2014-05-13,66.55,67,66.05,66.85,2622500
2014-05-14,66.86,67.42,66.7,67.3,1976800
2014-05-15,66.89,67.51,66.69,67.5,1934900
2014-05-16,67.36,68.34,67.31,68.31,2558300
2014-05-19,68.53,69.5,68.31,69.42,3277700
2014-05-20,69.41,69.88,68.79,69.79,1907700
2014-05-21,69.79,70.81,69.79,70.71,2327400
2014-05-22,70.78,71.66,70.58,71.35,1772200
2014-05-23,71.55,71.71,71.15,71.64,1155100
2014-05-27,71.76,72.41,71.71,72.4,1521100
2014-05-28,72.36,72.84,72.09,72.68,2384800
2014-05-29,72.69,73.42,72.69,73.28,1611700
2014-05-30,73.34,73.57,72.72,73.18,3909700
