Date,Open,High,Low,Close,Volume
1995-04-04,2.9375,2.96875,2.8125,2.953125,40387200
1995-04-05,2.90625,2.96875,2.84375,2.84375,12236800
1995-04-06,2.84375,2.9375,2.84375,2.890625,3776000
1995-04-07,2.90625,2.90625,2.84375,2.84375,1920800
1995-04-10,2.84375,2.90625,2.84375,2.875,2047200
1995-04-11,2.84375,2.90625,2.84375,2.859375,4096800
1995-04-12,2.84375,2.875,2.84375,2.859375,2457600
1995-04-13,2.84375,2.875,2.84375,2.875,2297600
1995-04-17,2.84375,2.953125,2.84375,2.953125,2233600
1995-04-18,2.890625,2.953125,2.875,2.9375,2441600
1995-04-19,2.875,2.90625,2.8125,2.84375,1422400
1995-04-20,2.8125,2.8125,2.71875,2.734375,1023200
1995-04-21,2.71875,2.8125,2.71875,2.796875,2803200
1995-04-24,2.75,2.8125,2.75,2.75,644800
1995-04-25,2.75,2.8125,2.75,2.8125,484800
1995-04-26,2.75,2.8125,2.75,2.75,151200
1995-04-27,2.75,2.8125,2.75,2.78125,3552000
1995-04-28,2.78125,2.8125,2.765625,2.765625,1076000
1995-05-01,2.8125,2.8125,2.765625,2.765625,2287200
1995-05-02,2.765625,2.890625,2.765625,2.84375,1212000
1995-05-03,2.8125,2.890625,2.78125,2.859375,791200
1995-05-04,2.84375,2.890625,2.8125,2.8125,1011200
1995-05-05,2.8125,2.875,2.8125,2.8125,164000
1995-05-08,2.8125,2.890625,2.8125,2.8125,59200
1995-05-09,2.8125,2.84375,2.734375,2.75,592800
1995-05-10,2.8125,2.8125,2.734375,2.75,817600
1995-05-11,2.75,2.8125,2.734375,2.75,615200
1995-05-12,2.8125,2.8125,2.734375,2.75,1013600
1995-05-15,2.796875,2.796875,2.703125,2.703125,3689600
1995-05-16,2.703125,2.734375,2.703125,2.71875,2481600
1995-05-17,2.734375,2.734375,2.703125,2.710938,328000
1995-05-18,2.703125,2.71875,2.59375,2.640625,514400
1995-05-19,2.625,2.640625,2.59375,2.609375,1853600
1995-05-22,2.640625,2.65625,2.59375,2.65625,432800
1995-05-23,2.59375,2.765625,2.59375,2.75,809600
1995-05-24,2.71875,2.8125,2.71875,2.8125,1676800
1995-05-25,2.8125,2.8125,2.71875,2.8125,209600
1995-05-26,2.8125,2.8125,2.71875,2.8125,64000
1995-05-30,2.78125,2.84375,2.71875,2.78125,558400
1995-05-31,2.828125,2.84375,2.78125,2.84375,487200
1995-06-01,2.859375,3,2.8125,2.875,1427200
1995-06-02,2.875,3.0625,2.875,3,1112800
1995-06-05,3,3.0625,3,3.015625,799200
1995-06-06,3.0625,3.0625,3,3,264800
