Date,Open,High,Low,Close,Volume
2015-01-02,14.858,14.8833,14.2173,14.6207,71466000
2015-01-05,14.3033,14.4333,13.8107,14.006,80527500
2015-01-06,14.004,14.28,13.614,14.0853,93928500
2015-01-07,14.2233,14.3187,13.9853,14.0633,44526000
2015-01-08,14.1873,14.2533,14.0007,14.0413,51637500
2015-01-09,13.928,13.9987,13.664,13.7773,70024500
2015-01-12,13.5367,13.6313,13.2833,13.4807,89254500
2015-01-13,13.5547,13.8407,13.394,13.6167,67159500
2015-01-14,12.3887,13.0133,12.3333,12.846,173278500
2015-01-15,12.966,13.05,12.6667,12.7913,78247500
2015-01-16,12.7133,12.966,12.6433,12.8713,54048000
2015-01-20,12.9247,12.9413,12.4693,12.7953,67548000
2015-01-21,12.6367,13.2453,12.634,13.1047,62295000
2015-01-22,13.1333,13.5493,13.0133,13.4413,61753500
2015-01-23,13.3527,13.5667,13.222,13.4193,51579000
2015-01-26,13.4553,13.908,13.4033,13.77,48517500
2015-01-27,13.628,13.8687,13.5533,13.732,41715000
2015-01-28,13.7407,13.758,13.228,13.2913,47244000
2015-01-29,13.4047,13.732,13.1,13.68,53221500
2015-01-30,13.5973,13.8313,13.5333,13.5733,45105000
2015-02-02,13.598,14.13,13.5533,14.0627,62238000
2015-02-03,14.2147,14.6913,14.0847,14.5573,72393000
2015-02-04,14.5527,14.7653,14.4533,14.57,49581000
2015-02-05,14.6587,15.032,14.6427,14.7327,52843500
2015-02-06,14.8,14.8933,14.4333,14.4907,48658500
2015-02-09,14.3587,14.5287,14.1327,14.4987,52086000
2015-02-10,14.5033,14.7,14.3333,14.4193,80857500
2015-02-11,14.1473,14.316,13.8187,14.1867,146536500
2015-02-12,12.9047,13.5393,12.8853,13.5253,234744000
2015-02-13,13.5267,13.7327,13.394,13.5847,92865000
2015-02-17,13.7133,13.7133,13.4333,13.6233,59694000
2015-02-18,13.6113,13.7447,13.5067,13.6307,40704000
2015-02-19,13.6667,14.1627,13.5833,14.114,77311500
2015-02-20,14.052,14.5067,13.9873,14.474,89731500
2015-02-23,14.3773,14.5467,13.7553,13.8227,127497000
2015-02-24,13.8193,13.8193,13.4467,13.6073,99054000
2015-02-25,13.6627,13.8093,13.5053,13.584,58642500
2015-02-26,13.6,14.0727,13.4813,13.8127,97093500
2015-02-27,13.7933,13.9033,13.52,13.556,58231500
2015-03-02,13.5133,13.556,13.0553,13.1553,118831500
2015-03-03,13.1207,13.3493,13.0213,13.304,66484500
2015-03-04,13.2833,13.5013,13.1473,13.496,63330000
2015-03-05,13.5233,13.746,13.3433,13.3753,73155000
2015-03-06,13.2807,13.3833,12.81,12.9253,100686000
2015-03-09,12.9593,12.966,12.55,12.7253,101050500
2015-03-10,12.564,12.9,12.5067,12.688,83695500
2015-03-11,12.7433,13.0787,12.734,12.916,74623500
2015-03-12,12.9167,12.9633,12.65,12.738,62239500
2015-03-13,12.5967,12.7833,12.488,12.5787,81514500
2015-03-16,12.8,13.0607,12.6533,13.0467,84432000
2015-03-17,13.0287,13.2473,12.9293,12.982,73411500
2015-03-18,12.9973,13.392,12.874,13.3807,72313500
2015-03-19,13.4667,13.6393,12.9687,13.0433,127128000
2015-03-20,13.1633,13.266,13.0413,13.2053,64042500
2015-03-23,13.2333,13.3667,13.1647,13.3087,39474000
2015-03-24,13.4387,13.586,13.3167,13.448,54748500
2015-03-25,13.218,13.2393,12.8467,12.9533,85956000
2015-03-26,12.928,12.986,12.6467,12.694,61920000
2015-03-27,12.6047,12.6193,12.0933,12.3333,129073500
2015-03-30,12.39,12.8167,12.12,12.7047,151342500
2015-03-31,12.902,12.9173,12.5607,12.5847,75399000
2015-04-01,12.58,12.82,12.4033,12.506,56919000
2015-04-02,12.682,12.882,12.6667,12.7333,75156000
2015-04-06,13.2,13.85,13.1667,13.54,186837000
2015-04-07,13.5007,13.6707,13.4093,13.55,65218500
