Date,Open,High,Low,Close,Volume
2021-01-04,52.17,52.19,48.81,49.24,2218700
2021-01-05,48.84,50.69,48.79,49.86,1644900
2021-01-06,49.85,52.12,49.52,51.52,2015000
2021-01-07,51.72,52.46,51.28,51.32,1227900
2021-01-08,51.79,51.93,50.48,50.98,1043900
2021-01-11,50.1,50.85,49.6,50.15,1955800
2021-01-12,50.43,51.9,50.14,51.69,1958800
2021-01-13,51.46,52.37,50.63,51.85,1652500
2021-01-14,52.51,56.14,52.32,55.42,3174900
2021-01-15,55.53,56.18,53.57,53.65,2052400
2021-01-19,54.47,55.12,53.42,54.71,1194000
2021-01-20,54.99,56.1,54.66,55.81,1151600
2021-01-21,54.86,55.64,54.16,54.96,1334700
2021-01-22,54.2,54.65,53.71,54.47,935800
2021-01-25,54,54.05,51.23,52.9,2800300
2021-01-26,53.5,53.65,51.62,51.83,2737000
2021-01-27,50.97,51.22,48.09,48.85,3787600
2021-01-28,50.08,51.98,50.01,50.67,2884400
2021-01-29,50.48,50.56,48.13,48.83,2231000
2021-02-01,49.36,50.56,48.25,49.89,2704700
2021-02-02,50.85,51.24,50.18,50.66,2376100
2021-02-03,51.25,52.74,50.76,52.54,1530800
2021-02-04,52.8,54.71,52.72,54.48,1745400
2021-02-05,54.98,55.15,54.05,54.18,1163500
2021-02-08,54.6,57.6,54.59,57.08,1755200
2021-02-09,56.48,56.59,55.57,55.74,1296300
2021-02-10,56.11,57.68,55.65,57.36,1445100
2021-02-11,57.04,57.74,56.45,57.69,1362100
2021-02-12,57.19,58.17,56.92,57.56,967300
2021-02-16,58.54,60.1,57.69,59.94,1650700
2021-02-17,59.38,60.25,58.94,59.99,1355100
2021-02-18,59.21,60.18,58.43,59.9,1415500
2021-02-19,60.42,62.86,60.18,62.28,1986500
2021-02-22,63.91,66.13,62.64,63.61,4115900
2021-02-23,64.72,66.97,62.15,66.52,3113300
2021-02-24,66.9,68.99,66.64,67.45,3229500
2021-02-25,67.49,67.89,64.07,65.56,2035100
2021-02-26,65.32,66.57,63.58,65.02,2203700
2021-03-01,67.08,67.67,64.31,64.83,2444200
2021-03-02,64.57,65.82,64.05,65.42,1094500
2021-03-03,66.13,67.22,65.18,65.96,1212000
2021-03-04,65.32,66.7,61.85,64.62,1593000
2021-03-05,65.04,65.29,59.69,64.89,1784000
2021-03-08,65.99,69.17,65.61,67.99,2201400
2021-03-09,68.66,68.75,66.21,66.89,1448800
2021-03-10,66.36,67.68,65.15,66.39,1648300
2021-03-11,66.86,66.99,65.11,65.69,1998700
2021-03-12,66.01,68.88,65.8,68.02,1865600
2021-03-15,69.44,72.62,68.86,71.98,3736000
2021-03-16,72.41,72.5,70.2,70.6,2045500
2021-03-17,70.05,73.26,69.76,73.2,1948900
2021-03-18,72.69,73.75,70.21,70.59,1885800
2021-03-19,69.98,71.69,68.22,70.78,2414300
2021-03-22,70.42,70.42,68.24,68.56,1728300
2021-03-23,67.6,68.79,65.23,65.66,1669800
2021-03-24,66.7,68.64,65.37,65.42,1305200
2021-03-25,64.25,67.97,63.5,67.75,2027900
2021-03-26,68.6,69.54,66.88,68.32,1222300
2021-03-29,68.65,68.83,66.35,67.5,1478900
2021-03-30,68.01,70.34,67.75,69.94,1601800
2021-03-31,70.02,70.05,68.57,69.21,1184400
2021-04-01,69.67,70.44,68.95,69.49,810300
2021-04-05,70.74,72.75,70.49,71.09,1427300
2021-04-06,72.44,73.9,71.85,73.74,2764200
2021-04-07,73.7,74.25,71.72,72.36,1246700
2021-04-08,71.78,72.95,70.36,72.69,1278600
2021-04-09,72.7,72.95,71.59,72.63,909500
2021-04-12,72,72.47,70.66,71.3,1024900
2021-04-13,70.52,70.83,67.76,70.22,3012600
2021-04-14,71.59,72.4,70.41,70.57,1550200
2021-04-15,71.51,71.66,68.47,69.43,1750600
2021-04-16,69.7,70.55,68.69,69.33,1465800
2021-04-19,69,69.18,67.88,68.77,1286300
2021-04-20,67.89,68.03,65.44,66.9,1749800
2021-04-21,66.5,68.83,64.81,68.83,1668900
2021-04-22,70,70.24,66.96,66.96,2410600
2021-04-23,67.55,69.55,67.2,69.21,1187300
2021-04-26,70.4,70.95,68.71,69.48,1824100
2021-04-27,69,69.72,68.49,69.08,838300
2021-04-28,68.86,69,68.05,68.65,1023000
2021-04-29,69.27,69.51,68.19,68.57,889400
2021-04-30,67.96,69.72,67.85,69.14,1616300
2021-05-03,69.46,69.8,68.05,68.69,1186100
2021-05-04,68.12,68.89,65.87,66.56,1887800
2021-05-05,65.98,67.8,65.98,66.91,1159900
2021-05-06,67.02,67.4,65.78,67.04,1014700
2021-05-07,66.5,68.57,66.5,67.9,829200
2021-05-10,68,68.53,67.03,67.09,814300
2021-05-11,65.3,66.05,63.64,65.54,1279800
2021-05-12,65.23,66.49,64.55,64.77,1809400
2021-05-13,65.4,67.66,65.25,67.16,1592100
2021-05-14,68.08,70.25,68.08,69.84,1454300
2021-05-17,69.2,71.87,68.53,71.67,2057900
2021-05-18,72,72.92,70.29,70.29,1457200
2021-05-19,69.29,69.77,67.9,69.33,953200
2021-05-20,69.88,69.88,67.53,68.43,834500
2021-05-21,68.88,69.3,68,68.07,1083500
2021-05-24,68.43,69.36,67.75,69.25,794400
2021-05-25,68.96,70.3,68.1,68.25,1780700
2021-05-26,68.77,69.95,68.63,69.64,1143700
2021-05-27,70.14,70.61,69.39,70.43,856400
2021-05-28,70.35,70.38,68.95,69.2,1158100
2021-06-01,69.93,70.9,68.91,69.54,1557000
2021-06-02,69.84,69.85,67.54,67.84,1876100
2021-06-03,66.83,67.34,65.33,65.46,2206500
2021-06-04,65.78,66.17,64.82,65.45,1267500
2021-06-07,65.91,66.39,65.26,65.56,1094000
2021-06-08,66,66.94,65.17,66.3,1272400
2021-06-09,66.6,66.66,65.5,65.62,1010400
2021-06-10,67.01,67.01,64.76,64.9,1491800
2021-06-11,64.86,65.83,63.43,65.48,2844200
2021-06-14,65.12,65.75,64.27,64.45,1942800
2021-06-15,64.71,64.94,63.54,64.33,1720900
2021-06-16,64.4,64.91,63.62,63.93,1306500
2021-06-17,64.18,64.51,61.88,62.64,1720000
2021-06-18,62.43,64.13,62.01,63.31,3381600
2021-06-21,63.79,65.16,63.6,65.02,1516700
2021-06-22,64.61,64.97,63.1,64.21,1818000
2021-06-23,64.3,64.49,63.74,63.78,1495300
2021-06-24,64.19,64.4,63.06,63.55,1281800
2021-06-25,63.42,63.71,62.91,63.27,1693600
2021-06-28,62.45,62.69,60.52,61.45,2038700
2021-06-29,61.27,61.63,59.85,60.13,3916100
2021-06-30,60.01,60.62,59.83,60.31,4112700
2021-07-01,60.86,61.55,60.46,61.43,2243600
2021-07-02,61.69,61.75,60.41,60.71,1194700
2021-07-06,60.74,61.09,58.94,59.19,1452200
2021-07-07,58.99,59.63,57.22,57.62,2208000
2021-07-08,56.5,58.73,55.93,57.78,1830700
2021-07-09,58.65,59.59,58.27,59.38,1213500
2021-07-12,58.82,59.8,58.07,59.67,1297400
2021-07-13,59.03,59.11,57.47,57.62,1810300
2021-07-14,58.5,59.39,57.21,57.55,1533700
2021-07-15,57.09,58,56.01,56.91,1939000
2021-07-16,57.5,57.62,54.36,54.62,2810200
2021-07-19,52.84,53.71,51.75,52.83,3103700
2021-07-20,52.82,55.91,52.58,55.48,2404400
2021-07-21,56.33,58.22,56.26,57.59,2659100
2021-07-22,56.86,58.98,55.4,57.98,4907400
2021-07-23,58.86,59.48,57.74,58.25,1920000
2021-07-26,58.26,60.66,58.26,60.56,2326900
2021-07-27,60.34,60.49,59.08,59.32,1552500
2021-07-28,59.9,60.2,58.32,59.66,1586200
2021-07-29,60.29,60.5,58.82,58.85,1423400
2021-07-30,58.12,59.42,57.7,58.03,2072600
2021-08-02,58.21,59.73,56.62,56.71,2440100
2021-08-03,56.74,57.2,55.2,57.19,1833300
2021-08-04,56.14,56.96,54.79,55.24,2127400
2021-08-05,55.25,57.87,55.15,57.56,2223800
2021-08-06,58.14,58.49,57.02,57.87,1499300
2021-08-09,57.07,57.47,55.87,56.86,1344900
2021-08-10,56.81,58.98,56.52,58.47,1621300
2021-08-11,57.85,59.72,57.51,59.45,2010100
2021-08-12,59.12,59.25,57.71,58.57,1174800
2021-08-13,58.43,58.55,57.45,57.62,1099300
2021-08-16,57.12,57.52,56.09,57.36,1417000
2021-08-17,56.46,56.49,54.56,55.24,1861700
2021-08-18,55.08,56.17,54.75,54.89,2306300
2021-08-19,54.53,54.82,52.88,53.98,1745700
2021-08-20,53.83,54.46,53.6,54.35,1248900
