Date,Open,High,Low,Close,Volume
2009-01-02,7.315,7.445,7.1375,7.3975,4737600
2009-01-05,7.335,7.6425,7.2375,7.5075,5855600
2009-01-06,7.4575,7.7375,7.4575,7.69,5419200
2009-01-07,7.545,7.7375,7.4775,7.625,4759200
2009-01-08,7.525,7.6625,7.4425,7.645,3993600
2009-01-09,7.6275,7.6275,7.265,7.4925,3077200
2009-01-12,7.55,7.625,7.2625,7.39,2803200
2009-01-13,7.385,7.525,7.1875,7.2475,2448000
2009-01-14,7.11,7.2625,6.8175,6.9375,3122800
2009-01-15,6.9925,7.295,6.6725,7.0025,4861200
2009-01-16,7.1025,7.5,7.055,7.4475,3652400
2009-01-20,7.3725,7.425,7.0275,7.05,3376400
2009-01-21,7.145,7.1475,6.2825,6.53,6172000
2009-01-22,6.405,6.6275,6.34,6.555,3408400
2009-01-23,6.395,6.88,6.3625,6.64,3186800
2009-01-26,6.655,6.745,6.4225,6.5325,1967600
2009-01-27,6.555,6.555,6.13,6.29,2774800
2009-01-28,6.4125,6.7125,6.2775,6.6525,2364000
2009-01-29,6.525,7.5275,6.4975,6.89,7230000
2009-01-30,6.8675,6.9975,6.3175,6.59,5182000
2009-02-02,6.5425,6.815,6.35,6.755,4706800
2009-02-03,6.75,6.795,6.4875,6.645,2805600
2009-02-04,6.645,6.9925,6.5325,6.5575,3237600
2009-02-05,6.5,7.115,6.39,6.905,3504400
2009-02-06,6.965,7.355,6.85,7.23,4734000
2009-02-09,7.185,7.32,7.04,7.18,2392000
2009-02-10,7.0525,7.32,6.9,6.9975,3267200
2009-02-11,7.05,7.1025,6.665,6.7675,4327200
2009-02-12,6.805,7.2875,6.7675,7.2375,5237600
2009-02-13,7.2125,7.355,7.0325,7.1525,2554800
2009-02-17,7.1925,7.49,6.9825,7.37,5087600
2009-02-18,7.3175,7.3675,6.7,6.7875,4988400
2009-02-19,6.8275,6.9375,6.555,6.6025,2566800
2009-02-20,6.505,6.62,5.7675,6.0675,5369200
2009-02-23,6.1275,6.3475,5.805,5.97,4607200
2009-02-24,6.07,6.0925,5.785,5.99,3596400
2009-02-25,5.9325,5.9325,5.2875,5.5675,5699600
2009-02-26,5.5325,5.8575,5.295,5.745,5872400
2009-02-27,5.6275,5.7675,5.4325,5.4775,4048400
2009-03-02,5.3675,5.525,5.115,5.1475,3727200
2009-03-03,5.1625,5.225,4.55,4.6,4693600
2009-03-04,4.6675,4.7775,4.4475,4.545,3682800
2009-03-05,4.5,4.5,3.6425,3.7,9448400
2009-03-06,3.6875,3.8525,3.6225,3.77,4637200
2009-03-09,3.7325,3.8375,3.4375,3.485,6224400
2009-03-10,3.4825,3.675,3.4025,3.6375,5824800
2009-03-11,3.67,4.045,3.57,3.9525,7582800
2009-03-12,3.8875,4.2475,3.8025,4.18,3966000
2009-03-13,4.245,4.4475,4.235,4.315,2570400
2009-03-16,4.3175,4.475,4.085,4.1075,4289600
2009-03-17,4.125,4.5775,4.0375,4.575,4108400
2009-03-18,4.575,4.6825,4.19,4.5175,3791600
2009-03-19,4.5,4.555,4.14,4.2075,2946800
2009-03-20,4.2075,4.2875,4.115,4.125,2826000
2009-03-23,4.2325,4.395,3.98,4.395,2904400
2009-03-24,4.3325,4.3325,4.08,4.2075,3583600
2009-03-25,4.16,4.5525,4.16,4.3175,2804000
2009-03-26,4.3825,4.81,4.3625,4.6625,3250400
2009-03-27,4.5275,4.68,4.465,4.5175,2281600
2009-03-30,4.4425,4.4825,4.12,4.1875,3836800
2009-03-31,4.2275,4.505,4.075,4.3925,3081600
2009-04-01,4.3725,4.5425,4.2,4.5175,2269200
2009-04-02,4.5875,5.03,4.58,5.02,4752800
2009-04-03,4.96,5.08,4.855,4.945,2190400
2009-04-06,4.8775,5.225,4.8125,5.04,3378800
2009-04-07,4.935,5.1075,4.775,4.7775,2481200
2009-04-08,4.795,4.9925,4.7775,4.925,1298000
2009-04-09,5.0825,5.52,5.01,5.485,2427200
2009-04-13,5.41,5.48,5.27,5.395,2341600
2009-04-14,5.2975,5.4475,4.91,4.965,2402800
2009-04-15,4.91,5.265,4.71,5.145,2910000
2009-04-16,5.1575,5.2075,4.8175,5.065,2752000
2009-04-17,5.065,5.18,4.8125,4.95,3423200
2009-04-20,4.8175,4.92,4.57,4.6825,3585200
2009-04-21,4.6775,5.075,4.5425,4.9525,2516800
2009-04-22,4.9225,5.2575,4.8675,4.955,2724400
2009-04-23,4.9775,4.9775,4.045,4.345,8406000
2009-04-24,4.4525,4.595,4.375,4.455,3188400
2009-04-27,4.23,4.2425,3.9675,4.1375,6728000
2009-04-28,4.0825,4.435,4.0275,4.13,4361200
2009-04-29,4.21,4.3975,4.14,4.27,3480000
2009-04-30,4.3225,4.39,4.1525,4.195,2573600
2009-05-01,4.26,4.33,4.1475,4.315,2193200
2009-05-04,4.43,4.59,4.3125,4.5725,3869200
2009-05-05,4.5575,4.7675,4.5375,4.67,3894800
2009-05-06,4.7175,4.77,4.42,4.5825,2654800
2009-05-07,4.6075,4.6525,4.2875,4.3375,3107600
2009-05-08,4.395,4.4775,4.2925,4.375,3486400
2009-05-11,4.2725,4.36,4.075,4.305,3556800
2009-05-12,4.2475,4.335,4,4.1525,3527200
2009-05-13,4.025,4.1275,3.945,3.98,2860400
2009-05-14,3.9,4.1825,3.6325,3.975,5312400
2009-05-15,3.9475,4.0675,3.9075,3.995,4153200
2009-05-18,4.03,4.12,3.9375,4.1175,2502800
2009-05-19,4.1125,4.125,3.8625,3.9175,6228400
2009-05-20,4.0175,4.2325,3.9825,3.9925,6558800
2009-05-21,4.0175,4.1225,3.95,4.0925,3914400
2009-05-22,4.1375,4.1875,3.975,4.0325,2386400
2009-05-26,3.9725,4.1575,3.9725,4.0375,3803200
2009-05-27,4.035,4.07,3.76,3.7825,4490000
2009-05-28,3.865,3.8875,3.75,3.7675,4518000
2009-05-29,3.77,3.9425,3.7275,3.8925,2945200
2009-06-01,3.99,4.05,3.9025,3.9625,3241200
2009-06-02,3.985,4.2225,3.97,4.065,4086400
2009-06-03,4.01,4.0875,3.95,4.045,3576800
2009-06-04,4.045,4.0675,3.8525,3.92,2801200
2009-06-05,3.99,4.0175,3.85,3.9775,2854400
2009-06-08,3.96,3.995,3.8675,3.9575,3915200
2009-06-09,3.96,4.0375,3.865,3.9975,2551600
2009-06-10,4.025,4.0525,3.8625,3.9225,3118800
2009-06-11,3.9175,4.0225,3.845,3.9,2982000
2009-06-12,3.91,4.12,3.8875,4.095,2928000
2009-06-15,3.985,4.1125,3.955,4.075,2911600
2009-06-16,4.125,4.29,4.125,4.155,3533600
2009-06-17,4.205,4.365,4.145,4.3025,3290000
2009-06-18,4.345,4.5725,4.1925,4.5175,3998800
2009-06-19,4.58,4.5875,4.4175,4.465,3103600
2009-06-22,4.39,4.4275,4.25,4.25,2686400
2009-06-23,4.245,4.27,4.0175,4.1275,2867200
2009-06-24,4.165,4.3325,4.085,4.175,2563600
2009-06-25,4.1575,4.48,4.1575,4.47,3844800
2009-06-26,4.465,4.5175,4.4125,4.4875,2167600
2009-06-29,4.4875,4.6575,4.4425,4.605,2441200
2009-06-30,4.605,4.605,4.4675,4.565,1546000
2009-07-01,4.5375,4.6975,4.5375,4.675,2313600
2009-07-02,4.5775,4.65,4.4825,4.5875,1462000
2009-07-06,4.6075,4.75,4.6025,4.71,1826800
2009-07-07,4.6875,4.73,4.5375,4.68,1928000
2009-07-08,4.715,4.7925,4.6425,4.74,2056400
2009-07-09,4.7875,4.7875,4.685,4.7,1280800
2009-07-10,4.7,5.1325,4.7,5.085,3815600
2009-07-13,5.1125,5.2225,4.945,5.19,2128400
2009-07-14,5.1875,5.2975,5.1375,5.1825,2883600
2009-07-15,5.285,5.4025,5.1825,5.3725,2750800
2009-07-16,5.385,5.4,5.16,5.33,1502800
2009-07-17,5.345,5.365,5.215,5.285,1273600
2009-07-20,5.3325,5.5625,5.2225,5.5075,2038000
2009-07-21,5.52,5.52,5.03,5.1875,2623600
2009-07-22,5.14,5.4225,5.09,5.185,1762400
2009-07-23,5.4475,5.6175,5.225,5.505,3012000
2009-07-24,5.445,5.69,5.445,5.665,1824400
2009-07-27,5.61,5.7175,5.5025,5.6175,1523200
2009-07-28,5.55,5.805,5.55,5.69,1293200
2009-07-29,5.6175,5.755,5.5725,5.7375,1952400
2009-07-30,5.8025,5.875,5.6525,5.745,1964800
2009-07-31,5.6975,5.87,5.6925,5.765,1805600
2009-08-03,5.7875,5.875,5.73,5.8225,1823200
2009-08-04,5.8675,6.0575,5.785,5.9625,1304800
2009-08-05,6.0425,6.15,5.9,6.09,1684800
2009-08-06,6.0025,6.025,5.61,5.6325,3818400
2009-08-07,5.7425,5.89,5.615,5.795,2411600
2009-08-10,5.7475,5.795,5.6125,5.69,1099200
2009-08-11,5.6525,5.735,5.5375,5.635,1097200
2009-08-12,5.6625,5.985,5.64,5.8575,1844400
2009-08-13,5.8575,5.92,5.675,5.78,1352400
2009-08-14,5.7675,5.7725,5.5725,5.755,1386000
2009-08-17,5.6375,5.69,5.5525,5.6,1184000
2009-08-18,5.665,5.77,5.5925,5.73,1162000
2009-08-19,5.6275,5.7425,5.605,5.6375,1482000
2009-08-20,5.5775,5.7125,5.5625,5.6425,1044800
2009-08-21,5.715,5.8025,5.6225,5.7875,1478800
2009-08-24,5.82,6.0625,5.7875,5.84,1755200
2009-08-25,5.9025,6.6475,5.9025,6.6225,5592800
2009-08-26,6.5975,6.7875,6.475,6.665,3108800
2009-08-27,6.67,6.7025,6.3875,6.4575,1853200
2009-08-28,6.5325,6.645,6.4,6.4575,1335200
2009-08-31,6.38,6.4125,6.2875,6.3075,1770800
2009-09-01,6.2175,6.33,5.7625,5.785,3518400
2009-09-02,5.71,5.82,5.6075,5.765,2352000
2009-09-03,5.74,5.9675,5.685,5.905,1490800
2009-09-04,5.92,6.195,5.9,6.14,1418400
2009-09-08,6.145,6.235,6.0175,6.1925,1630400
2009-09-09,6.21,6.475,6.155,6.4125,1630400
2009-09-10,6.4675,6.74,6.2975,6.735,3972400
2009-09-11,6.725,6.8375,6.6025,6.6425,1958400
2009-09-14,6.5725,6.65,6.4125,6.555,1888000
2009-09-15,6.5675,6.895,6.5375,6.8125,1853200
2009-09-16,6.8525,6.925,6.5925,6.79,1881200
2009-09-17,6.845,6.8675,6.6,6.67,1576400
2009-09-18,6.6975,6.705,6.3975,6.61,2208400
2009-09-21,6.51,6.8,6.51,6.75,2371200
2009-09-22,6.8225,6.9975,6.725,6.8,2561200
2009-09-23,6.845,6.8725,6.58,6.67,1846000
2009-09-24,6.695,6.7025,6.4075,6.5425,1985600
2009-09-25,6.6825,6.88,6.5875,6.75,2353600
2009-09-28,6.8,6.9625,6.6575,6.7,1930800
2009-09-29,6.71,6.9225,6.7025,6.8675,1791200
2009-09-30,6.925,6.9325,6.625,6.6975,2225600
2009-10-01,6.6875,6.6875,6.36,6.3675,1892400
2009-10-02,6.3,6.5625,6.3,6.4525,1546800
2009-10-05,6.5025,6.7175,6.385,6.5975,1211200
2009-10-06,6.63,6.74,6.5575,6.725,1910800
2009-10-07,6.7125,6.8075,6.5875,6.605,1386800
2009-10-08,6.67,6.92,6.575,6.8325,2029600
2009-10-09,6.8,6.9475,6.625,6.935,1516000
2009-10-12,6.9375,7.03,6.825,6.95,1655600
2009-10-13,6.8975,7,6.765,6.9425,1164400
2009-10-14,7.0325,7.2275,6.9075,7.2125,2151200
2009-10-15,7.12,7.2,6.915,6.9775,1357200
2009-10-16,7.01,7.01,6.7825,6.86,1174400
2009-10-19,6.9425,6.995,6.88,6.9725,1866000
2009-10-20,7.0025,7.175,6.93,7.1275,2522400
2009-10-21,7.06,7.2475,6.7625,6.9,4559600
2009-10-22,6.9025,7.03,6.39,6.69,4448400
2009-10-23,6.69,6.8425,6.64,6.7475,2924400
2009-10-26,6.7225,6.7925,6.55,6.6325,3374000
2009-10-27,6.6425,6.8275,6.5625,6.72,2191600
2009-10-28,6.715,6.7625,6.4,6.4125,2704800
2009-10-29,6.475,6.6225,6.39,6.4625,2571200
2009-10-30,6.415,6.5275,6.2925,6.43,3108800
2009-11-02,6.45,6.5275,6.2275,6.4125,3191600
2009-11-03,6.3425,6.5375,6.2975,6.475,2758400
2009-11-04,6.51,6.5775,6.3,6.3575,2590000
2009-11-05,6.425,6.635,6.335,6.6325,2158400
2009-11-06,6.6,6.92,6.57,6.8725,1876800
