Date,Open,High,Low,Close,Volume
2010-01-04,8.705,8.82,8.6,8.7175,1802400
2010-01-05,8.69,9.235,8.69,9.195,3052800
2010-01-06,9.0625,9.285,9.05,9.1125,2994000
2010-01-07,9.1375,9.42,9.04,9.065,2887200
2010-01-08,9.0575,9.215,8.81,8.885,2457600
2010-01-11,8.9575,8.9875,8.7125,8.83,2324000
2010-01-12,8.775,9.05,8.7525,9.0275,1866800
2010-01-13,9.0825,9.4,8.9875,9.335,1442000
2010-01-14,9.3475,9.4425,9.3025,9.35,1028400
2010-01-15,9.1825,9.195,8.9125,9.015,2452800
2010-01-19,9.0475,9.3,8.9975,9.2925,1736400
2010-01-20,9.1875,9.3,9.02,9.25,2017200
2010-01-21,9.3,9.4875,9.21,9.3075,2466000
2010-01-22,9.3075,9.3925,8.9825,9.0125,1602400
2010-01-25,9.065,9.2,9.04,9.1275,1302800
2010-01-26,9.075,9.145,8.8625,8.87,1676000
2010-01-27,8.84,9.1675,8.735,9.125,2150800
2010-01-28,8.89,9,8.145,8.1475,7360000
2010-01-29,8.1975,8.2475,7.81,7.835,3382800
2010-02-01,7.8425,8.0025,7.81,7.9925,1856800
2010-02-02,8.025,8.3125,8.01,8.3125,2856000
2010-02-03,8.29,8.39,8.1725,8.315,3080400
2010-02-04,8.035,8.1425,7.91,8,5684800
2010-02-05,7.975,8.085,7.8775,8.04,3012000
2010-02-08,8.0175,8.2275,7.97,8.0975,2164800
2010-02-09,8.225,8.425,8.1925,8.3425,2364400
2010-02-10,8.2875,8.305,7.8975,7.94,2656800
2010-02-11,7.95,8.1625,7.9,8.0825,3575200
2010-02-12,8.045,8.205,7.8575,8.1875,2327200
2010-02-16,8.2925,8.5625,8.2475,8.5025,1916000
2010-02-17,8.5625,8.625,8.4625,8.5625,1792000
2010-02-18,8.5775,8.8975,8.555,8.89,2375600
2010-02-19,8.88,9.2125,8.84,9.1225,3352400
2010-02-22,9.1325,9.295,8.8675,8.8825,2300800
2010-02-23,8.865,8.9775,8.6825,8.73,1634400
2010-02-24,8.7275,8.825,8.675,8.7375,1399600
2010-02-25,8.52,8.685,8.51,8.655,1677600
2010-02-26,8.68,8.78,8.605,8.75,1939600
2010-03-01,8.805,9.375,8.8025,9.2925,4232000
2010-03-02,9.3625,9.43,9.0525,9.065,2903200
2010-03-03,9.1125,9.225,8.9975,9.155,1382400
2010-03-04,9.14,9.205,8.9275,9.0575,1340400
2010-03-05,9.1425,9.2925,9.0625,9.2875,2717600
