Date,Open,High,Low,Close,Volume
2017-01-03,225.04,225.83,223.88,225.24,91366500
2017-01-04,225.62,226.75,225.61,226.58,78744400
2017-01-05,226.27,226.58,225.48,226.4,78379000
2017-01-06,226.53,227.75,225.9,227.21,71559900
2017-01-09,226.91,227.07,226.42,226.46,46939700
2017-01-10,226.48,227.45,226.01,226.46,63771900
2017-01-11,226.36,227.1,225.59,227.1,74650000
2017-01-12,226.5,226.75,224.96,226.53,72113200
2017-01-13,226.73,227.4,226.69,227.05,62717900
2017-01-17,226.31,226.78,225.8,226.25,61240800
2017-01-18,226.54,226.8,225.9,226.75,54793300
2017-01-19,226.84,227,225.41,225.91,66608800
2017-01-20,226.7,227.31,225.97,226.74,129168600
2017-01-23,226.74,226.81,225.27,226.15,75061600
2017-01-24,226.4,228.08,226.27,227.6,95555300
2017-01-25,228.7,229.57,228.51,229.57,84437700
2017-01-26,229.4,229.71,229.01,229.33,59970700
2017-01-27,229.42,229.59,228.76,228.97,59711100
2017-01-30,228.17,228.2,226.41,227.55,79737300
2017-01-31,226.98,227.6,226.32,227.53,75880800
2017-02-01,227.53,228.59,226.94,227.62,79117700
2017-02-02,227.62,228.1,226.82,227.77,69657600
2017-02-03,228.82,229.55,228.46,229.34,80563200
2017-02-06,228.87,229.33,228.54,228.93,57790100
2017-02-07,229.38,229.66,228.72,228.94,57931200
2017-02-08,228.94,229.39,228.31,229.24,51566200
2017-02-09,229.24,230.95,229.24,230.6,65955200
2017-02-10,231,231.77,230.62,231.51,66015900
2017-02-13,232.08,233.07,232.05,232.77,55182100
2017-02-14,232.56,233.71,232.16,233.7,71109000
2017-02-15,233.45,235.14,233.39,234.92,86785800
2017-02-16,234.95,235.16,233.85,234.72,84722400
2017-02-17,233.95,235.09,233.93,235.09,77204100
2017-02-21,235.52,236.69,235.51,236.49,88946100
2017-02-22,236.02,236.54,235.83,236.28,62115200
2017-02-23,236.88,236.9,235.56,236.44,74615900
2017-02-24,235.46,236.79,235.41,236.74,82381600
2017-02-27,236.64,237.31,236.35,237.11,56515400
2017-02-28,236.67,236.95,236.02,236.47,96961900
2017-03-01,238.39,240.32,238.37,239.78,149158200
2017-03-02,239.56,239.57,238.21,238.27,70246000
2017-03-03,238.17,238.61,237.73,238.42,81974300
2017-03-06,237.5,238.12,237.01,237.71,55391500
2017-03-07,237.36,237.77,236.76,237,65103700
2017-03-08,237.34,237.64,236.4,236.56,78168800
2017-03-09,236.7,237.24,235.74,236.86,90683900
2017-03-10,237.97,238.02,236.59,237.69,81991700
2017-03-13,237.62,237.86,237.24,237.81,57256800
2017-03-14,237.18,237.24,236.19,236.9,59880800
2017-03-15,237.56,239.44,237.29,238.95,96081800
2017-03-16,239.11,239.2,238.1,238.48,78344000
2017-03-17,237.75,237.97,237.03,237.03,89002100
2017-03-20,237.03,237.36,236.32,236.77,52537000
2017-03-21,237.47,237.61,233.58,233.73,131809300
2017-03-22,233.77,234.61,233.05,234.28,97569200
2017-03-23,234.28,235.34,233.6,234.03,100410300
2017-03-24,234.38,235.04,232.96,233.86,112504900
2017-03-27,231.93,233.92,231.61,233.62,87454500
2017-03-28,233.27,235.81,233.14,235.32,93483900
2017-03-29,234.99,235.81,234.73,235.54,61950400
2017-03-30,235.47,236.52,235.27,236.29,56737900
2017-03-31,235.9,236.51,235.68,235.74,73733100
2017-04-03,235.8,236.03,233.91,235.33,85546500
2017-04-04,235,235.58,234.56,235.48,56466200
2017-04-05,236.26,237.39,234.54,234.78,108800600
2017-04-06,234.94,236.04,234.43,235.44,69135800
2017-04-07,235.15,236,234.64,235.2,74412300
2017-04-10,235.36,236.26,234.73,235.34,67615300
2017-04-11,234.9,235.18,233.34,235.06,88045300
2017-04-12,234.74,234.96,233.77,234.03,81864400
2017-04-13,233.64,234.49,232.51,232.51,92880400
2017-04-17,233.11,234.57,232.88,234.57,68405400
2017-04-18,233.72,234.49,233.08,233.87,83225800
2017-04-19,234.52,234.95,233.18,233.44,68699900
2017-04-20,234.15,235.85,233.78,235.34,92572200
2017-04-21,235.25,235.31,234.13,234.59,110389800
2017-04-24,237.18,237.41,234.56,237.17,119209900
2017-04-25,237.91,238.95,237.81,238.55,76698300
2017-04-26,238.51,239.53,238.35,238.4,84702500
2017-04-27,238.77,238.95,237.98,238.6,57410300
2017-04-28,238.9,238.93,237.93,238.08,63532800
2017-05-01,238.68,239.17,238.2,238.68,66882500
2017-05-02,238.84,238.98,238.3,238.77,57375700
2017-05-03,238.77,238.88,237.7,238.48,73137700
2017-05-04,238.83,238.92,237.78,238.76,61462700
2017-05-05,239.19,239.72,238.68,239.7,62001300
2017-05-08,239.75,239.92,239.17,239.66,48385700
2017-05-09,239.96,240.19,239.04,239.44,51363200
2017-05-10,239.39,239.87,239.15,239.87,54293800
2017-05-11,239.35,239.57,238.13,239.38,62358300
2017-05-12,239.09,239.43,238.67,238.98,53912700
2017-05-15,239.47,240.44,239.45,240.3,61918900
2017-05-16,240.64,240.67,239.63,240.08,51241800
2017-05-17,240.08,240.08,235.75,235.82,172174100
2017-05-18,235.73,237.75,235.43,236.77,107047700
2017-05-19,237.33,239.08,237.27,238.31,115011400
2017-05-22,238.9,239.71,238.82,239.52,61010600
2017-05-23,239.95,240.24,239.51,240.05,48341700
2017-05-24,240.32,240.73,239.93,240.61,46927700
2017-05-25,241.2,242.08,240.96,241.76,64071700
2017-05-26,241.54,241.9,241.45,241.71,46629900
2017-05-30,241.34,241.79,241.16,241.5,35201900
2017-05-31,241.84,241.88,240.64,241.44,91796000
2017-06-01,241.97,243.38,241.64,243.36,68962000
2017-06-02,243.42,244.35,243.08,244.17,88666100
2017-06-05,243.97,244.3,243.76,243.99,44698800
2017-06-06,243.34,243.98,243.12,243.21,50375400
2017-06-07,243.6,243.92,242.83,243.66,54144300
2017-06-08,243.77,244.33,243.17,243.78,65950700
2017-06-09,244.09,245.01,241.95,243.41,132256400
2017-06-12,243.13,243.42,242.38,243.36,86108100
2017-06-13,243.98,244.61,243.58,244.55,60067000
2017-06-14,244.86,244.87,243.29,244.24,78602300
2017-06-15,242.68,243.91,242.36,243.77,66464900
2017-06-16,242.77,242.83,241.63,242.64,84553100
2017-06-19,243.59,244.73,243.48,244.66,65123800
2017-06-20,244.25,244.26,242.99,243.01,56906400
2017-06-21,243.46,243.59,242.41,242.95,55977600
2017-06-22,242.96,243.53,242.64,242.84,44148100
2017-06-23,242.91,243.51,242.47,243.13,66986800
2017-06-26,243.9,244.38,243.05,243.29,56700500
2017-06-27,243.04,243.38,241.31,241.33,82247700
2017-06-28,242.5,243.72,242.23,243.49,70042600
2017-06-29,243.66,243.72,239.96,241.35,106949700
2017-06-30,242.28,242.71,241.58,241.8,86820700
2017-07-03,242.88,243.38,242.21,242.21,39153800
2017-07-05,242.63,243.01,241.7,242.77,54427600
2017-07-06,241.89,242.03,240.34,240.55,65400800
2017-07-07,241.21,242.28,240.56,242.11,57972300
2017-07-10,242.11,242.8,241.76,242.37,36663300
2017-07-11,242.37,242.55,240.85,242.19,50354600
2017-07-12,243.3,244.2,243.3,244.01,59610400
2017-07-13,244.02,244.55,243.76,244.42,39471600
2017-07-14,244.42,245.97,244.31,245.56,60262700
2017-07-17,245.47,245.91,245.33,245.53,33531900
2017-07-18,245.06,245.72,244.67,245.66,42742500
2017-07-19,246.02,247,246.01,246.99,51034300
2017-07-20,247.28,247.42,246.47,247.1,47135200
2017-07-21,246.44,246.91,246.18,246.88,82340800
2017-07-24,246.79,246.98,246.28,246.82,46622300
2017-07-25,247.68,247.8,247.16,247.42,54915600
2017-07-26,247.75,247.79,247.13,247.43,47575400
2017-07-27,247.96,248,245.68,247.2,70766600
2017-07-28,246.65,247.06,246.13,246.91,50088400
2017-07-31,247.37,247.48,246.53,246.77,65838700
2017-08-01,247.46,247.5,246.72,247.32,55050400
2017-08-02,247.47,247.6,246.37,247.44,47211200
2017-08-03,247.31,247.34,246.64,246.96,40856000
2017-08-04,247.52,247.79,246.97,247.41,60191800
2017-08-07,247.49,247.87,247.37,247.87,31995000
2017-08-08,247.51,248.91,246.83,247.26,61719400
2017-08-09,246.47,247.31,246.06,247.25,62632600
2017-08-10,246.29,246.44,243.7,243.76,120479500
2017-08-11,244.02,244.8,243.75,244.12,74869900
2017-08-14,245.59,246.79,245.55,246.54,73291900
2017-08-15,246.98,247,246.16,246.51,55242700
2017-08-16,247.11,247.57,246.45,246.94,56715500
2017-08-17,246.24,246.6,243.09,243.09,128490400
2017-08-18,242.9,244.19,242.2,242.71,136748000
2017-08-21,242.64,243.2,241.83,242.9,65469700
2017-08-22,243.57,245.62,243.55,245.44,63140100
2017-08-23,244.33,245.05,244.16,244.56,50203800
2017-08-24,245,245.18,243.75,243.99,50741700
2017-08-25,244.9,245.61,244.39,244.56,64445900
2017-08-28,245.17,245.2,244.09,244.57,40565600
2017-08-29,243.06,245.15,242.93,244.85,51135700
2017-08-30,244.83,246.32,244.62,246.01,62030800
2017-08-31,246.72,247.77,246.05,247.49,103803900
2017-09-01,247.92,248.33,247.67,247.84,62007000
2017-09-05,247.26,247.52,244.95,246.06,91398800
2017-09-06,246.84,247.28,246.23,246.9,57916900
2017-09-07,247.25,247.27,246.4,246.87,58034700
2017-09-08,246.54,247.11,246.3,246.58,63832800
2017-09-11,248.04,249.3,248.02,249.21,71364800
2017-09-12,249.63,250.09,249.42,250.05,56896000
2017-09-13,249.72,250.21,249.59,250.17,59228000
2017-09-14,249.8,250.32,249.6,250.09,95446300
2017-09-15,248.69,249.29,248.57,249.19,95432400
2017-09-18,249.61,250.12,249.28,249.72,46235200
2017-09-19,250,250.07,249.6,249.97,47108100
2017-09-20,250.07,250.19,248.92,250.06,59574100
2017-09-21,249.88,249.98,249.19,249.39,48211400
2017-09-22,249.05,249.63,249.02,249.44,51214000
2017-09-25,249.15,249.55,248.08,248.93,57064400
2017-09-26,249.42,249.7,248.81,249.08,54082000
2017-09-27,249.88,250.49,248.87,250.05,81001400
2017-09-28,249.73,250.44,249.63,250.35,44778800
2017-09-29,250.34,251.32,250.13,251.23,85578000
2017-10-02,251.49,252.32,251.29,252.32,59023000
2017-10-03,252.32,252.89,252.23,252.86,66810200
2017-10-04,252.69,253.44,252.56,253.16,55953600
2017-10-05,253.54,254.68,253.2,254.66,63522800
2017-10-06,254.15,254.7,253.85,254.37,80646000
2017-10-09,254.63,254.7,253.65,253.95,35803100
2017-10-10,254.6,255.05,253.98,254.62,43057400
2017-10-11,254.51,255.02,254.32,255.02,47674300
2017-10-12,254.66,255.06,254.37,254.64,47065100
2017-10-13,255.14,255.27,254.64,254.95,54800400
2017-10-16,255.21,255.51,254.82,255.29,38221700
2017-10-17,255.23,255.52,254.98,255.47,31561000
2017-10-18,255.9,255.95,255.5,255.72,40888300
2017-10-19,254.83,255.83,254.35,255.79,61903800
2017-10-20,256.7,257.14,255.77,257.11,89176400
2017-10-23,257.48,257.51,256.02,256.11,63915300
2017-10-24,256.6,256.83,256.15,256.56,66935900
2017-10-25,256.18,256.31,254,255.29,103715300
2017-10-26,255.99,256.3,255.48,255.62,69798000
2017-10-27,256.47,257.89,255.63,257.71,85562500
2017-10-30,256.47,257.6,256.41,256.75,54285700
2017-10-31,257.18,257.44,256.81,257.15,60304800
2017-11-01,258.04,258.43,257.07,257.49,54202700
2017-11-02,257.41,257.75,256.19,257.59,56449500
2017-11-03,257.77,258.5,257.3,258.45,59589700
2017-11-06,258.3,259,258.22,258.85,49652600
2017-11-07,258.97,259.35,258.09,258.67,57502200
2017-11-08,258.47,259.22,258.15,259.11,50469600
2017-11-09,257.73,258.39,256.36,258.17,95085500
2017-11-10,257.73,258.29,257.37,258.09,59984700
2017-11-13,257.31,258.59,257.27,258.33,50228600
2017-11-14,257.41,257.85,256.52,257.73,61315200
2017-11-15,256.62,257.22,255.63,256.44,80811500
2017-11-16,257.52,259.04,257.47,258.62,67777000
2017-11-17,258.22,258.59,257.77,257.86,75756800
2017-11-20,258.14,258.52,257.86,258.3,48075500
2017-11-21,259.18,260.2,258.26,259.99,69176800
2017-11-22,260,260.15,259.57,259.76,45033400
2017-11-24,260.32,260.48,260.16,260.36,27856500
2017-11-27,260.41,260.75,260,260.23,52274900
2017-11-28,260.76,262.9,260.65,262.87,98971700
2017-11-29,263.02,263.63,262.2,262.71,77512100
2017-11-30,263.76,266.05,263.67,265.01,127894400
2017-12-01,264.76,265.31,260.76,264.46,164390900
2017-12-04,266.31,266.8,264.08,264.14,94040600
2017-12-05,263.19,265.15,263.04,263.19,77994500
2017-12-06,263.3,263.73,262.71,263.24,75898600
2017-12-07,264.07,264.43,262.94,264.07,77218600
2017-12-08,265.16,265.52,264.03,265.51,76563900
2017-12-11,266.31,266.38,265.48,266.31,83077500
2017-12-12,267.21,267.32,266.35,266.78,85195800
2017-12-13,267.06,267.56,266.65,266.75,102905400
2017-12-14,267.09,267.22,265.6,265.66,100666700
2017-12-15,265.45,267.04,265.39,266.51,144610300
2017-12-18,268.1,268.6,267.98,268.2,83653600
2017-12-19,268.48,268.53,267.09,267.17,82382900
2017-12-20,268.27,268.33,266.69,267.03,76751500
2017-12-21,267.74,268.39,267.3,267.58,67032300
2017-12-22,267.6,267.64,266.9,267.51,78720900
2017-12-26,267.05,267.44,266.89,267.19,45244400
2017-12-27,267.38,267.73,267.01,267.32,57751000
2017-12-28,267.89,267.92,267.45,267.87,45116100
2017-12-29,268.53,268.55,266.64,266.86,96007400
