Date,Open,High,Low,Close,Volume
2026-01-02,317.59,322.914,310.65,315.32,22043700
2026-01-05,317.695,319.25,315.249,317.32,19934000
2026-01-06,317.31,321.56,312.34,314.55,18989900
2026-01-07,314.57,326.465,314.5,322.43,24681800
2026-01-08,329.265,330.54,321.99,326.01,21789600
2026-01-09,327.49,331.48,326.25,329.14,17917700
2026-01-12,326.5,334.44,325.51,332.73,23893800
2026-01-13,335.28,341.2,334.35,336.43,24616700
2026-01-14,334.985,337.03,331.14,336.31,17839300
2026-01-15,338.055,338.13,331.29,333.16,16424900
2026-01-16,334.935,335.24,328.17,330.34,21868600
2026-01-20,321.24,328.09,320.89,322.16,27169900
2026-01-21,321.095,332.725,319.54,328.38,22791700
2026-01-22,334.265,335.21,328.88,330.84,19902100
2026-01-23,332.655,334.03,327.97,328.43,19110600
2026-01-26,328.2,336.35,327.49,333.59,18502500
2026-01-27,335.63,338.215,333.75,335,16080900
2026-01-28,336.61,337.63,332.13,336.28,17538500
2026-01-29,340.35,342.29,326.72,338.66,24548300
2026-01-30,334.46,340.29,332.64,338.53,21740200
2026-02-02,336.55,345.165,336.01,344.9,22775200
2026-02-03,348.515,350.15,338.59,340.7,25786500
2026-02-04,343.755,344.25,329.37,333.34,36991100
2026-02-05,313.2,332.644,306.92,331.33,51842000
2026-02-06,327.35,330.64,320.15,323.1,33877000
2026-02-09,321.24,327.74,317.7,324.4,26103300
2026-02-10,320.91,321.63,314.66,318.63,25281900
2026-02-11,318.96,321.045,310.13,311.33,24008100
2026-02-12,312.35,316.48,308.15,309.37,28194000
2026-02-13,307.985,308.89,303.9,306.02,20236000
2026-02-17,300.64,304.89,296.9,302.82,23750800
2026-02-18,302.432,305.91,301.98,303.94,15847700
2026-02-19,302.52,306.03,300.67,303.56,13448600
2026-02-20,304.8,316.76,304.42,314.9,33663100
2026-02-23,319.14,319.455,309.99,311.69,17641200
2026-02-24,310.64,312.37,306.09,310.92,15040700
2026-02-25,312.12,313.66,309.36,313.03,20209100
2026-02-26,312.805,313,302.41,307.15,22380000
2026-02-27,303.94,312.08,303.591,311.43,33389200
2026-03-02,302.965,308.14,301.06,306.36,21854400
2026-03-03,298.42,303.94,296.699,303.56,20361100
2026-03-04,302.685,305.46,300.8,303.45,20015600
2026-03-05,303.2,303.37,298.07,300.91,22643900
2026-03-06,296.072,300.33,295.25,298.3,17598000
2026-03-09,294.135,306.5,293.93,306.01,19632700
2026-03-10,305.875,309.15,305.31,306.93,14386400
2026-03-11,306.3,311.069,305.84,308.42,13376700
2026-03-12,306.21,308.64,300.84,303.21,15610200
2026-03-13,306.655,307.26,299.78,301.46,16857500
2026-03-16,303.6,305.57,301.81,304.42,14822000
2026-03-17,304.67,310.05,304.35,309.41,14423600
2026-03-18,307.905,310.75,305.545,306.3,13848400
2026-03-19,303.21,306.68,301,305.73,15399700
2026-03-20,304.07,304.37,296.75,298.79,34763500
2026-03-23,300.53,303.37,298.03,299.02,22204100
2026-03-24,296.21,297.1,288.855,289.2,27411200
2026-03-25,292.15,294.66,287.37,289.59,22343000
2026-03-26,286.19,286.515,279.05,280.74,29281200
2026-03-27,277.4,279.09,273.48,273.76,25703300
2026-03-30,275.44,276.26,271.535,273.14,22752300
2026-03-31,277.54,287.05,276.76,286.86,31625100
2026-04-01,289.98,297.985,289.47,294.9,24403600
2026-04-02,288.99,295.9,287.57,294.46,13433400
2026-04-06,294.7,298.425,293.79,297.66,10121700
2026-04-07,300.14,304.1,295.425,303.93,17317700
2026-04-08,317.83,319.39,312.705,314.74,20887500
2026-04-09,313.19,317.43,309.47,316.37,14606800
2026-04-10,318.225,319.5,314.54,315.72,11997600
2026-04-13,315.42,319.43,313.69,319.21,12212800
2026-04-14,322.065,330.64,321.15,330.58,18557500
2026-04-15,330.56,335,328.66,334.47,15104100
2026-04-16,335.85,337.38,331.65,332.77,13949600
2026-04-17,334.43,339.985,333.29,339.4,19683800
2026-04-20,338.56,339.16,334.63,335.4,12897300
2026-04-21,335.585,337.17,329.63,330.47,14623800
2026-04-22,334.885,338.03,332.96,337.73,12954200
2026-04-23,339.575,340.16,335.06,337.75,13442100
2026-04-24,337.72,343.69,334.05,342.32,18260900
2026-04-27,343.88,350.9,340.81,348.52,17443000
2026-04-28,346.92,349.9,344.28,347.5,18502300
2026-04-29,345.48,353.4,342.43,347.31,22232200
2026-04-30,371.255,382.63,363.09,381.94,44570500
2026-05-01,377.98,383.39,375.26,383.22,28047900
2026-05-04,382.32,384.18,376.77,379.64,18275000
2026-05-05,381.87,388.96,380.35,384.27,15432500
2026-05-06,389.59,396.38,387.1,395.14,23097300
2026-05-07,397.06,397.355,390.31,395.3,15153600
2026-05-08,394.27,398.37,393.67,397.05,13762500
2026-05-11,390.69,394.33,386.23,386.77,16314900
2026-05-12,385,386.44,379.72,383.82,17103900
2026-05-13,381.905,399.93,381.58,399.04,18160100
2026-05-14,393.79,399.104,392.728,397.17,13805400
