Date,Open,High,Low,Close,Volume
2005-01-03,0.18,0.18,0.1646,0.1703,113344000
2005-01-04,0.1703,0.1707,0.1607,0.1666,173523000
2005-01-05,0.1677,0.1677,0.1584,0.16,127323000
2005-01-06,0.16,0.1624,0.1573,0.1579,82733000
2005-01-07,0.1587,0.165,0.1571,0.1589,74907000
2005-01-10,0.1586,0.1677,0.1586,0.161,99344000
2005-01-11,0.1629,0.1634,0.1573,0.1573,78421000
2005-01-12,0.1599,0.1614,0.1504,0.1536,124460000
2005-01-13,0.1564,0.1579,0.1534,0.1551,95858000
2005-01-14,0.1591,0.1634,0.154,0.1619,145026000
2005-01-18,0.1627,0.1639,0.1563,0.1614,103866000
2005-01-19,0.1623,0.1623,0.156,0.1581,122514000
2005-01-20,0.1589,0.1604,0.156,0.1584,76538000
2005-01-21,0.1573,0.1606,0.157,0.1577,44352000
2005-01-24,0.1573,0.1623,0.1549,0.1591,217119000
2005-01-25,0.1811,0.1874,0.1613,0.1619,668514000
2005-01-26,0.1587,0.1641,0.1539,0.1576,184422000
2005-01-27,0.1567,0.163,0.1559,0.1601,69146000
2005-01-28,0.1603,0.1671,0.159,0.1634,93625000
2005-01-31,0.162,0.1654,0.1607,0.1643,62790000
2005-02-01,0.1631,0.1664,0.1627,0.164,47439000
2005-02-02,0.1631,0.165,0.16,0.1603,47600000
2005-02-03,0.1621,0.1713,0.162,0.17,186130000
2005-02-04,0.1706,0.1743,0.1674,0.1717,71708000
2005-02-07,0.1704,0.1727,0.1647,0.1647,75565000
2005-02-08,0.1644,0.168,0.163,0.1643,65408000
2005-02-09,0.165,0.166,0.1591,0.1639,54537000
2005-02-10,0.1634,0.1657,0.1607,0.1619,63140000
2005-02-11,0.1619,0.1627,0.1583,0.1593,82418000
2005-02-14,0.1614,0.1621,0.1587,0.1594,44730000
2005-02-15,0.1607,0.1643,0.1584,0.1607,79100000
2005-02-16,0.1596,0.1606,0.1551,0.1564,56049000
2005-02-17,0.1583,0.1583,0.1491,0.15,89474000
2005-02-18,0.15,0.1536,0.149,0.1526,94332000
2005-02-22,0.1514,0.1536,0.145,0.1459,64939000
2005-02-23,0.1467,0.1483,0.1444,0.1456,44576000
2005-02-24,0.145,0.1496,0.143,0.1486,53116000
2005-02-25,0.1527,0.1583,0.1521,0.157,294693000
2005-02-28,0.1583,0.1586,0.15,0.1529,66080000
2005-03-01,0.1529,0.1564,0.1516,0.1541,44520000
2005-03-02,0.1543,0.1579,0.1514,0.1526,144116000
2005-03-03,0.1527,0.1556,0.15,0.1509,73318000
2005-03-04,0.1514,0.1544,0.15,0.1529,54999000
2005-03-07,0.1527,0.1546,0.15,0.1513,42385000
2005-03-08,0.1511,0.1517,0.1437,0.1446,76783000
2005-03-09,0.1443,0.1463,0.1389,0.143,97216000
2005-03-10,0.1424,0.1443,0.1409,0.1413,51534000
2005-03-11,0.1427,0.1429,0.1339,0.1347,95501000
2005-03-14,0.1346,0.1393,0.1343,0.1357,61908000
2005-03-15,0.1353,0.1374,0.1303,0.1314,105357000
2005-03-16,0.1301,0.1331,0.13,0.131,72604000
2005-03-17,0.1317,0.132,0.1307,0.1314,45549000
