Date,Open,High,Low,Close,Volume
2026-01-02,94.13,94.13,90.81,90.99,41155400
2026-01-05,90.92,92.63,90.84,91.46,39183300
2026-01-06,91.54,91.64,89.74,90.65,43331000
2026-01-07,91.56,92.42,90.06,90.73,36525700
2026-01-08,90.45,91.25,89.58,90.53,40068700
2026-01-09,90.03,90.05,88.32,89.46,55579500
2026-01-12,89.69,90.34,89.33,89.41,36290600
2026-01-13,89.44,91.15,89.07,90.32,45221100
2026-01-14,91.24,91.58,87.95,88.55,49737700
2026-01-15,89.02,89.89,87.82,88.05,36945100
2026-01-16,88.34,88.51,87.78,88,48130500
2026-01-20,88.97,89.9,87.02,87.26,109729700
2026-01-21,82.52,86,81.93,85.36,127940700
2026-01-22,85.02,85.1,82.98,83.54,69113300
2026-01-23,83.43,86.3,83.28,86.12,64520400
2026-01-26,86.92,86.94,85.35,85.7,40941900
2026-01-27,85.28,85.6,83.88,85.58,37790800
2026-01-28,85.63,86.47,84.3,84.64,37762600
2026-01-29,84.31,84.38,82.35,83.16,42278100
2026-01-30,83.1,84.06,82.78,83.49,45755000
2026-02-02,83.53,85.27,82.72,82.76,41445300
2026-02-03,82.23,82.45,79.62,79.94,49789000
2026-02-04,79.99,81.44,79.23,80.16,48963200
2026-02-05,81.49,83.3,80.54,80.87,54805700
2026-02-06,81.02,82.49,80.65,82.2,46154100
2026-02-09,82.18,82.21,79.87,81.47,42200200
2026-02-10,82.72,84.66,82.09,82.21,43595800
2026-02-11,81.96,82.48,79.45,79.62,40840300
2026-02-12,79.11,79.15,75.23,75.86,73516100
2026-02-13,76.14,77.18,75.53,76.87,42292100
2026-02-17,76.92,77.87,75.3,77,35961500
2026-02-18,77.32,78.32,76.28,77.99,29883100
2026-02-19,77.75,78.7,76.59,77,30139200
2026-02-20,76.61,78.85,76.4,78.67,32411300
2026-02-23,77.79,77.83,75.01,76.02,38363000
2026-02-24,75.73,78.12,75.21,78.04,33079100
2026-02-25,79.43,83.12,79.25,82.7,69319300
2026-02-26,83.2,86.5,82.8,84.59,85642500
2026-02-27,94.3,96.75,90.58,96.24,200767000
2026-03-02,95.26,98.07,95.2,97.09,79915400
2026-03-03,96.01,98.46,95.33,97.7,59149000
2026-03-04,97.11,99.75,96.99,98.66,52604300
2026-03-05,98.5,100.19,98.1,99.17,53403000
2026-03-06,99.33,99.88,97.4,99.02,41196300
2026-03-09,97.7,98.94,96.58,98.32,48589000
2026-03-10,97.81,98.49,96.29,96.94,41027200
2026-03-11,97.41,98,94.69,94.89,33962900
2026-03-12,94.86,95.4,93.87,94.31,34206900
2026-03-13,94.64,95.68,94.24,95.31,29876700
2026-03-16,95.58,96.1,94.36,95.2,34931800
2026-03-17,95.3,96.34,94.01,94.36,26434500
2026-03-18,94.45,95.34,93.61,94.7,27878300
2026-03-19,94.31,95.75,90.78,91.74,40169300
2026-03-20,91.31,91.88,90.69,91.82,61678000
2026-03-23,92.04,93.98,91.86,93.38,34315900
2026-03-24,92.79,93.74,90.82,90.92,28938000
2026-03-25,91.71,92.52,91.24,92.28,29545600
2026-03-26,91.52,95.86,91.01,93.32,59522000
2026-03-27,94.57,95.58,92.74,93.43,44590700
2026-03-30,92.75,94.49,92.22,92.97,32375100
2026-03-31,93.03,96.26,93.03,96.15,54270000
2026-04-01,96.47,97.2,94.26,95.55,30439300
2026-04-02,95.27,98.71,95.17,98.66,37068000
2026-04-06,100.96,102.69,97.97,98.93,37029300
2026-04-07,98.55,99.88,98.25,98.82,25016700
2026-04-08,100.32,100.4,97.44,99.39,30957600
2026-04-09,99.63,102.34,99.08,102.05,35087800
2026-04-10,102.47,103.08,101.46,103.01,25769900
2026-04-13,103.03,103.67,102.06,103.16,26042800
