Date,Open,High,Low,Close,Volume
2020-01-02,353.93,365.17,353.93,365.17,754400
2020-01-03,359.43,363.36,358.46,363.03,479300
2020-01-06,359.42,359.99,356.11,359.61,587800
2020-01-07,358.71,361.73,356.58,361.44,404600
2020-01-08,361.78,366,359.39,364.87,453300
2020-01-09,366.95,370.47,365.06,370.11,541800
2020-01-10,371.34,372.72,369.53,370.35,352900
2020-01-13,370.96,374.65,370.37,374.09,308800
2020-01-14,373.52,374.88,371.95,372.6,356300
2020-01-15,374.05,377.67,372.91,373.53,360800
2020-01-16,375.28,376.09,371.4,375.7,412800
2020-01-17,376.51,380.36,376,379.74,513500
2020-01-21,378,380.2,376.28,378.26,419300
2020-01-22,379.34,380.66,374.55,375.66,373500
2020-01-23,375.97,378.85,372.62,378.46,431400
2020-01-24,379.88,380.84,375.31,376.84,366600
2020-01-27,372.01,375.99,370.79,372.48,374400
2020-01-28,373,379.85,371.23,377.9,469400
2020-01-29,380.75,381.18,376.72,378.46,428400
2020-01-30,383.46,393,377.91,389.38,808800
2020-01-31,386.6,388.15,379.68,381.66,630600
2020-02-03,384.66,386.33,378.41,379.71,460900
2020-02-04,385.54,389.72,384.39,386.19,420400
2020-02-05,390.78,390.84,384.46,385.75,470600
2020-02-06,386.77,387.39,384.45,385.04,311500
2020-02-07,385.37,388.26,383.54,385.44,303200
2020-02-10,384,391.78,383.75,391.78,373400
2020-02-11,394.27,395,389.62,389.77,310400
2020-02-12,389.71,392.16,385.49,391.06,301700
2020-02-13,389.13,391.56,386.28,388.39,270400
2020-02-14,388.21,392.77,388.21,392.73,279200
2020-02-18,390.82,392.22,388.51,389.33,319500
2020-02-19,390.24,394.39,387.87,387.97,297700
2020-02-20,387.18,390.88,383.74,384.01,432200
2020-02-21,382.65,390.09,381.76,387.25,955400
2020-02-24,378.67,382.52,373.31,375.02,468900
2020-02-25,375.79,375.79,363.92,365.91,478700
2020-02-26,368.58,374.67,363.84,365,528100
2020-02-27,358.65,365.79,354.49,355,786500
2020-02-28,346.55,354.06,341.13,351.7,1086400
2020-03-02,354.09,361.66,346.97,361.02,781500
2020-03-03,361.26,371.1,348.7,352.55,631300
2020-03-04,359.08,367.4,354,366.96,552500
2020-03-05,359.59,365.27,349.96,351.54,554300
2020-03-06,342.47,352.22,341,350.33,670700
2020-03-09,327.32,329.68,300.01,315.32,1142400
2020-03-10,324.78,341.97,323.95,341.55,1103500
2020-03-11,331.54,333.44,319.38,323.09,751200
2020-03-12,300.05,310.54,290.48,290.94,973800
2020-03-13,307.79,313.52,292.01,313.52,756400
2020-03-16,240,303.96,240,283.26,868100
2020-03-17,288.18,311.84,288.18,309.39,776900
2020-03-18,289.19,299.05,265.94,287.27,683000
2020-03-19,284.39,309.44,276.65,300.01,645600
2020-03-20,304.01,304.11,280.83,283.15,934800
2020-03-23,280.31,281.77,245.86,254.3,979400
2020-03-24,263.01,287.1,263.01,282.88,1257000
2020-03-25,283.61,296.9,271.52,285.18,1003500
2020-03-26,293.79,306.32,288.03,306.32,820100
2020-03-27,291.98,313.19,289.59,305.79,1191900
2020-03-30,308.14,319.68,305.3,317.46,741200
2020-03-31,314,317.88,308.77,311.81,704200
2020-04-01,298.16,302.8,290,293.66,556100
2020-04-02,290.42,305.07,290.42,305.07,479100
2020-04-03,304.74,308,293.02,299.68,458800
2020-04-06,312.78,317.27,303.29,312.62,660300
2020-04-07,323.01,327.15,307.03,308.11,663300
2020-04-08,311.75,320.76,306.91,318.08,482600
2020-04-09,319.35,327.59,314.29,315.45,605600
2020-04-13,313.3,316.61,308.01,314.72,357500
2020-04-14,320.31,324.93,312.54,319.66,622700
2020-04-15,314.41,317.51,310.84,314.09,482900
2020-04-16,314.84,316.64,306.85,310.1,867700
2020-04-17,318.59,324.25,313.98,321.97,613400
2020-04-20,318.99,324.95,314.71,320.32,475500
2020-04-21,314.33,315.3,308.7,310.58,466200
2020-04-22,315.76,318.52,310.43,313.64,416700
2020-04-23,315.11,322.22,312.93,314.01,401200
2020-04-24,315.28,317.27,304.55,306.41,955300
2020-04-27,309.52,317.43,308.17,314.55,929700
2020-04-28,345,354.94,323.33,336.79,1144800
2020-04-29,342.03,344.98,331.86,340.72,779800
2020-04-30,337.34,342.32,332.76,341.03,804900
2020-05-01,335.83,340.45,333.22,339.38,741300
2020-05-04,337.45,342.82,333.67,341.08,600100
2020-05-05,344.86,352.23,343.24,345.87,570700
2020-05-06,347.08,353.77,347.08,351.16,697700
2020-05-07,355.28,360.9,353.79,356.19,691600
2020-05-08,359.61,362.32,357.28,358.36,573600
2020-05-11,355.87,368.55,355,364.12,569700
2020-05-12,364.12,368.44,356.94,357,751100
2020-05-13,356.44,360.93,347.28,352.59,765300
2020-05-14,349.93,357.84,344.76,357.49,692500
2020-05-15,353.5,363.12,352.24,361.5,1201700
2020-05-18,372.8,374.38,365.81,366.34,699800
2020-05-19,365.26,367.2,357.75,357.75,536900
2020-05-20,364.03,370.96,361.66,367.88,447700
2020-05-21,367.03,370.4,363.62,365.06,290000
2020-05-22,364.61,367.1,362.94,367.06,322000
2020-05-26,377.7,377.9,369.01,370.29,559900
2020-05-27,375,380,368.97,379.2,571700
2020-05-28,380,388.54,376.76,381.73,567400
2020-05-29,380.53,394.95,379.15,393.8,1057200
2020-06-01,392.93,393.31,387.47,387.77,412700
2020-06-02,389.68,396.62,389.36,395.62,358700
2020-06-03,400,404.23,395.9,401.47,500800
2020-06-04,397.45,404.64,395,402.24,437900
2020-06-05,409,410.41,401.71,405.83,660400
2020-06-08,404.25,406.79,398.62,401.9,698000
2020-06-09,397.96,406.11,394.11,402.13,645100
2020-06-10,404.63,405.1,397.49,401.22,491100
2020-06-11,393.32,401.22,390.46,392.3,903200
2020-06-12,401.16,402.07,382.23,389.81,752800
2020-06-15,382.31,397.31,380.98,394.04,444600
2020-06-16,403.78,405.67,392.48,398.65,484300
2020-06-17,401.86,405.01,396.58,402.23,386600
2020-06-18,400.66,404.52,398.6,402.13,261200
2020-06-19,406.86,406.86,389.91,390.56,1141900
2020-06-22,392.94,400.76,389.38,400.04,413100
2020-06-23,401.19,403,396.9,397.44,385700
2020-06-24,393.74,398.66,382.56,386.93,590300
2020-06-25,386.8,393.61,381.32,393.35,411000
2020-06-26,392.69,393.28,383.76,387.21,745200
2020-06-29,390.43,390.43,382.15,385.64,583900
2020-06-30,385.2,390.36,383.48,388.26,947300
2020-07-01,391.62,393.35,386.9,389.69,497400
2020-07-02,394.28,396.75,390.45,391.17,483400
2020-07-06,395.87,396.37,391.85,393.19,440000
2020-07-07,391.41,394.23,390.22,390.48,435000
