Date,Open,High,Low,Close,Volume
2021-01-04,91.5,91.73,87.88,88.92,2368200
2021-01-05,88.85,89.42,88.01,88.44,2720500
2021-01-06,87.68,88.45,86.6,87.2,3185800
2021-01-07,87.53,89.6,86.79,89.44,2494000
2021-01-08,90.04,91.37,89.62,90.67,1997700
2021-01-11,90.21,90.33,89.14,89.37,2107100
2021-01-12,89.28,89.66,87.6,87.85,2193700
2021-01-13,87.55,89.52,87.35,89.26,1809600
2021-01-14,89.31,89.65,87.3,87.49,2881200
2021-01-15,87.27,88.15,86.84,87.87,3128600
2021-01-19,88.67,89.43,87.8,87.91,1976600
2021-01-20,88.32,88.64,87.37,88.1,3561800
2021-01-21,88.17,88.89,86.55,87.23,1796200
2021-01-22,86.98,87.38,85.21,85.52,3278900
2021-01-25,85.39,86.31,84.6,85.89,3297700
2021-01-26,84.6,87.84,84.03,86.54,2186600
2021-01-27,85.8,85.99,84.23,84.84,3290000
2021-01-28,82.06,85.6,82.01,83.38,5277400
2021-01-29,83.01,83.5,81.62,82.58,4292000
2021-02-01,83.54,83.87,81.85,81.92,2126100
2021-02-02,82.22,84.72,82.01,83.97,2515000
2021-02-03,83.51,84.12,82.45,83.86,2174600
2021-02-04,84.54,86.16,84.02,85.43,2441700
2021-02-05,85.96,86.19,85.02,85.1,1969500
2021-02-08,85.15,86.32,84.61,86.08,2167800
2021-02-09,86.3,86.93,85.37,85.8,1486200
2021-02-10,86.01,86.74,85.62,86.39,2713600
2021-02-11,86.81,88.11,86.22,88.07,2220700
2021-02-12,87.27,87.82,86.68,87.65,2094000
2021-02-16,88.2,88.2,86.13,86.98,2274500
2021-02-17,86.43,86.85,84.78,85.07,2399400
2021-02-18,84.44,86.1,83.26,85.24,2293700
2021-02-19,85.59,85.82,83.99,84.31,4797500
2021-02-22,83.81,84,82.76,83.34,3201100
2021-02-23,83.63,85.63,82.44,85.22,4287500
2021-02-24,85.28,86.08,84.44,84.45,1931800
2021-02-25,84.15,85.09,82.92,83.97,2107300
2021-02-26,84.35,84.35,82.71,83.1,2641900
2021-03-01,83.99,85.79,83.99,85.77,3181700
2021-03-02,86,86.88,85.48,86.28,3315800
2021-03-03,85.78,86.41,84.24,84.25,2514300
2021-03-04,84.25,84.88,81.23,81.88,2764000
2021-03-05,82.29,82.49,78.86,81.72,2771500
2021-03-08,81.37,82.38,80.29,80.32,2779900
2021-03-09,81.12,83.42,80.9,82.02,2293800
2021-03-10,82.58,84.96,82.25,82.98,2771800
2021-03-11,83.64,84.39,82.59,82.97,1996100
2021-03-12,83.07,83.24,81.96,82.07,1865500
2021-03-15,81.66,82.1,80.79,81.14,3764000
2021-03-16,81.31,82.18,80.62,81.26,2494600
2021-03-17,81.01,81.21,79.72,80.38,2303800
2021-03-18,80,80.2,78.58,78.68,2363300
2021-03-19,78.67,80.14,78.44,79.41,3507800
2021-03-22,78.99,80.42,78.8,79.66,2497100
2021-03-23,79.69,80.81,79.31,79.77,2390800
2021-03-24,80,80.93,79.66,80.21,2494500
2021-03-25,80.33,80.8,79.3,80.55,2758500
2021-03-26,80.75,82.41,80.21,82.3,2784700
2021-03-29,82.14,83.18,81.2,82.43,2376100
2021-03-30,82.09,83.22,81.97,82.85,3001400
2021-03-31,83.35,84.33,83.17,83.64,3567600
2021-04-01,83.98,84.44,83.12,83.84,2424100
2021-04-05,84.91,86.24,84.48,85.74,2555400
2021-04-06,85.2,86.55,85.19,85.41,2324600
2021-04-07,85.44,85.99,84.02,84.12,2549100
2021-04-08,84.88,85.14,84.03,84.16,2461200
2021-04-09,84.51,86,83.8,85.99,2550800
2021-04-12,85.75,86.53,85.43,85.82,2600500
2021-04-13,85.54,86.81,85.39,86.44,2042700
2021-04-14,86.36,87.66,86.14,86.25,1963300
2021-04-15,86.45,88.4,86.45,88,1860700
2021-04-16,88.57,89.13,87.66,89.02,6863400
2021-04-19,88.37,89.03,87.81,88.56,2671600
2021-04-20,88.76,91.03,88.73,89.63,3943300
2021-04-21,90.31,95.96,90.31,95.24,7071200
2021-04-22,94.4,96.39,93.76,96.15,4050400
2021-04-23,96.27,98.11,96.05,97.45,2422800
2021-04-26,97.28,97.55,95.51,96.03,2954500
2021-04-27,95.93,96.62,95.66,96.15,2094900
2021-04-28,96.33,97.01,95.86,96.78,2405400
2021-04-29,97.3,97.39,96.01,96.26,2347200
2021-04-30,95.92,96.42,94.85,95.52,2252700
2021-05-03,95.85,95.99,94.2,94.63,2327200
2021-05-04,94.13,94.13,92.48,93.31,2511400
2021-05-05,93.61,93.72,90.24,91.77,2455900
2021-05-06,91.48,91.87,90.36,91.75,2402800
2021-05-07,91.87,93.67,91.8,92.17,2255100
2021-05-10,92.22,92.4,90.25,90.4,2356500
2021-05-11,89.41,90.2,88.66,89.51,2175300
2021-05-12,88.56,88.88,87.32,87.47,1905800
2021-05-13,88.08,88.62,87.36,87.94,1094000
2021-05-14,88.3,89.94,88.01,89.49,2074700
2021-05-17,89.23,90.21,89.12,89.85,3412800
2021-05-18,90.25,91.06,89.61,90.07,1552200
2021-05-19,89.18,90.7,88.96,90.68,1974200
2021-05-20,91.02,93.27,91.02,92.8,2203900
2021-05-21,93.13,94.63,93.13,94.2,3472800
2021-05-24,95,96.47,94.92,95.45,3147100
2021-05-25,95.96,96.76,95.81,96.68,2230700
2021-05-26,97.28,97.28,94.68,96,2308400
2021-05-27,95.8,95.82,94.31,94.35,3799600
2021-05-28,95.29,96.44,95.27,95.9,2097800
2021-06-01,96.69,96.7,94.75,95.12,2010600
2021-06-02,94.89,95.13,93.08,93.38,1791800
2021-06-03,92.8,94.59,92.59,94.34,2212200
2021-06-04,95.15,96.35,95.07,95.87,2133000
2021-06-07,95.84,98.04,95.76,96.34,1944600
2021-06-08,96.98,97.4,95.88,96.98,1898300
2021-06-09,97.45,97.83,96.82,97.08,1889500
2021-06-10,97.24,99.95,97.16,99.94,2938300
