Date,Open,High,Low,Close,Volume
2013-01-02,84.7,86.77,84.33,86.74,6499100
2013-01-03,86.94,87.32,85.4,85.86,5817000
2013-01-04,86,86.65,85.87,86.52,4205800
2013-01-07,86.17,86.7,85.91,86.25,3980800
2013-01-08,86.22,86.56,85.97,86.09,4426100
2013-01-09,86.35,86.66,85.51,85.83,4776300
2013-01-10,86.38,87.29,86.32,87.29,5312800
2013-01-11,88.53,89.83,88.53,89.23,8106000
2013-01-14,89.34,89.66,88.77,89.07,4521100
2013-01-15,88.65,89.31,88.55,88.92,4439700
2013-01-16,88.44,88.78,87.9,88.34,3400400
2013-01-17,88.66,89.39,88.47,89.14,4568300
2013-01-18,89.41,89.98,88.9,89.98,5443600
2013-01-22,89.93,90.29,89.25,90.03,5937000
2013-01-23,89.73,90,88.54,88.84,4865200
2013-01-24,89.12,90,88.76,89.76,4403600
2013-01-25,89.83,90,89,89.42,4499700
2013-01-28,89.31,89.4,88.88,89,4549700
2013-01-29,88.64,89.56,88.55,88.91,4972700
2013-01-30,88.44,88.67,87.4,87.65,6468300
2013-01-31,87.81,89.02,87.65,88.16,5045200
2013-02-01,88.92,88.97,87.66,88.13,5420400
2013-02-04,87.53,88.05,86.8,87.33,5808700
2013-02-05,87.43,88.14,87.31,87.96,4546200
2013-02-06,87.75,87.92,87.36,87.69,3920500
2013-02-07,87.15,90,86.85,89.82,7478500
2013-02-08,89.64,90.85,89.64,90.45,4366500
2013-02-11,90.4,90.82,90.24,90.35,3283400
2013-02-12,90.63,90.73,90.01,90.14,3638500
2013-02-13,90.43,91.47,90.43,90.99,3852800
2013-02-14,90.86,90.99,89.85,90.01,5268700
2013-02-15,90.06,91,89.4,89.99,5235600
2013-02-19,90.37,91.4,90.09,91.31,4428500
2013-02-20,91.28,92.79,90.75,92.09,4866700
2013-02-21,91.61,93.61,91.35,93.13,5990900
2013-02-22,93.22,93.48,92.63,93.42,4070600
2013-02-25,93.28,93.57,91.55,91.56,6398900
2013-02-26,92.03,92.59,91.16,91.6,5150100
2013-02-27,91.36,91.82,90.73,91.43,4801300
2013-02-28,91.68,92.25,91.38,91.75,6038900
2013-03-01,91.69,92.67,91.14,91.44,4554100
2013-03-04,91.48,92.57,91.47,92.36,4116200
2013-03-05,92.5,92.92,91.92,92.28,4552800
2013-03-06,92.34,92.63,91.41,91.6,4083800
2013-03-07,91.4,91.96,91.4,91.81,3178600
2013-03-08,91.87,91.92,90.91,91.11,3946700
2013-03-11,90.9,91.55,90.82,91.21,3249400
2013-03-12,91.38,91.42,90.3,90.89,4420000
2013-03-13,90.84,90.9,90.04,90.55,4122500
2013-03-14,90.93,91.6,90.83,91.31,5079000
2013-03-15,90.98,91.63,90.24,91.37,9899400
2013-03-18,90.54,90.93,90.25,90.36,4503000
2013-03-19,90.59,91.22,90.29,90.81,3717900
2013-03-20,91,91.71,90.99,91.42,4184500
2013-03-21,91.12,91.54,90.88,91.05,4008600
