Date,Open,High,Low,Close,Volume
2012-01-03,0.346006,0.346006,0.346006,0.346006,0
2012-01-04,0.346006,0.346006,0.346006,0.346006,0
2012-01-05,0.346006,0.346006,0.346006,0.346006,0
2012-01-06,0.346006,0.346006,0.346006,0.346006,0
2012-01-09,0.346006,0.346006,0.346006,0.346006,0
2012-01-10,0.346006,0.346006,0.346006,0.346006,0
2012-01-11,0.346006,0.346006,0.346006,0.346006,0
2012-01-12,0.346006,0.346006,0.346006,0.346006,0
2012-01-13,0.346006,0.346006,0.346006,0.346006,0
2012-01-17,0.346006,0.346006,0.346006,0.346006,0
2012-01-18,0.346006,0.346006,0.346006,0.346006,0
2012-01-19,0.346006,0.346006,0.346006,0.346006,0
2012-01-20,0.346006,0.346006,0.346006,0.346006,0
2012-01-23,0.346006,0.346006,0.346006,0.346006,0
2012-01-24,0.346006,0.346006,0.346006,0.346006,0
2012-01-25,0.346006,0.346006,0.346006,0.346006,86
2012-01-26,0.346006,0.346006,0.346006,0.346006,0
2012-01-27,0.346006,0.346006,0.346006,0.346006,0
2012-01-30,0.346006,0.346006,0.346006,0.346006,0
2012-01-31,0.346006,0.346006,0.346006,0.346006,0
2012-02-01,0.346006,0.346006,0.346006,0.346006,0
2012-02-02,0.346006,0.346006,0.346006,0.346006,0
2012-02-03,0.346006,0.346006,0.346006,0.346006,0
2012-02-06,0.346006,0.346006,0.346006,0.346006,0
2012-02-07,0.346006,0.346006,0.346006,0.346006,0
2012-02-08,0.346006,0.346006,0.346006,0.346006,0
2012-02-09,0.346006,0.346006,0.346006,0.346006,0
2012-02-10,0.346006,0.346006,0.346006,0.346006,0
2012-02-13,0.346006,0.346006,0.346006,0.346006,0
2012-02-14,0.346006,0.346006,0.346006,0.346006,0
2012-02-15,0.346006,0.346006,0.346006,0.346006,0
2012-02-16,0.346006,0.346006,0.346006,0.346006,0
2012-02-17,0.346006,0.346006,0.346006,0.346006,0
2012-02-21,0.346006,0.346006,0.346006,0.346006,0
2012-02-22,0.346006,0.346006,0.346006,0.346006,0
2012-02-23,0.346006,0.346006,0.346006,0.346006,0
2012-02-24,0.346006,0.346006,0.346006,0.346006,0
2012-02-27,0.346006,0.346006,0.346006,0.346006,0
2012-02-28,0.346006,0.346006,0.346006,0.346006,0
2012-02-29,0.346006,0.346006,0.346006,0.346006,0
2012-03-01,0.346006,0.346006,0.346006,0.346006,0
2012-03-02,0.346006,0.346006,0.346006,0.346006,0
2012-03-05,0.346006,0.346006,0.346006,0.346006,69
2012-03-06,0.346006,0.346006,0.346006,0.346006,0
2012-03-07,0.346006,0.346006,0.346006,0.346006,0
2012-03-08,0.346006,0.346006,0.346006,0.346006,0
2012-03-09,0.346006,0.346006,0.346006,0.346006,0
2012-03-12,0.346006,0.346006,0.346006,0.346006,0
2012-03-13,0.346006,0.346006,0.346006,0.346006,0
2012-03-14,0.346006,0.346006,0.346006,0.346006,0
2012-03-15,0.346006,0.346006,0.346006,0.346006,0
2012-03-16,0.346006,0.346006,0.346006,0.346006,0
2012-03-19,0.346006,0.346006,0.346006,0.346006,0
2012-03-20,0.346006,0.346006,0.346006,0.346006,0
2012-03-21,0.346006,0.346006,0.346006,0.346006,0
