Date,Open,High,Low,Close,Volume
2020-01-02,161.93,162.42,158.52,159.73,1094900
2020-01-03,158.5,161.36,158.5,160.64,371300
2020-01-06,160.04,161.58,159.59,161.03,604700
2020-01-07,156.49,157.53,154.7,155.76,4543900
2020-01-08,156.5,158,155.78,157.83,2239300
2020-01-09,157.91,158.4,157.03,157.27,1644600
2020-01-10,157.59,158.74,156.86,158.57,1155300
2020-01-13,159.21,160.97,159.21,160.78,1216300
2020-01-14,160.55,160.9,158.59,160.46,1023500
2020-01-15,161.15,163.72,160.83,162.29,875700
2020-01-16,162.95,164.45,162.84,163.81,673200
2020-01-17,164.15,164.36,162.8,162.9,1963400
2020-01-21,163.33,165,163.1,164.8,1188800
2020-01-22,165.1,165.68,162.68,163.28,467400
2020-01-23,163.68,165.62,162.59,165.41,491700
2020-01-24,165.74,165.74,163.69,164.66,484300
2020-01-27,163.63,164.66,163.36,163.79,558100
2020-01-28,163.89,165.13,163.42,164.38,518500
2020-01-29,164.9,165.45,163.57,164.52,569000
2020-01-30,164,165.35,163.62,164.48,603000
2020-01-31,164.04,164.7,162.54,163.2,560100
2020-02-03,163.85,166,163.7,164.81,1126700
2020-02-04,165.4,169.05,165.4,167.79,814300
2020-02-05,168.19,169.11,167.33,167.93,595300
2020-02-06,168.51,169.85,167.42,167.84,771700
2020-02-07,168.42,168.42,166.86,167.55,931900
2020-02-10,168.38,170.57,168.17,170.57,514300
2020-02-11,170.99,172.6,170.48,171.65,550800
2020-02-12,172.04,174.05,171.36,173.41,779000
2020-02-13,173.4,174.8,173.3,173.58,630300
2020-02-14,173.8,175.02,173.58,174.93,463600
2020-02-18,175.08,175.74,173.27,173.85,477400
2020-02-19,173.85,174,169.17,169.19,773000
2020-02-20,169,169.38,168.06,168.72,770400
2020-02-21,168.29,168.72,167.24,167.98,916200
2020-02-24,166.07,167.47,165.24,166.74,955500
2020-02-25,167.02,167.19,163.01,163.65,763000
2020-02-26,164.03,165.18,162.88,163.08,945800
2020-02-27,161.44,162.73,154.57,154.68,1388700
2020-02-28,152.39,153.81,147.83,151.88,1578000
2020-03-02,152.89,155.95,151.39,155.58,1201500
2020-03-03,156.35,160.33,154.46,157.75,1153700
