Date,Open,High,Low,Close,Volume
2000-01-03,17.4375,17.5,16.625,16.625,64600
2000-01-04,16.625,16.625,15.625,15.875,81900
2000-01-05,15.75,15.75,15,15.75,38100
2000-01-06,15.75,16.25,15.75,16,41200
2000-01-07,15.875,16.25,15.75,15.875,34700
2000-01-10,16.5,16.5,16,16,94200
2000-01-11,16.125,16.875,16,16.4375,39700
2000-01-12,16.5,17.125,16.5,17.125,25100
2000-01-13,17.25,17.5,16.875,16.9375,62000
2000-01-14,17,17.75,16.875,17.5,183100
2000-01-18,17.75,18.25,17.75,18,77300
2000-01-19,18,18.375,17.9375,18.25,34500
2000-01-20,18.25,18.25,17.375,17.5,42200
2000-01-21,17.4375,17.5,17.25,17.375,16000
2000-01-24,17.5,17.5,17,17.125,10700
2000-01-25,17.125,17.5,17.0625,17.25,19200
2000-01-26,17.25,17.5,17.25,17.4375,16600
2000-01-27,17.4375,18,17.4375,17.5,33600
2000-01-28,17.625,17.625,17.3125,17.375,3900
2000-01-31,17.125,17.5,17.125,17.5,53900
2000-02-01,17.375,17.75,17.375,17.75,15400
2000-02-02,18,18.125,17.875,17.9375,92700
2000-02-03,18.0625,18.125,17.9375,18,35200
2000-02-04,18.125,18.5625,18.125,18.4375,51500
2000-02-07,18.4375,18.5625,18.375,18.5,25200
2000-02-08,18.5,18.875,18.5,18.5625,45300
2000-02-09,18.75,18.75,18.375,18.375,9100
2000-02-10,18.5,18.5,17.875,17.875,9700
2000-02-11,17.875,18,17.875,17.9375,24700
2000-02-14,18.0625,18.0625,17.875,18,7100
2000-02-15,17.875,18,17.875,17.875,4900
2000-02-16,17.875,18.5,17.875,18.5,69000
2000-02-17,18.5,18.6875,18.3125,18.375,28100
2000-02-18,18.375,18.5625,18.375,18.5,5000
2000-02-22,18.625,18.8125,18.5625,18.5625,10700
2000-02-23,18.5625,18.9375,18.5625,18.8125,5700
2000-02-24,18.875,19.125,18.875,19,61800
2000-02-25,19,19.25,19,19.25,41400
2000-02-28,19.25,20.125,19.25,20.125,35700
2000-02-29,21.75,21.875,21.625,21.875,79900
2000-03-01,22.5,22.75,21.75,21.75,140600
2000-03-02,22,22.25,22,22.0625,26600
2000-03-03,22.125,22.125,22.0625,22.125,17300
2000-03-06,22.0625,22.25,22.0625,22.0625,9900
2000-03-07,22.125,22.125,21.75,22,26200
2000-03-08,22,22.1875,22,22,31700
2000-03-09,21.875,22,21.75,22,7800
2000-03-10,22,22.125,21.9375,22.125,5200
2000-03-13,22.375,23.125,22.25,22.875,27900
2000-03-14,22.875,23,22.875,22.875,1300
2000-03-15,23.125,24.125,22.625,24.125,29000
2000-03-16,24.125,25,24.125,24.375,19500
2000-03-17,23.375,24.75,23.375,24.75,73300
2000-03-20,24,24.25,23.875,24,134700
2000-03-21,23.75,24,23.75,24,172200
2000-03-22,23.75,23.75,22.625,22.625,35900
2000-03-23,22.625,22.625,22.5,22.5,1300
2000-03-24,22.5,22.5,22.375,22.4375,5600
2000-03-27,22.1875,22.1875,22,22.0625,19600
2000-03-28,22.0625,22.0625,19.75,20,42600
2000-03-29,19.75,19.875,19.75,19.75,77000
2000-03-30,19.8125,20.5,19.8125,20.4375,18700
2000-03-31,20.4375,20.4375,20.25,20.25,23500
2000-04-03,20.25,20.6875,20.25,20.625,4000
2000-04-04,20.625,20.875,20.625,20.75,77700
2000-04-05,20.75,21.4375,20.625,21.4375,32700
2000-04-06,21.375,22.4375,21.125,22.375,12500
2000-04-07,22.25,24.4375,22.25,24.25,44500
2000-04-10,24.25,24.25,24,24,16100
2000-04-11,24.125,24.125,24,24.0625,6300
2000-04-12,24,24,23.8125,23.875,3800
2000-04-13,23.75,23.75,23.375,23.375,4900
2000-04-14,23.25,23.25,23,23,10200
2000-04-17,22.875,22.875,22.375,22.4375,15500
2000-04-18,22.3125,22.3125,21.875,21.9375,2900
2000-04-19,21.8125,21.9375,21,21,20400
2000-04-20,21,21.1562,20.9375,21.125,78800
2000-04-24,21.0625,21.625,21,21.625,15100
2000-04-25,21.875,24.5,21.6875,24,74600
2000-04-26,24.25,24.25,23.8125,24.125,67700
2000-04-27,24,24.375,24,24.3125,12600
2000-04-28,24.5,26,24.375,26,43100
2000-05-01,26.25,26.5,24,24,97500
2000-05-02,24.125,24.125,23.75,23.8125,6100
2000-05-03,23.5625,24.375,23.5625,24.25,23000
2000-05-04,24,24,23.625,23.625,6300
2000-05-05,23.5,23.875,23.5,23.6875,6200
2000-05-08,23.5625,24.125,23.5,24,20400
2000-05-09,24.125,24.375,24.0625,24.375,19900
2000-05-10,24.5,25.0625,24.375,25.0625,23400
2000-05-11,25.125,25.75,25.125,25.25,30200
2000-05-12,25,25.75,24.875,25.75,32300
2000-05-15,25.75,26.5,25.625,25.75,73700
2000-05-16,25.8125,26.5,25.625,26.25,26100
2000-05-17,26.375,26.5,26.25,26.375,5300
2000-05-18,26.375,26.375,26.0625,26.1875,9400
2000-05-19,26.1875,26.1875,26,26.125,38200
2000-05-22,26,26,25.8125,25.8125,6700
2000-05-23,25.375,25.375,23.75,23.75,63200
2000-05-24,23.25,23.625,23,23.25,33100
2000-05-25,23.375,23.5,23.375,23.375,12500
2000-05-26,23.375,23.625,23.25,23.25,64800
2000-05-30,23.25,23.25,22.8125,23.25,89000
2000-05-31,23.25,24.1875,23.25,24.0625,68300
2000-06-01,24.0625,24.75,24.0625,24.375,38200
2000-06-02,24.5,26,24.5,25.75,62400
2000-06-05,25.625,27,25.375,26.875,145400
2000-06-06,26.875,26.875,26.375,26.4375,61200
2000-06-07,26.4375,26.4375,25.9375,25.9375,16400
2000-06-08,25.8125,25.8125,25.375,25.4375,32200
2000-06-09,25.375,25.4375,25.25,25.4375,29700
2000-06-12,25.4375,25.4375,24.5,25.25,75500
2000-06-13,24.75,26,24.75,26,185700
2000-06-14,26,26.9375,26,26.8125,162900
2000-06-15,27.0625,28,27.0625,27.5,104300
2000-06-16,27.5,29.25,27.5,29,222700
2000-06-19,29.25,29.375,28.75,28.8125,197500
2000-06-20,28.625,28.625,28,28.4375,68600
2000-06-21,28.5,29.25,28.5,29.25,35700
2000-06-22,29.1875,31.375,29,30.875,53000
2000-06-23,30.875,30.9062,30,30.1875,53900
2000-06-26,30,31,29.75,31,85500
2000-06-27,31.25,32.625,31.125,32.375,58000
2000-06-28,32.375,36,32,35,128800
2000-06-29,35,35,32.625,32.625,292000
2000-06-30,32.875,34,29,29,583600
2000-07-03,29.1875,29.625,29.125,29.25,80300
2000-07-05,29.25,29.5,28.375,29.375,80400
2000-07-06,29.125,29.25,28.75,28.875,56000
2000-07-07,28.625,29.75,28.3125,29.75,36300
2000-07-10,29.875,32.125,29.875,32,76900
2000-07-11,32.125,33.8125,32.125,33.375,106000
2000-07-12,33.0625,34.25,32.3125,34.25,286500
2000-07-13,34.25,34.25,33.6875,33.6875,87400
2000-07-14,33.6875,33.875,33.4375,33.875,13700
2000-07-17,33.875,34,33.0625,33.0625,49800
2000-07-18,32.875,32.875,31.5625,32.3125,60500
2000-07-19,32.3125,32.3125,31.9375,32.125,98500
2000-07-20,32.1875,32.625,32.0625,32.5625,28000
2000-07-21,32.6875,33.875,32.6875,33.8125,20000
