Date,Open,High,Low,Close,Volume
2011-03-10,31.2,31.5,30.7,31.02,64599900
2011-03-11,30.5,31.29,30.5,31.12,9531600
2011-03-14,30.96,31.05,30.57,30.91,8663800
2011-03-15,30.39,31.5,30.36,31.34,7121200
2011-03-16,31.25,31.95,31.12,31.25,6157900
2011-03-17,31.54,31.93,31.4,31.91,3332400
2011-03-18,32.11,33.08,31.9,33.06,5463200
2011-03-21,33.39,33.39,32,32.25,3823500
2011-03-22,32.37,32.39,31.39,31.87,3943900
2011-03-23,31.7,32.68,31.5,32.68,4216300
2011-03-24,32.53,32.95,32.5,32.69,2125600
2011-03-25,32.71,33.1,32.58,32.95,3026600
2011-03-28,32.87,33.11,32.75,33.04,2098300
2011-03-29,33.44,34.01,33.05,33.89,5137300
2011-03-30,34.57,34.57,33.93,34.24,3049500
2011-03-31,34,34.11,33.67,33.87,1960600
2011-04-01,33.89,34.1,33.66,33.74,1822100
2011-04-04,33.87,33.87,33.31,33.67,2648000
2011-04-05,33.7,34.05,33.25,34.02,3607100
2011-04-06,33.75,34.2,33.24,33.3,2718500
2011-04-07,33.28,33.85,32.85,33.66,1946900
2011-04-08,33.52,33.99,32.99,33.17,2339800
2011-04-11,33.34,33.34,30.79,32.12,15028000
2011-04-12,32.11,32.59,31.33,31.53,3848800
2011-04-13,32,32.45,31.7,32.06,3969800
2011-04-14,31.89,32.5,31.79,32.14,1565900
2011-04-15,32.3,32.38,31.89,31.98,3072800
2011-04-18,31.82,32.54,30.75,32.08,2911100
2011-04-19,33.08,33.1,31.66,31.74,3838100
2011-04-20,32,32.19,31.15,31.65,3866100
2011-04-21,31.81,31.98,31.27,31.4,1462000
2011-04-25,31.56,31.6,31.1,31.4,732700
2011-04-26,31.35,32.07,31.16,32,1800000
2011-04-27,32.26,33,32.25,32.65,3354500
2011-04-28,32.51,32.99,32.25,32.57,1600000
2011-04-29,32.5,32.86,32.03,32.8,1233900
2011-05-02,32.8,33.79,32.8,33.44,2786200
2011-05-03,33.59,33.88,31.94,32.61,3429400
2011-05-04,33.1,33.96,32.79,33.55,4518300
2011-05-05,33.45,34.74,33.15,34.34,2613000
2011-05-06,34.06,34.5,33.89,34.25,1601300
2011-05-09,34.35,34.75,34.14,34.49,1996100
2011-05-10,34.03,34.86,34,34.59,1475100
2011-05-11,34.2,34.79,34.06,34.54,1431700
2011-05-12,34.3,34.59,34.12,34.51,814000
2011-05-13,34.43,34.77,34.23,34.6,1694000
2011-05-16,34.3,34.6,34.05,34.25,1719900
2011-05-17,34.21,34.95,34,34.54,3131000
2011-05-18,34.4,35.24,34.15,35.07,2070300
2011-05-19,35.02,35.23,34.5,35.05,1183900
2011-05-20,34.9,35.04,34.15,34.63,2012400
2011-05-23,34.4,34.55,34,34.41,2200000
2011-05-24,34.53,34.64,34.07,34.49,3000000
2011-05-25,34.57,35,34.24,34.68,2539100
2011-05-26,34.9,34.91,34.05,34.83,1796500
2011-05-27,34.92,35.1,34.41,34.74,1474700
2011-05-31,34.99,35.31,34.56,34.89,8113400
2011-06-01,35,35.27,34.42,34.77,3049800
2011-06-02,34.84,35.05,34.25,34.36,2160100
2011-06-03,34,34.15,33.72,34.14,2519100
2011-06-06,33.98,34.28,33.06,33.74,2361000
2011-06-07,33.79,34.9,33.73,34.52,1896300
2011-06-08,34.57,34.99,34.25,34.76,1458400
2011-06-09,35.03,35.37,34.58,35.24,1634100
2011-06-10,35,35,33.86,33.9,2222700
2011-06-13,34.15,34.15,33.25,33.65,1671700
2011-06-14,33.8,34.07,33.26,33.54,1846300
2011-06-15,33.25,33.52,32.62,33.15,2544700
2011-06-16,34.05,34.8,33.5,33.87,5779300
2011-06-17,34,34.99,33.95,34.59,3872600
2011-06-20,34.72,34.72,34.05,34.23,1461700
2011-06-21,34.2,34.36,33.5,33.9,2728100
2011-06-22,33.9,33.99,33.36,33.42,2487500
2011-06-23,33.3,33.44,32.28,33.21,3222100
2011-06-24,33.31,33.31,32.16,32.25,11475100
2011-06-27,32.4,32.71,31.49,32.48,3136700
2011-06-28,32.59,33.08,32.58,32.75,2536500
2011-06-29,32.98,33.3,32.59,32.76,1405800
2011-06-30,32.78,33.39,32.63,33,1479200
2011-07-01,33.14,33.5,32.54,33.06,1663200
2011-07-05,33.07,33.47,32.98,33.17,957900
2011-07-06,33.26,34.17,33.12,33.99,2467500
2011-07-07,34.25,34.74,34,34.29,1928600
2011-07-08,33.96,34.01,33.29,33.83,874800
2011-07-11,33.54,33.67,32.99,33.06,777900
2011-07-12,33.05,33.73,32.65,32.8,1075800
2011-07-13,32.98,33.67,32.81,33.24,1120100
2011-07-14,33.3,33.54,32.98,33.22,1107800
2011-07-15,33.27,33.28,32.74,33.22,1116700
2011-07-18,33.04,33.07,32.44,32.59,1609500
2011-07-19,33.04,33.93,32.87,33.03,2768200
2011-07-20,33.2,33.51,32.69,33.25,721700
2011-07-21,33.43,34.56,33.43,34.43,1554300
2011-07-22,34.32,34.92,34.02,34.61,2101300
2011-07-25,30.05,30.8,27.51,27.97,25100300
2011-07-26,27.67,28.38,26.96,28.04,7726300
2011-07-27,27.96,28.38,27.33,27.37,7519300
2011-07-28,27.52,27.9,26.89,27.22,3745300
2011-07-29,27.03,27.15,26.5,26.68,4122700
2011-08-01,26.96,27.19,23.53,24.94,11984800
2011-08-02,25.95,26.09,24.34,24.64,4763100
2011-08-03,24.57,24.9,22.71,24.76,8645800
2011-08-04,24.63,24.65,22.58,22.9,6587900
2011-08-05,23.09,23.25,21.69,21.99,5344500
2011-08-08,21.58,21.67,17.25,18.19,10496600
2011-08-09,18.51,19.26,17.03,18.35,8246200
2011-08-10,17.8,18.96,17.68,18.58,12044400
2011-08-11,18.79,19.87,18.75,19.47,7056800
2011-08-12,19.52,21.41,18.59,21.22,6145000
2011-08-15,21.42,23.55,21.42,22.58,7085300
2011-08-16,22.33,22.41,21.52,21.77,2753200
2011-08-17,21.95,22.06,20.81,20.99,3437400
2011-08-18,20.49,20.7,19.67,19.96,3699900
2011-08-19,19.67,20.05,19.06,19.27,1865200
2011-08-22,19.57,19.91,18.8,19.06,1310900
2011-08-23,19.14,19.6,18.55,19.58,3408800
2011-08-24,19.56,20.24,19.09,20.04,2030400
2011-08-25,20.24,20.24,18.87,19.06,1532500
2011-08-26,19.02,19.6,18.47,19.5,1456000
2011-08-29,19.73,20.44,19.64,19.98,2126400
2011-08-30,19.93,20,19.61,19.86,1880200
2011-08-31,19.89,20.41,19.75,20.03,2863200
2011-09-01,20.16,20.62,19.08,19.19,1599200
2011-09-02,18.82,19,18.31,18.65,1920900
2011-09-06,18.08,18.91,17.87,18.76,2363000
2011-09-07,19.1,20.11,18.9,19.84,2327200
2011-09-08,19.71,20.15,19.42,19.49,1371000
2011-09-09,19.32,19.59,18.28,18.3,2378000
2011-09-12,18.09,18.84,17.6,18.4,3584300
2011-09-13,18.07,18.07,17.2,17.66,4192500
2011-09-14,17.71,19.11,17.6,18.61,7234800
2011-09-15,19.96,21,19.93,20.84,7338600
2011-09-16,21.26,21.54,20.75,21.23,3972600
2011-09-19,20.73,20.74,19.74,19.81,3967900
2011-09-20,20,20.19,19.49,19.9,2470400
2011-09-21,19.89,20.52,19.75,19.82,4255800
2011-09-22,19.03,20.33,19.03,19.92,3843300
2011-09-23,19.53,19.84,19.23,19.46,2915600
2011-09-26,19.77,20,19.37,19.85,2518400
2011-09-27,20.3,20.37,19.75,19.83,1372800
2011-09-28,19.88,19.88,19.2,19.2,1467000
2011-09-29,19.5,19.94,19.23,19.8,1730100
2011-09-30,19.52,20.31,19.47,20.16,4126700
2011-10-03,20.09,20.49,18.72,18.81,4123900
2011-10-04,18.51,18.68,17.43,18.61,4096800
2011-10-05,17.88,18.84,17.7,18.07,4669800
2011-10-06,18.11,18.8,17.99,18.27,2032500
2011-10-07,18.58,19.02,18.15,18.6,2169300
2011-10-10,18.99,19.28,18.82,19.18,1054600
2011-10-11,19.19,19.26,18.86,19.1,875700
2011-10-12,19.29,20.8,19.11,20.32,4898800
2011-10-13,20.12,21.21,19.92,21.13,3378300
2011-10-14,21.47,22.16,21.34,22.05,3463600
2011-10-17,21.95,22.21,21.46,21.8,1974300
2011-10-18,21.92,22.88,21.76,22.7,2975500
2011-10-19,22.75,22.86,21.76,21.94,2507400
2011-10-20,21.93,22.13,21.11,21.67,3167400
2011-10-21,22.1,23.38,22.1,23.31,3662500
2011-10-24,23.27,23.55,22.54,22.8,1943500
2011-10-25,22.59,22.59,22.1,22.16,1446000
2011-10-26,22.52,22.7,21.45,22.34,2247300
2011-10-27,22.95,22.95,21.33,22.54,3777400
2011-10-28,22.48,23.09,22.26,22.78,2215300
2011-10-31,22.68,23.73,22.52,23.45,4239400
2011-11-01,22.94,25.64,22.5,23.5,5719200
2011-11-02,24.05,24.7,23.31,23.35,4120600
2011-11-03,23,23.42,22.52,23.09,3674800
2011-11-04,23.23,23.62,22.85,23.51,1343600
2011-11-07,23.35,24.61,23.35,24.52,2936000
2011-11-08,24.38,25.59,23.9,25.21,6044300
2011-11-09,24.32,25.4,24.32,25.02,3704700
2011-11-10,25.01,25.98,25.01,25.87,4279400
2011-11-11,26.12,26.86,25.95,26.53,4686700
2011-11-14,26.4,26.73,26.06,26.53,2891000
2011-11-15,26.43,26.76,25.94,26.61,2435400
2011-11-16,26.52,26.75,25.46,25.52,2462500
2011-11-17,25.41,25.78,24.72,25.05,3054300
2011-11-18,25.09,25.69,24.63,25.2,3779500
2011-11-21,24.68,25.5,24.68,25.04,2041700
2011-11-22,24.93,25.03,23.79,23.95,2668800
2011-11-23,23.73,24.01,23.22,23.58,2631100
2011-11-25,23.59,23.99,23.41,23.46,258800
2011-11-28,23.86,24.36,23.61,23.77,1705000
2011-11-29,23.9,24.24,23.42,24.05,1698500
2011-11-30,24.68,24.73,23.91,24.38,3441400
2011-12-01,24.29,24.58,24.05,24.19,1495700
2011-12-02,24.02,24.47,21.55,22.45,8681400
2011-12-05,23.74,24,23.37,23.65,4116500
2011-12-06,23.65,24.03,23,23.24,3034400
2011-12-07,23.06,23.19,22.43,22.67,2697300
2011-12-08,22.53,22.55,21.13,21.45,2941500
2011-12-09,21.51,21.73,21.17,21.18,1562200
2011-12-12,21.08,21.28,20.34,20.66,2690300
2011-12-13,20.68,21.24,20.13,20.22,2385400
2011-12-14,20.16,20.77,19.86,20.6,4290500
2011-12-15,20.63,21.28,20.53,21.14,3124300
2011-12-16,21.42,21.9,21.2,21.57,6188100
2011-12-19,21.67,21.9,21.14,21.23,1709700
2011-12-20,21.53,21.8,20.94,21.06,2592300
2011-12-21,21.07,21.98,21.07,21.9,1678800
2011-12-22,21.91,22.22,21.69,21.88,1272600
2011-12-23,21.8,21.91,21.41,21.46,1161600
2011-12-27,21.41,21.69,21.05,21.38,981700
2011-12-28,21.4,21.44,20.82,20.91,1201800
2011-12-29,20.93,21.39,20.85,21.27,781300
