Date,Open,High,Low,Close,Volume
2025-01-02,145.09,146.03,141.15,141.98,906800
2025-01-03,143,144.28,141.33,144.03,803900
2025-01-06,145.38,148.57,145.29,145.65,1142800
2025-01-07,145.8,146.77,141.61,143.32,1324100
2025-01-08,142.76,144.02,140.28,143.5,1323200
2025-01-10,141.02,141.52,137.64,139.96,1772400
2025-01-13,139.56,147.39,139.09,146.47,2118500
2025-01-14,151.35,154.69,149.77,154.25,2459100
2025-01-15,165.81,168.85,160.26,161.54,3694900
2025-01-16,160.96,162.52,158.77,160.66,1247700
2025-01-17,165,165.57,163.21,164.12,1833400
2025-01-21,167.27,169.34,164.9,166.18,1736000
2025-01-22,165.67,166.94,164.27,165.78,1471000
2025-01-23,166,169.5,165.69,168.12,1118800
2025-01-24,168.23,168.93,166.5,166.76,1208600
2025-01-27,166,175.12,166,173.51,2114800
2025-01-28,173.35,173.35,167.78,169.52,1476100
2025-01-29,169.32,172.88,168.05,168.62,1404700
2025-01-30,170.38,173.84,169.05,172.71,1229400
2025-01-31,170.56,172.22,167.2,167.28,1469900
2025-02-03,162.9,164.43,159.82,162.91,1683900
2025-02-04,163.59,165.58,161.07,163.43,1364500
2025-02-05,165.7,165.7,161.53,162.09,1302500
2025-02-06,163.55,164.42,159.16,159.87,1401400
2025-02-07,159.17,159.17,152.6,153.93,1788100
2025-02-10,155.95,157.34,154.13,155.72,1093800
2025-02-11,155.2,159,154.76,156.16,711000
2025-02-12,148.82,151.73,147.1,150.76,1573700
2025-02-13,151.72,153.42,150.31,152.5,1392600
2025-02-14,154.15,157.96,152.91,153.9,1468600
2025-02-18,153.79,153.91,147.45,147.95,1800000
2025-02-19,145,146.19,143.68,144.79,2630100
2025-02-20,145.15,149,141.43,144.39,2758400
2025-02-21,144.56,146,133.66,137.35,3484900
2025-02-24,136.23,138.98,134.73,138.58,2430600
2025-02-25,139.41,143.32,138.13,140.78,2918600
2025-02-26,141.38,143.33,139.73,142.08,1890700
2025-02-27,141.24,141.99,139.1,139.15,1457800
2025-02-28,139.05,140.34,136.35,138.99,1555400
2025-03-03,138.86,140.39,133.8,134.92,1283300
2025-03-04,131.56,134.19,127.45,130.39,2961500
2025-03-05,131.12,135.41,130.39,133.7,1760200
2025-03-06,131.68,134.78,131.68,134.27,2083800
2025-03-07,134,135.7,131.2,134.51,1048800
2025-03-10,133.4,139.18,132.85,135.58,1865100
2025-03-11,135.48,136.79,128.8,130,1649400
2025-03-12,131,131.59,128.45,129.46,1670400
2025-03-13,129.28,129.49,122.49,122.8,1730900
2025-03-14,125.82,126.36,123.33,126.19,1919900
2025-03-17,126.13,129.62,126,128.15,1018000
2025-03-18,127.51,129.09,126.23,127.72,1306900
2025-03-19,127.67,129.97,126.07,128.29,1623900
2025-03-20,127.5,132.34,126.97,128.76,1488400
2025-03-21,126.88,127,124.33,126.46,4153200
2025-03-24,128.27,131.9,127.73,131.73,1371800
2025-03-25,130.45,132.35,129.24,130.85,992200
2025-03-26,130.02,131.49,127.86,128.99,851100
2025-03-27,128.58,129.41,126.85,128.03,789500
2025-03-28,128.03,128.49,123.98,124.51,1129500
2025-03-31,121.08,125.96,119.65,124.94,1979500
2025-04-01,125.09,127.25,123.85,125.61,1500300
2025-04-02,124.01,131.32,123.65,131.12,1411900
2025-04-03,125.86,125.86,119.58,119.82,1535300
2025-04-04,116.14,125.82,114.7,123.96,2899100
2025-04-07,119.85,126.54,117.79,118.91,2436800
2025-04-08,121.75,122.79,112.13,113.83,2504700
2025-04-09,112.36,125.09,110.84,124.73,2687500
2025-04-10,122.09,122.09,115.77,119.94,1732900
2025-04-11,118.8,121.35,114.91,120.9,1494700
2025-04-14,123.28,124,117.8,119.5,1716000
2025-04-15,118.89,121.07,118.18,118.22,1511700
2025-04-16,117.3,119.1,112.27,113.06,2370900
2025-04-17,113.46,118.62,113.22,116.94,2158100
2025-04-21,114.63,115.38,112.8,114.08,1422300
2025-04-22,116.2,117.46,113.01,116.1,1340700
2025-04-23,120.24,123.2,117.18,117.26,1154500
2025-04-24,118.46,121.25,116.81,120.91,900400
2025-04-25,119.61,121.6,119.61,121.35,819400
2025-04-28,121.4,123.38,120.07,121.5,895700
2025-04-29,119.04,121.2,118.35,120.24,969100
2025-04-30,117.69,119.68,117.02,119.63,1975900
2025-05-01,116.05,118.7,111.42,111.93,3461200
2025-05-02,113.32,115.92,112.78,114.13,2027600
2025-05-05,112.83,114.72,111.53,111.86,1937800
2025-05-06,109.77,111.21,106.66,107.15,2451100
2025-05-07,108.49,108.49,103.81,105.99,2764900
2025-05-08,107.28,111.77,106.51,111.07,2557000
2025-05-09,111.91,112.32,110.55,110.72,1629700
2025-05-12,117.12,120.56,114.54,117.99,2746300
2025-05-13,120.53,126.7,120.53,123.81,4275800
2025-05-14,122,123.74,118.91,119.51,1921000
2025-05-15,119.01,119.23,116.54,117.96,2308000
2025-05-16,118.69,121.05,118,120.64,1603700
2025-05-19,116.89,119.21,116.51,117.6,1761300
2025-05-20,116.63,117.5,114.21,114.62,1372000
2025-05-21,113.2,113.83,108.35,108.38,3103600
2025-05-22,108.34,110.09,107.53,109.84,2798800
2025-05-23,106.56,108.76,106.56,108.33,1382500
2025-05-27,110.77,111.79,108.94,111.5,1644600
2025-05-28,111.26,111.44,107.29,107.46,1953800
2025-05-29,109.07,109.44,106.94,108.93,1885800
2025-05-30,107.99,108.65,106.66,107.68,2395200
2025-06-02,106.99,107.51,102.6,105.63,2245600
2025-06-03,107.34,110.55,105.98,110.2,2459400
2025-06-04,110.94,113.61,110.71,112.73,2101300
2025-06-05,112.73,114.24,110.92,113.36,2246000
2025-06-06,114.28,114.64,111.39,111.63,1252500
2025-06-09,113.03,113.69,111.24,112.96,1375900
2025-06-10,114.49,118.12,112.97,117.33,1988000
2025-06-11,119,119.35,113.81,114.36,2092800
2025-06-12,113.54,115.57,112.21,115.05,1402200
2025-06-13,113.63,114.45,110.48,111.29,1414700
2025-06-16,112.56,112.71,109.69,111.71,1989200
2025-06-17,110.36,113.05,107.38,107.98,1926600
2025-06-18,107.64,110.5,106.03,106.85,3100700
2025-06-20,109.63,115.2,109.06,114.82,7850500
2025-06-23,114.07,119.34,113.35,119.13,2525300
2025-06-24,119.76,120.75,117.75,118.84,2373100
2025-06-25,118.25,118.81,115.53,115.96,1619800
2025-06-26,116.34,116.49,114.8,115.98,1402500
2025-06-27,116.83,119.41,116.71,117.01,2177400
2025-06-30,118.45,118.82,115.92,116.69,1630600
2025-07-01,115.86,128.9,115.57,126.91,5270700
2025-07-02,127.21,129.09,125.6,127.89,3344000
2025-07-03,126.8,128.44,125.63,127.22,1732200
2025-07-07,126.73,127.56,123.81,124.86,2276600
2025-07-08,125.2,128.83,124.5,127.24,2288300
2025-07-09,128.21,133.43,127.83,133,2698000
2025-07-10,132.76,137.21,132.04,135.12,2793300
2025-07-11,133.1,134,131.82,133.28,1602400
2025-07-14,132.6,133.35,127.8,131.03,2309100
2025-07-15,132.24,133.32,125.84,125.88,1604700
2025-07-16,126.45,127.33,122.82,126,1666600
2025-07-17,126.49,127.88,125.34,126.85,1317800
2025-07-18,126.01,126.48,121.55,123.15,1810200
2025-07-21,125.57,125.7,121.83,121.9,1244800
2025-07-22,124.53,131.29,124,130.83,2161700
2025-07-23,132.45,135.23,132.08,134.72,1888400
2025-07-24,134.48,134.97,131.77,132.79,1585200
2025-07-25,134.59,136.68,133.3,136.46,1455500
2025-07-28,136,138.45,134.21,135.63,1832100
2025-07-29,136.1,136.91,132.32,133.42,1239900
2025-07-30,133.1,133.72,125.13,126.11,3207200
2025-07-31,121.94,127.81,118.17,127.13,4595700
2025-08-01,126.7,132.27,123.74,130.18,3999700
2025-08-04,129,130.94,127.36,128.18,2662600
2025-08-05,128.5,133.92,128.18,132.95,2772200
2025-08-06,132.78,134.46,130.42,130.74,2384300
2025-08-07,133.03,134.56,131.24,131.26,1585400
2025-08-08,130.79,133.9,130.64,132.2,1356700
2025-08-11,132.43,134.1,126.36,128.76,1812000
2025-08-12,130.32,137.75,128.58,137.45,2356500
2025-08-13,138.47,144.75,137.95,144.4,3524000
2025-08-14,140,141.2,136.49,138.15,2304800
2025-08-15,140.63,140.63,136.55,136.88,1351000
2025-08-18,137.13,138.71,135.79,136.52,1106800
2025-08-19,138.05,142.2,137.88,138.15,1629800
2025-08-20,137.25,138.55,132.6,132.75,2075900
2025-08-21,131.74,133.39,130.35,133.22,1628000
2025-08-22,133.4,145.17,131.45,144.45,4185100
2025-08-25,142.18,142.85,140.25,141.91,1886600
2025-08-26,141.13,143.19,140.29,142.67,2501600
2025-08-27,142,143.79,140.3,141.76,1696700
2025-08-28,143.08,144,138.89,140.14,1790200
2025-08-29,140.12,140.74,137.65,138.68,1345900
2025-09-02,136,138.25,135.5,137.36,1581800
2025-09-03,136.91,137.55,134.53,136.33,1385800
2025-09-04,137.25,144.01,136.83,143.27,1744500
2025-09-05,147.5,151.03,145.8,149.21,2472300
2025-09-08,149.35,149.35,145.71,147.89,1330100
2025-09-09,146.25,146.25,138.46,140.45,2108600
2025-09-10,141.92,143.16,139.35,140.25,1571600
2025-09-11,141.72,148.91,141.03,146.56,2061200
2025-09-12,144.69,145.68,142.33,142.73,1239700
2025-09-15,142.01,142.5,138.52,140.17,1592600
2025-09-16,142.08,142.26,136.42,136.99,1609400
2025-09-17,137.47,141.32,129.16,129.28,2731000
2025-09-18,131,131.62,127.88,128.93,2299800
2025-09-19,127.46,127.58,123.7,124.15,4296100
2025-09-22,123.5,123.5,120.21,121.81,2811400
2025-09-23,122.74,123.09,120.31,121.21,1864200
