Date,Open,High,Low,Close,Volume
2015-01-02,44.99,44.99,43.77,44.42,1122800
2015-01-05,44.33,44.38,42.92,43.04,1146100
2015-01-06,43.02,43.36,42.41,42.55,1146100
2015-01-07,42.68,42.7,42.17,42.56,989500
2015-01-08,42.95,43.76,42.84,43.72,915700
2015-01-09,43.67,43.71,43.2,43.46,794100
2015-01-12,43.55,43.76,42.91,43.61,1162600
2015-01-13,43.92,44.47,43.33,43.74,933500
2015-01-14,43.37,43.63,42.85,43.5,739200
2015-01-15,43.54,43.73,42.95,43.18,809800
2015-01-16,43.04,43.4,42.63,43.37,811600
2015-01-20,43.52,43.77,43.02,43.55,670800
2015-01-21,43.35,43.71,43.11,43.47,805600
2015-01-22,43.68,44.77,43.49,44.76,1283400
2015-01-23,44.29,44.59,44,44.29,914700
2015-01-26,44.54,45.5,44.54,45.24,1586000
2015-01-27,44.78,45.1,44.06,44.76,1121200
2015-01-28,44.96,45.47,44.21,44.33,1318300
2015-01-29,44.18,44.66,44.01,44.57,1460300
2015-01-30,44.21,44.79,43.28,43.68,6983400
2015-02-02,43.9,44.22,43.38,44.03,1262500
2015-02-03,44.28,44.5,43.9,44.31,990500
2015-02-04,44.25,44.31,43.56,44.07,1050000
2015-02-05,44.4,44.81,44.21,44.81,930700
2015-02-06,44.74,45.31,44.66,45.04,1098100
2015-02-09,44.78,44.99,44.53,44.7,766200
2015-02-10,44.92,45.12,44.49,44.99,548100
2015-02-11,44.92,45.27,44.9,45.08,926200
2015-02-12,45.43,45.43,44.92,45.32,706700
2015-02-13,45.35,45.86,45.25,45.81,797600
2015-02-17,45.64,46.07,45.25,45.86,1028300
2015-02-18,45.78,45.79,45.33,45.6,657600
2015-02-19,45.57,46.17,45.46,45.61,781400
2015-02-20,45.57,45.64,45.25,45.51,988200
2015-02-23,45.5,45.65,45.17,45.47,1772900
2015-02-24,45.6,48.16,45.47,47.88,2764000
2015-02-25,47.51,48.49,47.5,48.16,1889600
2015-02-26,48,49.02,47.79,48.79,1636000
2015-02-27,48.88,48.95,48.22,48.3,1299100
2015-03-02,48.13,48.67,47.94,48.25,1291400
2015-03-03,47.91,48.13,47.72,48.08,1778900
2015-03-04,47.56,48.09,47.51,47.99,947800
2015-03-05,48.1,48.1,47.66,47.97,659400
2015-03-06,47.52,47.83,47.17,47.66,1291600
2015-03-09,47.73,48.03,47.57,47.83,1139200
2015-03-10,47.38,47.57,47.2,47.21,1152900
2015-03-11,47.22,48.01,47.07,47.58,1801800
2015-03-12,47.75,48.38,47.63,48.26,1076800
2015-03-13,47.97,48.57,47.86,48.04,965300
2015-03-16,48.37,49.24,48.19,49.02,1176000
2015-03-17,48.74,49.03,48.51,48.71,848900
2015-03-18,48.52,49.29,48.38,49.2,1255000
2015-03-19,49.07,49.25,48.85,48.87,937000
2015-03-20,49.12,49.48,48.86,49.27,1644900
2015-03-23,49.37,49.51,49.1,49.16,993800
2015-03-24,49.06,49.48,49.06,49.32,794400
2015-03-25,49.28,49.39,48.16,48.17,1067200
2015-03-26,48.02,48.23,47.73,48.06,872000
2015-03-27,47.96,48.22,47.83,47.97,706500
2015-03-30,48.2,48.62,48,48.44,881700
2015-03-31,48.15,48.39,47.94,48.18,653500
2015-04-01,48,48.13,47.43,47.86,882800
2015-04-02,47.87,48.22,47.03,47.04,1372000
