Date,Open,High,Low,Close,Volume
2022-01-03,113.03,114.41,111.58,113.16,1421700
2022-01-04,113.68,116.5,113.3,116.02,1590000
2022-01-05,115.97,117.67,114.3,114.71,2276300
2022-01-06,114.67,115.5,112.02,112.38,1644000
2022-01-07,112,112.65,110.03,110.96,1501500
2022-01-10,110,114.58,109.33,114.42,2566100
2022-01-11,114.25,115,108.63,111.72,2403500
2022-01-12,112.69,114.45,111.96,113.23,1286200
2022-01-13,114,114.22,110.43,110.84,1195100
2022-01-14,110.13,111.42,108.15,109.2,1288000
2022-01-18,108.14,108.33,105.02,105.46,1579200
2022-01-19,106.05,106.34,102.09,102.36,2063200
2022-01-20,103.84,103.99,100.24,100.43,2158100
2022-01-21,99.22,99.56,95.25,95.52,2735400
2022-01-24,93.69,97.39,91.93,97.16,3036700
2022-01-25,95.15,96.39,91.89,94.78,2324900
2022-01-26,97.84,98.95,94.5,96.31,3665600
2022-01-27,107.29,117.03,102.52,103.68,11944400
2022-01-28,102.61,107.2,100.66,107.02,3850900
2022-01-31,106.5,109.59,106.22,107.15,3820500
2022-02-01,107.15,108.74,105.51,107.96,1931800
2022-02-02,108.07,110.62,107.44,110.39,2075100
2022-02-03,108.61,109.95,108.1,108.17,1565500
2022-02-04,107.81,109.9,106.8,108.72,1297400
2022-02-07,109.64,110.04,108.5,109.44,1374100
2022-02-08,109.62,111,108.69,110.74,1284300
2022-02-09,112.2,112.37,110.26,112.08,1227400
2022-02-10,110.82,113.5,109.56,110.08,1794300
2022-02-11,110.58,111.64,108.12,108.71,1734400
2022-02-14,108.36,108.64,105.42,106.13,1809500
2022-02-15,107.82,110.4,107.05,109.92,1204800
2022-02-16,109.4,112.63,109.09,111.85,1329200
2022-02-17,111.57,112.63,110.71,111.19,1221900
2022-02-18,110.73,110.98,108.44,108.64,1906500
2022-02-22,107.21,108.41,105.44,107.35,3470800
2022-02-23,107.98,108.63,104.53,104.83,2818100
2022-02-24,100.4,103.33,99.43,103.16,2948600
2022-02-25,103.57,105.04,102.5,104.9,1911300
2022-02-28,103.18,104.54,101.58,103.16,2011900
2022-03-01,102.8,104.27,100.06,100.62,1672300
2022-03-02,101.4,106.09,101.32,105.7,1652000
2022-03-03,105.96,106.62,104.1,104.66,950800
2022-03-04,103.28,104.4,101.83,103.18,1591900
2022-03-07,102.27,104.4,100,100.09,1541300
2022-03-08,100.59,103.47,90.23,90.57,5207500
2022-03-09,91.77,92.16,87.25,90.39,3827200
2022-03-10,89.35,89.8,87.32,88.72,2047700
2022-03-11,89.44,89.74,86.26,87.33,1871100
2022-03-14,87.24,87.83,84.51,86.35,2426300
2022-03-15,86.54,88.98,86.04,88.61,2165200
2022-03-16,89.48,90.76,88.14,90.44,1852900
2022-03-17,89.93,92.44,89,92.1,1756200
2022-03-18,91.62,94.58,91.35,94.32,3945100
2022-03-21,93.76,94.73,91.84,92.27,1267800
2022-03-22,92.6,93.82,91.5,93.67,1445600
2022-03-23,93.41,93.41,90.8,91.41,1397300
2022-03-24,92.07,93.98,91.78,93.92,1296200
2022-03-25,93.54,93.54,88.53,90.92,2736300
2022-03-28,90.5,92.48,90.25,92.39,1316900
2022-03-29,93.66,94.68,91.37,93.65,1410300
