Date,Open,High,Low,Close,Volume
2014-01-02,58.31,58.5,57.97,58.21,15627600
2014-01-03,58.29,58.95,58.21,58.66,14214100
2014-01-06,59.16,59.47,58.83,59,17550700
2014-01-07,59.29,59.43,58.11,58.32,17851200
2014-01-08,58.54,58.91,58.3,58.87,14687400
2014-01-09,58.98,59,58.33,58.76,13242500
2014-01-10,58.67,58.76,58.18,58.49,12694900
2014-01-13,58.51,58.67,57.53,57.7,20711600
2014-01-14,58.3,58.58,57.56,57.74,30272400
2014-01-15,57.73,59.65,57.73,59.49,35186600
2014-01-16,58.79,59.82,58.74,58.99,21689400
2014-01-17,59.21,59.23,58.03,58.11,20997900
2014-01-21,58.09,58.44,57.58,58.17,19548300
2014-01-22,58.33,58.33,57.42,57.59,15433500
2014-01-23,57.09,57.1,56.21,56.47,26234600
2014-01-24,56,56.36,55.09,55.09,26833100
2014-01-27,55.08,55.8,54.69,55.09,23935000
2014-01-28,55.39,56.34,55.24,55.74,18041000
2014-01-29,54.96,55.87,54.85,55.53,25459000
2014-01-30,56.07,56.39,55.63,56,17031100
2014-01-31,55.5,56.11,55.18,55.36,18174000
2014-02-03,55.5,55.92,54.2,54.31,28549900
2014-02-04,54.72,55.35,54.6,54.95,20709300
2014-02-05,55.1,55.45,54.58,55.21,19491600
2014-02-06,55.35,56.55,55.2,56.48,20881600
2014-02-07,56.65,56.93,56.26,56.62,23388500
2014-02-10,56.77,56.92,56.39,56.74,14715200
2014-02-11,56.61,57.57,56.58,57.43,18774100
2014-02-12,57.34,57.71,57.16,57.52,13437900
2014-02-13,57.07,58.1,56.96,58.03,16605500
2014-02-14,57.89,58.23,57.75,58.15,13067300
2014-02-18,58.02,58.65,57.9,58.49,14983800
2014-02-19,58.36,58.54,57.22,57.26,18669900
2014-02-20,57.53,57.97,57.27,57.58,12457000
2014-02-21,57.59,57.84,57.37,57.61,16790100
2014-02-24,57.62,58.23,57.58,58.03,16151400
2014-02-25,57.9,57.98,56.92,57.03,17991800
2014-02-26,57.37,57.38,56.22,56.75,23661700
2014-02-27,56.78,56.89,56.14,56.69,16277500
2014-02-28,56.57,57.45,56.39,56.82,18599000
2014-03-03,56.3,56.42,55.69,56.21,19151000
2014-03-04,56.95,57.36,56.64,57.26,17157000
