Date,Open,High,Low,Close,Volume
2010-01-04,43.49,43.89,43.28,43.46,2750500
2010-01-05,43.5,44.25,43.4,44.18,2575800
2010-01-06,44.24,44.56,43.77,44.41,3215300
2010-01-07,44.43,44.57,44.01,44.29,2615000
2010-01-08,44.38,44.57,44.01,44.38,1934600
2010-01-11,44.87,44.9,43.66,43.98,3276000
2010-01-12,43.75,43.94,43.01,43.44,2973600
2010-01-13,43.61,44.47,43.61,44.36,2799900
2010-01-14,44.35,44.66,44.04,44.61,4387600
2010-01-15,44.49,45,43.8,44,3130300
2010-01-19,44.06,44.38,43.77,44.19,1995700
2010-01-20,44.02,44.43,43.78,44.33,3053000
2010-01-21,44.42,44.5,43.78,43.98,3301000
2010-01-22,43.83,44.59,42.07,42.18,4021100
2010-01-25,42.56,43.5,42.56,43.2,3857100
2010-01-26,43.17,43.17,42.15,42.54,3730800
2010-01-27,42.58,42.81,41.81,42.66,3584400
2010-01-28,42.74,43.31,41.87,42.32,3739600
2010-01-29,42.39,42.81,42.24,42.45,3757100
2010-02-01,42.95,43.15,42.28,43.08,2711800
2010-02-02,43.07,43.09,42.28,43.03,2360800
2010-02-03,42.95,43.37,42.66,42.79,3047700
2010-02-04,42.63,42.63,41,41.02,3757500
2010-02-05,40.96,41.06,39.46,40.1,7923800
2010-02-08,40.03,41.18,40,40.67,4943200
2010-02-09,41.28,41.63,40.83,41.45,4121300
2010-02-10,41.5,41.92,41.25,41.59,3020500
2010-02-11,41.6,42.76,41.26,42.52,2959900
2010-02-12,42.26,42.88,42.03,42.62,2758300
2010-02-16,42.92,43.41,42.92,43.36,2839400
2010-02-17,43.5,43.81,43.31,43.71,2247900
2010-02-18,43.62,43.83,43.2,43.39,2924700
2010-02-19,43.25,44.28,43.11,43.92,3065200
2010-02-22,44.08,44.08,43.35,43.78,2535100
2010-02-23,43.71,43.71,42.48,42.81,4557400
2010-02-24,42.87,43.1,41.65,42.62,6001800
2010-02-25,42.34,42.92,41.8,42.8,4325600
2010-02-26,42.81,42.96,42.17,42.66,4030100
2010-03-01,42.78,43.31,42.77,42.93,2656600
2010-03-02,43.07,43.3,42.7,42.78,3801400
2010-03-03,42.81,43.43,42.57,42.98,2697200
2010-03-04,43.12,43.15,42.53,42.96,2586900
2010-03-05,43.17,43.55,43.05,43.41,1992600
2010-03-08,43.25,43.45,42.38,42.45,4482000
2010-03-09,42.22,43.27,42.13,42.89,4712500
2010-03-10,42.86,43.25,42.74,43.11,2098100
2010-03-11,43,43.5,42.8,43.5,2309100
2010-03-12,43.54,43.8,43.33,43.38,3540100
2010-03-15,43.12,43.57,42.93,43.34,2748300
2010-03-16,43.31,44.44,43.3,44.26,4366600
2010-03-17,44.27,44.29,43.96,44.25,3143500
2010-03-18,44.25,44.5,43.74,44.01,3211700
2010-03-19,44.29,44.42,43.99,44.29,3288400
2010-03-22,43.97,44.46,43.81,44.25,2887300
2010-03-23,44.3,44.68,44.2,44.57,2728000
2010-03-24,44.56,44.85,43.95,44.47,3220700
2010-03-25,44.55,44.62,42.33,42.46,11561400
2010-03-26,42.57,42.81,41.36,41.65,8362100
2010-03-29,41.89,43,41.89,42.77,5162100
2010-03-30,42.56,42.87,42.5,42.78,6004900
2010-03-31,42.6,43.13,42.41,42.61,3150800
2010-04-01,42.91,43.29,42.37,42.7,3596900
2010-04-05,42.77,43.44,42.69,43.32,2581900
2010-04-06,43.19,43.19,42.76,42.81,3148600
2010-04-07,42.67,42.67,41.6,41.83,6299000
2010-04-08,42.05,42.07,41.52,42.03,5007100
2010-04-09,42.07,42.78,42.02,42.62,4283900
2010-04-12,42.75,42.98,42.2,42.35,3040100
2010-04-13,42.24,42.29,41.62,42.15,4219000
2010-04-14,42.11,42.28,41.6,42.11,4620100
2010-04-15,41.99,42.23,41.63,42.03,4793500
2010-04-16,41.91,42.19,41.2,41.97,8992800
2010-04-19,41.85,42.08,41.21,41.54,4472400
2010-04-20,41.84,42.32,41.67,42.18,2618200
2010-04-21,42.37,42.37,41.8,42.02,2950500
2010-04-22,41.63,42.22,41.44,42.17,2068200
2010-04-23,42.15,42.41,41.75,42.37,2741100
2010-04-26,42.38,42.49,41.78,41.86,2479000
2010-04-27,41.65,41.75,41.09,41.14,2943900
2010-04-28,41.31,41.47,40.55,40.79,4043900
2010-04-29,40.94,41.4,40.8,41.05,4155000
2010-04-30,41.19,41.85,40.81,40.81,3773100
2010-05-03,41.22,41.54,40.93,41.28,3107700
2010-05-04,40.92,41.41,40,41.01,5001500
2010-05-05,40.52,41.17,40.51,40.88,4261300
2010-05-06,40.75,41.17,38.1,40.03,7400100
2010-05-07,39.78,40.27,38.31,38.86,8435500
2010-05-10,40.35,41.22,39.85,40.86,7397900
2010-05-11,41.15,41.64,40.65,40.97,3524700
2010-05-12,41.18,41.81,41.07,41.72,2220400
2010-05-13,41.71,42.04,41.58,41.75,2913400
2010-05-14,41.51,41.64,40.9,41.18,3928000
2010-05-17,41.23,41.62,40.88,41.52,3585200
2010-05-18,41.77,42.2,40.97,41.13,2457300
2010-05-19,40.93,41.02,39.86,40.49,4030300
2010-05-20,39.77,39.8,38.77,39.05,7225800
2010-05-21,38.1,40.38,38.09,40.38,8338800
2010-05-24,40.18,40.54,39.48,39.51,5048700
2010-05-25,38.82,39.68,38.4,39.63,5042600
2010-05-26,39.82,40.51,39.6,39.75,5107000
2010-05-27,40.3,41.02,40.02,40.99,3104900
2010-05-28,40.74,41.26,40.33,40.53,2345400
2010-06-01,40.31,40.96,39.82,39.84,2966700
2010-06-02,40.14,41.51,40.14,41.45,4244900
