Date,Open,High,Low,Close,Volume
2004-11-05,12.75,17.61,12.75,17.49,8150300
2004-11-08,17.13,18.88,16.5,18.7,1113400
2004-11-09,18.74,19.6,17.32,18.57,521600
2004-11-10,18.35,21.24,18.02,20.15,709500
2004-11-11,20.7,24.41,20.37,21,1757100
2004-11-12,22.15,22.5,21,21.4,580900
2004-11-15,21.65,23.1,20.59,21.61,638900
2004-11-16,22.19,22.47,20.95,22.2,457500
2004-11-17,21.8,23.25,21.8,22,442500
2004-11-18,21.81,21.99,20.51,20.84,273900
2004-11-19,20.8,21.75,19.49,21.5,597300
2004-11-22,21.13,22.99,21.08,22.22,290400
2004-11-23,22.85,22.85,20.65,21.19,436800
2004-11-24,21.5,21.56,20.25,21.05,182600
2004-11-26,21.15,21.25,20.9,21,61100
2004-11-29,21.7,21.75,19.71,20.23,317800
2004-11-30,20.43,20.76,19.51,19.6,282900
2004-12-01,19.89,20.1,19.25,20.04,317000
2004-12-02,20,22.47,20,21.64,486600
2004-12-03,21.65,22.87,21.08,21.44,222000
2004-12-06,21.66,22.07,20.44,20.5,147000
2004-12-07,20.99,21,18.54,19.44,414200
2004-12-08,19.4,19.68,18.7,19.4,82500
2004-12-09,19.45,20.4,18.85,20,142900
2004-12-10,20.2,20.84,20.05,20.41,209100
2004-12-13,20.16,20.37,19.25,19.4,66500
2004-12-14,19.4,19.9,17.95,18.29,319600
2004-12-15,18.25,18.38,17.05,17.21,511400
2004-12-16,17.03,17.25,15.67,16.09,339100
2004-12-17,16.24,16.96,15.72,15.93,485700
2004-12-20,16.25,16.85,15.85,16.12,134400
2004-12-21,16.05,17.46,16.05,16.97,123500
2004-12-22,17.15,17.15,16.75,16.94,50100
2004-12-23,16.99,17.32,16.86,17.19,106800
2004-12-27,17.19,17.31,16.32,16.98,58400
2004-12-28,17.05,17.05,16.5,16.91,48200
2004-12-29,16.75,17.2,16.55,16.76,86500
2004-12-30,16.94,17.18,16.81,17.18,27600
2004-12-31,17.13,17.13,16.71,17.01,47500
