Date,Open,High,Low,Close,Volume
2013-01-02,87.36,89.24,87.29,89.15,5772800
2013-01-03,89.53,89.58,88.34,88.59,3871300
2013-01-04,88.59,89.28,88.42,88.98,3280500
2013-01-07,88.49,88.8,87.76,88.53,2573300
2013-01-08,88.44,88.68,87.44,88.15,5170700
2013-01-09,88.34,88.92,88.21,88.67,3372500
2013-01-10,88.32,89,87.27,87.81,5861200
2013-01-11,87.95,88.05,86.87,86.96,4681700
2013-01-14,87.17,87.25,86.5,86.92,4401000
2013-01-15,86.56,86.86,85,85.08,6277900
2013-01-16,85.03,85.34,84.27,84.32,7753800
2013-01-17,84.1,84.47,83.88,83.94,6268400
2013-01-18,83.81,83.87,81.58,82.08,14408700
2013-01-22,82,83.41,81.56,83.29,9394900
2013-01-23,83.06,84.49,82.87,83.07,7670400
2013-01-24,83.34,83.92,82.12,82.62,8071300
2013-01-25,82.73,83.43,82.09,83.42,7235200
2013-01-28,83.21,86.1,82.82,85.59,9426900
2013-01-29,85,87.89,85,86.59,21502900
2013-01-30,86.6,86.82,85.2,85.38,4963100
2013-01-31,85.09,86.12,85.04,85.46,4269700
2013-02-01,86.17,86.93,85.25,86.3,3379500
2013-02-04,85.44,86.24,85.44,85.74,3907500
2013-02-05,86.08,86.59,85.42,86.53,4577900
2013-02-06,86.46,87.47,86,86.59,5549100
2013-02-07,87,87,85.04,85.22,7639700
2013-02-08,85.61,87.17,85.39,86.77,8354900
2013-02-11,85.48,85.98,84.59,84.92,7538400
2013-02-12,85,85.23,84.28,84.54,4656000
2013-02-13,84.96,85.13,84.45,84.94,7943200
2013-02-14,86,86.4,84.61,84.72,6189100
2013-02-15,84.24,84.72,83.32,83.61,5622200
2013-02-19,83.51,84.27,82.92,84.13,5944300
2013-02-20,84.37,85.34,84.24,84.65,6388300
2013-02-21,84.59,85.32,84.15,85.13,4094200
2013-02-22,85.07,86.88,85.07,86.82,4920400
2013-02-25,89.3,91.25,89.3,89.55,11422400
2013-02-26,89.63,90.21,88.66,89.47,4805200
2013-02-27,89.15,91.3,89.06,91.03,3549800
2013-02-28,91,93.42,90.87,91.55,6528600
2013-03-01,91.16,92.76,90.51,92.58,4317700
2013-03-04,92.11,92.75,91.5,92.73,3186700
