Date,Open,High,Low,Close,Volume
2010-01-04,56.63,57.87,56.56,57.72,5277400
2010-01-05,57.33,57.69,56.27,57.22,7882800
2010-01-06,56.94,57.39,56.5,56.79,6015100
2010-01-07,56.41,56.53,54.65,56.27,10371600
2010-01-08,56.07,56.83,55.64,56.77,6576000
2010-01-11,56.93,57.36,56.62,57.02,4062700
2010-01-12,57.14,57.42,54.82,56.03,11268300
2010-01-13,56.35,56.75,55.96,56.53,5056200
2010-01-14,56.35,56.53,55.91,56.16,4668900
2010-01-15,56.03,56.51,55.65,56.25,7240000
2010-01-19,56.41,57.75,56.24,57.55,8570100
2010-01-20,57.62,57.62,56.41,57.2,6625700
2010-01-21,57.43,57.56,56.31,56.63,5833700
2010-01-22,56.67,57.3,56.53,56.6,5967600
2010-01-25,56.72,56.79,55.55,55.71,6719400
2010-01-26,56.2,56.87,55.7,56.58,14880300
2010-01-27,56.35,57.88,56.35,57.74,9695000
2010-01-28,57.87,58.78,57.56,58.08,11638200
2010-01-29,58.35,58.93,58.16,58.48,9465700
2010-02-01,58.52,58.84,58.37,58.72,7079100
2010-02-02,58.6,59.3,58.41,59.23,7660900
2010-02-03,58.9,59.42,58.86,59.07,7082600
2010-02-04,58.9,59.06,57.33,57.53,9534500
2010-02-05,57.54,58.03,56.64,57.68,8409900
2010-02-08,57.54,57.92,56.7,57.46,5947800
2010-02-09,58.24,58.4,56.7,57.21,18732200
2010-02-10,57.09,57.29,56.37,56.84,6019100
2010-02-11,56.56,57,56.23,56.5,8491100
2010-02-12,56.22,56.72,56.02,56.48,8008700
2010-02-16,56.62,57,56.2,56.99,5245900
2010-02-17,56.93,57.57,56.75,57.2,6831900
2010-02-18,57.3,57.44,57.1,57.27,8120500
2010-02-19,57.05,57.71,56.95,57.38,7131600
2010-02-22,57.36,57.44,56.8,57.1,7176800
2010-02-23,56.96,57.22,56.35,56.38,7703000
2010-02-24,56.66,56.98,56.35,56.74,4887700
2010-02-25,56.48,56.48,55.78,56.25,6592200
2010-02-26,56.25,57.03,56.1,56.61,6351700
2010-03-01,56.74,57.09,56.72,56.9,5638400
2010-03-02,56.91,57.02,56.47,56.87,7219100
2010-03-03,56.87,57.17,56.67,56.9,5655600
2010-03-04,57.01,57.08,56.37,56.77,6127000
2010-03-05,56.75,57.26,56.21,57.24,6529100
2010-03-08,57.25,58.1,57.2,57.61,4409300
2010-03-09,57.27,57.93,57.26,57.76,5095400
2010-03-10,57.98,57.99,57.5,57.78,4620700
2010-03-11,57.43,57.74,57.08,57.49,4346900
2010-03-12,57.72,57.75,57.16,57.43,3601400
2010-03-15,57.27,57.75,56.53,56.89,7051800
2010-03-16,57.29,57.54,56.71,57.42,6256500
2010-03-17,57.36,57.43,56.9,57.43,5348600
2010-03-18,57.41,58.44,57.16,58.31,6442600
2010-03-19,58.92,60.13,57.65,60,18901000
2010-03-22,59.61,60.39,59.5,60.09,8837000
2010-03-23,59.89,60.08,59.61,60.06,5024800
2010-03-24,59.79,60,58.96,59.07,9367100
2010-03-25,59.4,59.79,59,59.26,8863000
2010-03-26,59.34,59.92,59,59.41,5627100
2010-03-29,59.7,60.15,59.61,59.91,4268700
