Date,Open,High,Low,Close,Volume
2025-01-02,73.15,74.14,72.15,72.67,151700
2025-01-03,72.7,73.09,71.94,72.76,312500
2025-01-06,73.16,77.09,72.96,76.01,564600
2025-01-07,76.76,76.9,74.16,74.81,249600
2025-01-08,73.98,74.31,72.58,73.93,191300
2025-01-10,72.69,72.69,71.41,72.2,136200
2025-01-13,71.55,72.68,71.11,72.31,168600
2025-01-14,72.41,73.45,72.21,72.88,158400
2025-01-15,74.47,75.1,72.63,73.47,178400
2025-01-16,73.54,74.11,72.73,72.8,205400
2025-01-17,74.19,74.78,73.21,74.4,172900
2025-01-21,74.92,77.16,74.45,76.9,156300
2025-01-22,77.05,78.32,77,77.8,156100
2025-01-23,76.96,77.12,75.59,77.07,156600
2025-01-24,76.42,76.48,73.68,74.06,164100
2025-01-27,72.89,73.27,69.83,70.62,232600
2025-01-28,70.54,71.2,68.73,71.18,142600
2025-01-29,71.55,72.21,71,72.04,127500
2025-01-30,73.17,73.87,72.06,73.53,171900
2025-01-31,73.88,75,72.97,73.33,168500
2025-02-03,71.32,71.84,69.22,70.17,164800
2025-02-04,69.89,71.13,69.71,70.93,134800
2025-02-05,71.15,71.85,70.77,71.72,125900
2025-02-06,72.11,72.23,69.97,70.82,184300
2025-02-07,71.09,71.14,68.19,68.91,206800
2025-02-10,69.51,70.53,67.17,67.4,607200
2025-02-11,69.77,72.19,61.64,63.72,724100
2025-02-12,61.85,63.39,60.72,62.97,382500
2025-02-13,63.86,64.43,61.39,62.88,292200
2025-02-14,63.27,63.62,62.66,63.53,271300
2025-02-18,63.24,64.25,62.66,63.98,270000
2025-02-19,63.32,65.88,62.77,64.83,270500
2025-02-20,65.18,65.45,63.96,64.6,162300
2025-02-21,64.7,64.7,62.43,63.17,184600
2025-02-24,63.44,63.66,62.24,62.89,248000
2025-02-25,62.88,62.96,60.02,60.44,284700
2025-02-26,60.71,60.8,59.47,59.58,312300
2025-02-27,59.25,59.5,57.76,57.86,329500
2025-02-28,57.84,58.48,56.71,58.19,479300
2025-03-03,58.75,58.79,57.42,58.27,637700
2025-03-04,57.53,62.88,57.39,60.37,970600
