Date,Open,High,Low,Close,Volume
2009-01-02,29.18,30.47,28.67,30,36522300
2009-01-05,29.74,29.79,28.06,28.06,43614200
2009-01-06,28.67,28.82,27.29,27.54,54222900
2009-01-07,27.08,27.18,23.62,25.87,52631000
2009-01-08,25.36,26.07,25.11,25.72,52580100
2009-01-09,25.95,25.98,24.99,25.14,43187900
2009-01-12,25.19,25.32,23.54,23.8,57566500
2009-01-13,23.49,24.81,23.41,24.38,65413600
2009-01-14,23.36,23.71,22.7,23.07,71135600
2009-01-15,22.99,23.02,19.03,20.16,178862300
2009-01-16,20.83,21.29,17.03,18.68,173589900
2009-01-20,16.77,17.02,13.82,14.23,203896600
2009-01-21,15,16.83,13.74,16.65,188824400
2009-01-22,16.04,16.59,15.08,15.79,94501600
2009-01-23,14.93,16.16,14.69,15.87,84417000
2009-01-26,16.2,16.89,15.44,15.48,75464000
2009-01-27,15.8,16.64,15.75,16.19,77306500
2009-01-28,19.01,21.45,18.41,21.19,203219500
2009-01-29,19.83,20.73,18.73,18.78,127527600
2009-01-30,19.35,19.75,18.37,18.9,97576800
2009-02-02,18.41,19.48,18.2,19.23,81939400
2009-02-03,19.65,19.74,17.45,18.53,95285100
2009-02-04,18.5,19.3,17.28,17.45,89512300
2009-02-05,17.23,17.4,14.67,16.27,206588100
2009-02-06,17.35,19.39,17.1,19.14,118216200
2009-02-09,19.16,19.6,18.57,19.06,74538100
2009-02-10,18.84,19.06,16.07,16.35,136825300
2009-02-11,16.75,17.58,16.36,17.5,74251900
2009-02-12,16.54,16.81,15.27,16.8,144748600
2009-02-13,16.35,16.42,15.56,15.76,88502000
2009-02-17,14.58,15.06,13.69,13.69,122235400
2009-02-18,14.33,14.4,12.06,13.05,190592400
2009-02-19,12.91,13.75,11.94,12.01,129429500
2009-02-20,11.07,11.4,8.81,10.91,372764600
2009-02-23,11.76,12.95,10.56,11.03,225178200
2009-02-24,11.39,13.11,11.15,13.05,187177900
2009-02-25,12.96,14.08,11.77,13.44,209935600
2009-02-26,14.59,15.04,13.82,14.4,170145000
2009-02-27,12.55,14.83,11.87,12.1,186832300
2009-03-02,10.98,11.43,10.27,10.84,162697700
2009-03-03,11.48,11.77,10.44,10.67,156370200
2009-03-04,11.32,11.32,8.94,9.66,237467700
2009-03-05,8.89,8.94,7.8,8.12,274724600
2009-03-06,8.73,9.49,8.01,8.61,256312500
2009-03-09,8.65,10.7,8.5,9.97,209041300
2009-03-10,11.18,11.95,10.7,11.81,233377400
2009-03-11,12.42,12.73,11.32,11.88,190297200
2009-03-12,11.54,14.01,11.36,13.95,194211600
2009-03-13,14.48,15.01,12.91,13.94,197054500
2009-03-16,14.41,15.24,13.69,13.7,183999100
2009-03-17,13.57,14.66,12.94,14.66,144894400
2009-03-18,14.4,17.31,14.16,17.22,232658000
2009-03-19,17.46,17.6,15.17,15.42,175963000
2009-03-20,15.39,15.47,13.95,13.99,167275700
2009-03-23,15.9,17.67,15.22,17.33,186689100
2009-03-24,16.55,17.53,15.43,15.5,167873500
2009-03-25,16.3,17.19,14.87,16.42,217755200
2009-03-26,16.85,16.9,15.47,15.95,163404200
2009-03-27,15.36,16.63,15.31,15.59,129904000
2009-03-30,14.7,15.12,13.37,13.37,148010900
2009-03-31,14.01,14.75,13.75,14.24,145973500
2009-04-01,13.72,14.94,13.65,14.48,156839200
2009-04-02,15.92,16.25,14.91,15.33,206881200
2009-04-03,15.17,16.34,14.93,16.34,130556900
2009-04-06,15.48,15.64,15.04,15.25,119301700
2009-04-07,14.76,15.4,14.51,14.85,117192300
2009-04-08,15.1,15.17,14.41,14.89,91295200
