Date,Open,High,Low,Close,Volume
2026-01-02,189.84,192.93,188.26,188.85,148240500
2026-01-05,191.76,193.63,186.15,188.12,183529700
2026-01-06,190.52,192.17,186.82,187.24,176862600
2026-01-07,188.57,191.37,186.56,189.11,153543200
2026-01-08,189.11,189.55,183.71,185.04,172457000
2026-01-09,185.08,186.34,183.67,184.86,131327500
2026-01-12,183.22,187.12,183.02,184.94,137968500
2026-01-13,185,188.11,183.4,185.81,160128900
2026-01-14,184.32,184.46,180.8,183.14,159586100
2026-01-15,186.5,189.7,186.33,187.05,206188600
2026-01-16,189.08,190.44,186.08,186.23,187967200
2026-01-20,181.9,182.38,177.61,178.07,223345300
2026-01-21,179.05,185.38,178.4,183.32,200381000
2026-01-22,184.75,186.17,183.93,184.84,139636600
2026-01-23,187.5,189.6,186.82,187.67,142748100
2026-01-26,187.16,189.12,185.99,186.47,124799600
2026-01-27,187.24,190,185.7,188.52,143711600
2026-01-28,191.27,192.35,189.84,191.52,148552700
2026-01-29,191.34,193.48,186.06,192.51,171764400
2026-01-30,191.21,194.49,189.47,191.13,179489500
2026-02-02,187.2,190.3,184.88,185.61,165794100
2026-02-03,186.24,186.27,176.23,180.34,204019600
2026-02-04,179.46,179.58,171.91,174.19,207014100
2026-02-05,174.93,176.82,171.03,171.88,206312900
2026-02-06,176.69,187,174.6,185.41,231346200
2026-02-09,184.26,193.66,183.95,190.04,196387400
2026-02-10,191.38,192.48,188.12,188.54,136764800
2026-02-11,192.45,193.26,188.77,190.05,144192700
2026-02-12,193.03,193.61,186.51,186.94,189932500
2026-02-13,187.48,187.5,181.59,182.81,161888000
2026-02-17,181.75,187.15,179.18,184.97,162276900
2026-02-18,188.75,190.37,186.76,187.98,164749100
2026-02-19,187.06,188.43,185.66,187.9,126554500
2026-02-20,186.57,190.33,185.94,189.82,178422300
2026-02-23,191.4,193.95,189.58,191.55,171584800
2026-02-24,191.49,193.77,187.4,192.85,175123600
2026-02-25,194.45,197.63,193.79,195.56,250637100
2026-02-26,194.27,194.29,184.32,184.89,360807900
2026-02-27,181.25,182.59,176.38,177.19,311636500
2026-03-02,175.01,183.46,174.64,182.48,209095300
2026-03-03,178.49,180.9,176.92,180.05,178099400
2026-03-04,180.44,184.7,180.06,183.04,177731200
2026-03-05,181.17,184.06,177.88,183.34,198779700
2026-03-06,179.84,182.76,176.82,177.82,189021900
2026-03-09,176.83,182.91,175.56,182.65,177213600
2026-03-10,182.4,186.44,182.01,184.77,179118500
2026-03-11,185.91,187.62,184.45,186.03,145280400
2026-03-12,184.05,184.94,181.75,183.14,155762700
2026-03-13,184.92,186.09,179.94,180.25,160988400
2026-03-16,182.97,188.88,181.41,183.22,217307400
2026-03-17,185.06,185.4,181.68,181.93,182497800
2026-03-18,182.48,183.38,180.33,180.4,156683100
