Date,Open,High,Low,Close,Volume
1997-02-07,115.5,134.3125,110.25,129.5,2095057
1997-02-10,129.5,129.5,118.125,120.75,601829
1997-02-11,120.75,126.875,114.625,114.625,190971
1997-02-12,115.5,123.375,114.625,121.1875,149371
1997-02-13,124.25,140.875,121.625,137.375,201029
1997-02-14,138.25,141.75,133.875,134.75,94200
1997-02-18,136.5,136.5,123.375,127.75,127857
1997-02-19,127.75,127.75,116.8125,116.8125,76971
1997-02-20,117.25,132.125,117.25,124.25,156286
1997-02-21,128.1875,137.375,125.125,128.625,144686
1997-02-24,130.375,141.75,128.625,140,140514
1997-02-25,143.0625,152.25,140.875,149.625,194257
1997-02-26,152.25,154,140.875,148.75,208200
1997-02-27,147,148.75,133,135.625,85314
1997-02-28,133,138.25,125.125,137.375,220971
1997-03-03,136.5,137.8125,132.3438,135.625,103057
1997-03-04,137.375,138.25,131.25,133,79686
1997-03-05,132.5625,143.5,132.5625,141.75,177914
1997-03-06,143.5,143.5,140,140.875,61457
1997-03-07,140.875,147,140.875,143.5,67743
1997-03-10,144.375,144.375,133.875,141.3125,131371
1997-03-11,140,140,131.25,131.25,89343
1997-03-12,131.25,131.6875,122.0625,126.875,111829
1997-03-13,125.5625,131.25,122.5,124.25,77857
1997-03-14,126,128.625,121.625,122.5,39400
1997-03-17,121.625,122.9375,112,114.625,82971
1997-03-18,114.625,117.25,109.375,109.8125,71686
1997-03-19,109.8125,109.8125,94.9375,101.9375,223771
1997-03-20,101.9375,103.6875,96.6875,98,104286
1997-03-21,105.875,107.625,102.375,107.625,93371
1997-03-24,108.0625,116.8125,105.875,110.6875,90286
1997-03-25,111.125,112.875,105,107.625,158286
1997-03-26,107.625,115.9375,107.625,108.7188,134371
1997-03-27,110.25,110.25,100.625,101.7188,106229
1997-03-31,102.375,102.375,98.6562,99.5312,143971
1997-04-01,98,105,98,104.125,57257
1997-04-02,110.25,112,108.0625,109.375,118657
1997-04-03,109.8125,117.25,108.5,112.875,122371
1997-04-04,113.3125,129.5,112.4375,128.1875,200457
1997-04-07,129.5,134.75,124.25,124.6875,120571
1997-04-08,123.375,125.125,114.625,118.5625,83314
1997-04-09,121.625,126.875,120.75,123.5938,120686
1997-04-10,122.9375,124.25,115.5,116.375,54171
1997-04-11,113.75,113.75,104.125,105,179114
1997-04-14,105,105,99.75,101.2812,172229
1997-04-15,104.125,110.25,97.125,97.5625,225000
1997-04-16,98.875,98.875,86.625,87.5,245457
1997-04-17,87.5,93.1875,83.5625,85.3125,237600
1997-04-18,86.1875,92.75,85.75,89.9062,100657
1997-04-21,91.4375,95.375,86.1875,87.5,89314
1997-04-22,87.5,91.875,79.625,83.5625,207629
1997-04-23,84.875,84.875,77.875,78.75,145600
1997-04-24,78.3125,85.3125,78.3125,81.5938,226200
1997-04-25,82.25,85.75,80.5,83.5625,71086
1997-04-28,82.25,90.5625,82.25,87.5,59200
1997-04-29,91.875,91.875,84.875,87.5,273029
1997-04-30,88.375,110.25,87.0625,109.375,441000
1997-05-01,109.4844,113.3125,100.1875,101.5,309343
1997-05-02,104.125,106.75,100.625,105.875,136629
1997-05-05,107.625,111.125,100.625,102.8125,241171
1997-05-06,103.25,121.1875,99.75,115.5,457800
1997-05-07,115.9375,119.875,110.25,116.375,166400
1997-05-08,115.9375,126.875,112.875,115.0625,176000
1997-05-09,118.125,119.875,110.25,112.875,153800
1997-05-12,115.0625,119.875,113.3125,119,96971
1997-05-13,119,122.5,118.125,121.1875,131086
1997-05-14,120.75,125.125,118.125,120.5312,100171
1997-05-15,121.625,122.9375,116.8125,122.9375,105571
1997-05-16,122.5,123.8125,119,119,32343
1997-05-19,119.875,123.375,118.125,122.5,65171
1997-05-20,123.375,130.375,122.9375,129.0625,164943
1997-05-21,133,140.875,130.375,140.4375,292571
1997-05-22,142.625,147.875,133,136.0625,190943
1997-05-23,150.0625,163.625,145.25,161,961486
1997-05-27,157.5,160.125,142.625,147.875,2239457
1997-05-28,147.875,158.375,147,156.1875,727886
1997-05-29,157.5,164.5,156.625,158.8125,478571
1997-05-30,152.25,164.2812,149.625,163.625,481571
1997-06-02,163.625,166.6875,161.4375,165.375,293286
