Date,Open,High,Low,Close,Volume
2023-01-03,30.2,30.4,29.04,29.27,1521100
2023-01-04,29.85,31.18,29.56,31.16,2530700
2023-01-05,30.77,31.13,30.25,30.41,2421400
2023-01-06,30.16,30.81,29.92,30.32,2563100
2023-01-09,29.78,30.45,29.17,30.09,2753100
2023-01-10,30.1,31.34,29.61,31.31,3200000
2023-01-11,31.27,31.7,31.1,31.5,2602800
2023-01-12,31.75,32.54,31.33,32.52,1966300
2023-01-13,32.25,32.96,32.14,32.77,1287600
2023-01-17,32.58,32.94,32.34,32.48,1580600
2023-01-18,32.9,33.41,31.84,31.87,1515000
2023-01-19,31.44,32.06,31.35,31.76,2694600
2023-01-20,31.93,32.91,31.87,32.85,2084400
2023-01-23,33.11,34.05,33,33.92,1716800
2023-01-24,33.85,34.38,33.69,34.18,1654500
2023-01-25,33.62,34.05,33.28,33.96,1182300
2023-01-26,34.4,34.84,33.82,34.26,1266900
2023-01-27,34.02,34.53,33.9,34.19,1416400
2023-01-30,33.61,35.14,33.55,34.5,2868600
2023-01-31,34.73,35.59,34.17,35.45,2781400
2023-02-01,34.99,36.26,34.71,35.85,3017600
2023-02-02,34.44,35.62,33.26,33.92,6061200
2023-02-03,33.32,35.14,33.32,34.36,3094400
2023-02-06,33.79,34.1,32.74,33.1,2947200
2023-02-07,33.13,34.56,32.95,34.38,2001000
2023-02-08,33.98,34.11,32.97,33.17,1220600
2023-02-09,33.7,33.85,31.85,32.13,1964600
2023-02-10,31.7,31.95,31.13,31.48,3030000
2023-02-13,31.63,31.94,31.41,31.53,1899500
2023-02-14,31.21,31.97,30.91,31.92,1310400
2023-02-15,31.73,32.81,31.71,32.68,1409700
2023-02-16,32.08,32.74,32.01,32.17,1336200
2023-02-17,32.34,32.86,31.65,32.33,1485400
2023-02-21,31.8,32.01,30.72,31.2,2028900
2023-02-22,31.32,32.08,31.05,31.72,1968800
2023-02-23,31.73,31.96,30.67,31.3,1852100
2023-02-24,30.51,30.63,29.63,29.92,2534200
2023-02-27,30.35,30.72,30.03,30.1,1542800
2023-02-28,30.15,30.82,30.09,30.53,1782400
2023-03-01,30.37,30.97,30.37,30.65,1631300
2023-03-02,30.22,30.86,29.99,30.76,1857900
2023-03-03,30.92,31.52,30.71,31.16,1766900
2023-03-06,31.32,31.49,30.18,30.32,2370700
2023-03-07,30.32,30.53,29.64,29.83,2152600
2023-03-08,30,30.28,29.58,30.14,1304200
2023-03-09,30.25,30.45,29.1,29.21,2328400
2023-03-10,29.08,29.2,27.83,28.3,2550600
2023-03-13,27.73,27.75,26.62,26.78,4572100
2023-03-14,27.36,27.58,26.68,26.95,3284000
2023-03-15,26.2,26.72,25.74,26.56,3671300
2023-03-16,26.26,27.93,26.19,27.62,3051000
2023-03-17,27.44,27.85,27.04,27.48,3309700
2023-03-20,27.71,28.27,27.59,27.91,2323700
2023-03-21,28.41,29.12,28.41,28.81,2279000
2023-03-22,28.85,29.22,28.18,28.2,2043900
2023-03-23,28.4,28.72,27.17,27.67,2562100
2023-03-24,27.21,28.28,26.15,27.99,3796300
2023-03-27,28.49,28.62,27.63,28.12,1565600
2023-03-28,28.17,28.5,27.82,27.89,1376700
2023-03-29,28.24,28.91,28.16,28.82,2786300
2023-03-30,29.21,29.48,28.68,28.91,1831900
2023-03-31,29.13,29.71,29.11,29.66,1881900
2023-04-03,29.71,30.06,28.86,29.28,2160700
2023-04-04,29.47,29.49,28.43,29.18,1595700
2023-04-05,29.01,29.36,28.6,29.06,2044000
2023-04-06,29.33,29.33,28.58,28.93,1362900
2023-04-10,28.85,29.38,28.69,29.2,1175800
2023-04-11,29.29,30.03,29.28,29.79,2089800
2023-04-12,30.21,30.26,28.95,29.02,1671000
2023-04-13,29.24,29.56,29.07,29.37,1304400
2023-04-14,29.35,29.74,28.6,28.71,1866000
2023-04-17,28.4,28.86,28.24,28.47,1872700
2023-04-18,28.91,29.6,28.89,29.12,1688500
2023-04-19,28.81,29.49,28.64,29.28,1222900
2023-04-20,29.23,29.86,29.11,29.34,2298500
2023-04-21,29.38,29.72,29.02,29.64,1421200
2023-04-24,29.66,30.02,29.3,29.59,1065500
2023-04-25,29.16,29.41,28.53,28.54,1834200
2023-04-26,28.51,28.91,27.98,28.13,1774900
2023-04-27,28.55,29.92,28.46,29.71,2379900
2023-04-28,29.72,29.86,29.46,29.79,1613600
2023-05-01,30,30.67,29.85,30.53,2091700
2023-05-02,31.47,31.63,29.95,30.48,2971100
2023-05-03,30.52,31.02,30.03,30.11,1979600
2023-05-04,28.35,28.45,25.94,26,7888600
2023-05-05,26.22,26.75,25.5,26.44,4274100
2023-05-08,26.5,26.53,25.22,25.91,4242900
2023-05-09,25.81,26.69,25.39,26.37,5617300
2023-05-10,26.85,26.91,24.74,25.61,5148300
2023-05-11,25.39,25.61,24.86,25.06,3429100
2023-05-12,25.06,25.17,24.54,24.64,3322000
2023-05-15,24.63,24.88,24.42,24.53,2131000
2023-05-16,24.4,24.43,23.16,23.18,3765400
2023-05-17,23.37,24.77,23.35,24.43,4209600
2023-05-18,24.34,25.02,24.08,25.02,2385400
2023-05-19,25.12,25.34,24.48,24.53,4279200
2023-05-22,24.67,25.48,24.65,25.28,3104300
2023-05-23,25.18,25.68,25.02,25.29,3313000
2023-05-24,25.1,25.33,24.57,24.89,2285100
2023-05-25,24.96,25.3,24.56,24.97,2202700
2023-05-26,25.01,25.68,24.99,25.64,2284600
2023-05-30,25.76,26.15,24.87,24.94,2676500
2023-05-31,24.81,25.22,24.66,25.04,2855200
2023-06-01,25.16,25.44,24.74,24.8,3294900
2023-06-02,25.34,26.54,25.24,26.41,3322400
2023-06-05,26.36,26.74,25.57,25.81,2173100
2023-06-06,25.64,26.89,25.58,26.64,2023900
2023-06-07,26.7,26.88,26.1,26.56,2648900
2023-06-08,26.55,26.73,26.06,26.61,2335900
2023-06-09,26.85,27.25,26.11,26.2,1942200
2023-06-12,26.25,26.96,26.25,26.76,1827800
2023-06-13,26.98,27.21,26.53,26.65,2186200
2023-06-14,26.65,26.89,25.93,26.08,2222700
2023-06-15,25.9,26.19,25.8,25.84,3146200
2023-06-16,25.84,25.9,24.63,24.84,4811600
2023-06-20,24.69,24.87,24.13,24.69,2727400
2023-06-21,24.47,24.57,24.13,24.27,2798000
2023-06-22,24.12,24.24,23.46,23.59,3406300
2023-06-23,23.27,23.45,22.98,23.03,3824800
2023-06-26,22.97,23.84,22.96,23.69,2501700
2023-06-27,23.75,24.35,23.6,24.17,2726700
2023-06-28,24.06,24.17,23.67,23.77,1954200
2023-06-29,23.8,24.1,23.75,23.81,2508200
2023-06-30,24.1,24.23,23.83,24.03,1970100
2023-07-03,24.11,24.73,24.03,24.27,2151700
2023-07-05,24.08,24.79,23.72,24.23,3440500
2023-07-06,23.97,24.08,23.32,23.61,3570200
2023-07-07,23.72,25.03,23.68,24.73,3715800
2023-07-10,24.81,25.95,24.77,25.93,3594900
2023-07-11,26.55,27.19,25.95,26.14,5241700
2023-07-12,26.6,26.92,26.01,26.77,3236100
2023-07-13,26.95,27.34,26.56,27.09,3502300
2023-07-14,27,27,25.82,25.99,3322300
2023-07-17,25.83,26.09,25.6,25.71,2072600
2023-07-18,25.78,27.34,25.78,27.1,6517600
2023-07-19,27.5,27.93,27.35,27.62,3469500
2023-07-20,27.54,27.61,26.46,26.78,2562400
2023-07-21,26.99,27.13,26.24,26.39,2984700
2023-07-24,26.29,26.5,25.41,25.69,3861800
2023-07-25,25.72,26.14,25.28,25.5,2693400
2023-07-26,25.48,26.19,25.48,26.05,2585100
2023-07-27,26.19,26.56,25.22,25.33,3279400
2023-07-28,25.58,25.87,24.97,25.11,3609100
2023-07-31,25.26,26.31,25.23,26.29,2564700
2023-08-01,25.96,26.25,25.61,26.1,2464600
2023-08-02,25.74,25.87,25.32,25.45,3080700
2023-08-03,25.25,25.3,24.46,24.58,4625200
2023-08-04,24.91,25.13,24.19,24.51,3822000
2023-08-07,24.62,25.08,24.55,25.01,2344600
2023-08-08,24.65,24.92,24.11,24.84,12429600
2023-08-09,29.01,29.38,26.25,27.1,49430200
2023-08-10,26.3,26.69,25.01,25.13,17087900
2023-08-11,24.7,24.98,23.13,23.52,18781600
2023-08-14,23.39,24.94,23.36,24.93,7773300
