Date,Open,High,Low,Close,Volume
2019-01-02,38.7225,39.7125,38.5575,39.48,148158800
2019-01-03,35.995,36.43,35.5,35.5475,365248800
2019-01-04,36.1325,37.1375,35.95,37.065,234428400
2019-01-07,37.175,37.2075,36.475,36.9825,219111200
2019-01-08,37.39,37.955,37.13,37.6875,164101200
2019-01-09,37.8225,38.6325,37.4075,38.3275,180396400
2019-01-10,38.125,38.4925,37.715,38.45,143122800
2019-01-11,38.22,38.425,37.8775,38.0725,108092800
2019-01-14,37.7125,37.8175,37.305,37.5,129756800
2019-01-15,37.5675,38.3475,37.5125,38.2675,114843600
2019-01-16,38.27,38.97,38.25,38.735,122278800
2019-01-17,38.55,39.415,38.315,38.965,119284800
2019-01-18,39.375,39.47,38.995,39.205,135004000
2019-01-22,39.1025,39.1825,38.155,38.325,121576000
2019-01-23,38.5375,38.785,37.925,38.48,92522400
2019-01-24,38.5275,38.62,37.935,38.175,101766000
2019-01-25,38.87,39.5325,38.58,39.44,134142000
2019-01-28,38.9475,39.0825,38.415,39.075,104768400
2019-01-29,39.0625,39.5325,38.5275,38.67,166348800
2019-01-30,40.8125,41.5375,40.0575,41.3125,244439200
2019-01-31,41.5275,42.25,41.14,41.61,162958400
2019-02-01,41.74,42.245,41.4825,41.63,130672400
2019-02-04,41.8525,42.915,41.82,42.8125,125982000
2019-02-05,43.215,43.77,43.0875,43.545,144406400
2019-02-06,43.6625,43.8925,43.2125,43.56,112958400
2019-02-07,43.1,43.485,42.585,42.735,126966800
2019-02-08,42.2475,42.665,42.105,42.6025,95280000
2019-02-11,42.7625,42.8025,42.3125,42.3575,83973600
2019-02-12,42.525,42.75,42.425,42.7225,89134000
2019-02-13,42.8475,43.12,42.48,42.545,89960800
2019-02-14,42.4275,42.815,42.345,42.7,87342800
2019-02-15,42.8125,42.925,42.4375,42.605,98507200
2019-02-19,42.4275,42.86,42.3725,42.7325,75891200
2019-02-20,42.7975,43.33,42.7475,43.0075,104457600
2019-02-21,42.95,43.0925,42.575,42.765,68998800
2019-02-22,42.895,43.25,42.845,43.2425,75652800
2019-02-25,43.54,43.9675,43.4875,43.5575,87493600
2019-02-26,43.4275,43.825,43.2925,43.5825,68280800
2019-02-27,43.3025,43.75,43.1825,43.7175,111341600
2019-02-28,43.58,43.7275,43.23,43.2875,112861600
2019-03-01,43.57,43.7875,43.2225,43.7425,103544800
2019-03-04,43.9225,44.4375,43.4925,43.9625,109744800
2019-03-05,43.985,44,43.635,43.8825,78949600
2019-03-06,43.6675,43.8725,43.485,43.63,83241600
2019-03-07,43.4675,43.61,43.005,43.125,99185600
2019-03-08,42.58,43.2675,42.375,43.2275,95997600
2019-03-11,43.8725,44.78,43.8375,44.725,128044000
2019-03-12,45,45.6675,44.8425,45.2275,129870400
2019-03-13,45.5625,45.825,45.23,45.4275,124130000
2019-03-14,45.975,46.025,45.64,45.9325,94318000
2019-03-15,46.2125,46.8325,45.935,46.53,156171600
2019-03-18,46.45,47.0975,46.4475,47.005,104879200
2019-03-19,47.0875,47.2475,46.48,46.6325,126585600
2019-03-20,46.5575,47.3725,46.1825,47.04,124140800
2019-03-21,47.505,49.0825,47.4525,48.7725,204136800
2019-03-22,48.835,49.4225,47.695,47.7625,169630800
2019-03-25,47.8775,47.995,46.65,47.185,175381200
2019-03-26,47.915,48.22,46.145,46.6975,199202000
2019-03-27,47.1875,47.44,46.6375,47.1175,119393600
2019-03-28,47.2375,47.39,46.8825,47.18,83121600
2019-03-29,47.4575,47.52,47.135,47.4875,94256000
2019-04-01,47.91,47.92,47.095,47.81,111448000
2019-04-02,47.7725,48.615,47.7625,48.505,91062800
2019-04-03,48.3125,49.125,48.2875,48.8375,93087200
2019-04-04,48.6975,49.0925,48.285,48.9225,76457200
2019-04-05,49.1125,49.275,48.9825,49.25,74106400
2019-04-08,49.105,50.0575,49.085,50.025,103526800
2019-04-09,50.08,50.7125,49.8075,49.875,143072800
2019-04-10,49.67,50.185,49.545,50.155,86781200
2019-04-11,50.2125,50.25,49.61,49.7375,83603200
2019-04-12,49.8,50.035,49.0525,49.7175,111042800
2019-04-15,49.645,49.9625,49.5025,49.8075,70146400
2019-04-16,49.865,50.3425,49.64,49.8125,102785600
2019-04-17,49.885,50.845,49.6525,50.7825,115627200
2019-04-18,50.78,51.0375,50.63,50.965,96783200
2019-04-22,50.7075,51.235,50.585,51.1325,77758000
2019-04-23,51.1075,51.9375,50.975,51.87,93292000
2019-04-24,51.84,52.12,51.7625,51.79,70162400
2019-04-25,51.7075,51.94,51.28,51.32,74172800
2019-04-26,51.225,51.25,50.53,51.075,74596400
2019-04-29,51.1,51.4925,50.965,51.1525,88818800
2019-04-30,50.765,50.85,49.7775,50.1675,186139600
2019-05-01,52.47,53.8275,52.3075,52.63,259309200
2019-05-02,52.46,53.1625,52.0325,52.2875,127985200
2019-05-03,52.7225,52.96,52.5575,52.9375,83569600
2019-05-06,51.0725,52.21,50.875,52.12,129772400
2019-05-07,51.47,51.855,50.2075,50.715,155054800
2019-05-08,50.475,51.335,50.4375,50.725,105358000
2019-05-09,50.1,50.42,49.165,50.18,139634400
2019-05-10,49.355,49.7125,48.1925,49.295,164834800
2019-05-13,46.9275,47.37,45.7125,46.43,229722400
2019-05-14,46.6025,47.425,46.3525,47.165,146118800
2019-05-15,46.5675,47.9375,46.505,47.73,106178800
2019-05-16,47.4775,48.1175,47.21,47.52,132125600
2019-05-17,46.7325,47.725,46.69,47.25,131516400
2019-05-20,45.88,46.0875,45.07,45.7725,154449200
2019-05-21,46.305,47,46.175,46.65,113459200
2019-05-22,46.165,46.4275,45.6375,45.695,118994400
2019-05-23,44.95,45.135,44.4525,44.915,146118800
2019-05-24,45.05,45.535,44.655,44.7425,94858800
2019-05-28,44.73,45.1475,44.4775,44.5575,111792800
2019-05-29,44.105,44.8375,44,44.345,113924800
2019-05-30,44.4875,44.8075,44.1675,44.575,84873600
2019-05-31,44.0575,44.4975,43.7475,43.7675,108174400
2019-06-03,43.9,44.48,42.5675,43.325,161584400
2019-06-04,43.86,44.9575,43.63,44.91,123872000
2019-06-05,46.07,46.2475,45.285,45.635,119093600
2019-06-06,45.77,46.3675,45.5375,46.305,90105200
2019-06-07,46.6275,47.98,46.4425,47.5375,122737600
2019-06-10,47.9525,48.8425,47.905,48.145,104883600
2019-06-11,48.715,49,48.4,48.7025,107731600
2019-06-12,48.4875,48.9925,48.3475,48.5475,73012800
2019-06-13,48.675,49.1975,48.4,48.5375,86698400
2019-06-14,47.8875,48.3975,47.575,48.185,75046000
2019-06-17,48.225,48.74,48.0425,48.4725,58676400
2019-06-18,49.0125,50.0725,48.8025,49.6125,106204000
2019-06-19,49.92,49.97,49.3275,49.4675,84496800
2019-06-20,50.0925,50.1525,49.5075,49.865,86056000
2019-06-21,49.7,50.2125,49.5375,49.695,191202400
2019-06-24,49.635,50.04,49.5425,49.645,72881600
2019-06-25,49.6075,49.815,48.8225,48.8925,84281200
2019-06-26,49.4425,50.2475,49.3375,49.95,104270000
2019-06-27,50.0725,50.3925,49.8925,49.935,83598800
2019-06-28,49.67,49.875,49.2625,49.48,124442400
2019-07-01,50.7925,51.1225,50.1625,50.3875,109012000
