Date,Open,High,Low,Close,Volume
2016-01-04,25.6525,26.3425,25.5,26.3375,270597600
2016-01-05,26.4375,26.4625,25.6025,25.6775,223164000
2016-01-06,25.14,25.5925,24.9675,25.175,273829600
2016-01-07,24.67,25.0325,24.1075,24.1125,324377600
2016-01-08,24.6375,24.7775,24.19,24.24,283192000
2016-01-11,24.7425,24.765,24.335,24.6325,198957600
2016-01-12,25.1375,25.1725,24.71,24.99,196616800
2016-01-13,25.08,25.2975,24.325,24.3475,249758400
2016-01-14,24.49,25.12,23.935,24.88,252680400
2016-01-15,24.05,24.4275,23.84,24.2825,319335600
2016-01-19,24.6025,24.6625,23.875,24.165,212350800
2016-01-20,23.775,24.5475,23.355,24.1975,289337600
2016-01-21,24.265,24.47,23.735,24.075,208646000
2016-01-22,24.6575,25.365,24.5925,25.355,263202000
2016-01-25,25.38,25.3825,24.8025,24.86,207178000
2016-01-26,24.9825,25.22,24.5175,24.9975,300308000
2016-01-27,24.01,24.1575,23.335,23.355,533478800
2016-01-28,23.4475,23.63,23.0975,23.5225,222715200
2016-01-29,23.6975,24.335,23.5875,24.335,257666000
2016-02-01,24.1175,24.1775,23.85,24.1075,163774000
2016-02-02,23.855,24.01,23.57,23.62,149428800
2016-02-03,23.75,24.21,23.52,24.0875,183857200
2016-02-04,23.965,24.3325,23.7975,24.15,185886800
2016-02-05,24.13,24.23,23.4225,23.505,185672400
2016-02-08,23.2825,23.925,23.26,23.7525,216085600
2016-02-09,23.5725,23.985,23.4825,23.7475,177324800
2016-02-10,23.98,24.0875,23.525,23.5675,169374400
2016-02-11,23.4475,23.68,23.1475,23.425,200298800
2016-02-12,23.5475,23.625,23.2525,23.4975,161405600
2016-02-16,23.755,24.2125,23.6525,24.16,196231600
2016-02-17,24.1675,24.5525,24.0375,24.53,179452800
2016-02-18,24.71,24.7225,24.0225,24.065,156084000
2016-02-19,24,24.19,23.95,24.01,141496800
2016-02-22,24.0775,24.225,23.98,24.22,137123200
2016-02-23,24.1,24.125,23.6375,23.6725,127770400
2016-02-24,23.495,24.095,23.33,24.025,145022800
2016-02-25,24.0125,24.19,23.8125,24.19,110330800
2016-02-26,24.3,24.505,24.145,24.2275,115964400
2016-02-29,24.215,24.5575,24.1625,24.1725,140865200
2016-03-01,24.4125,25.1925,24.355,25.1325,201628400
2016-03-02,25.1275,25.2225,24.91,25.1875,132678400
2016-03-03,25.145,25.4275,25.1125,25.375,147822800
2016-03-04,25.5925,25.9375,25.3425,25.7525,184220400
2016-03-07,25.5975,25.7075,25.24,25.4675,143315600
2016-03-08,25.195,25.44,25.1,25.2575,126247600
2016-03-09,25.3275,25.395,25.0675,25.28,108806800
2016-03-10,25.3525,25.56,25.0375,25.2925,134054400
2016-03-11,25.56,25.57,25.375,25.565,109632800
2016-03-14,25.4775,25.7275,25.445,25.63,100304400
2016-03-15,25.99,26.295,25.9625,26.145,160270800
2016-03-16,26.1525,26.5775,26.1475,26.4925,153214000
2016-03-17,26.38,26.6175,26.24,26.45,137682800
2016-03-18,26.585,26.625,26.2975,26.48,176820800
2016-03-21,26.4825,26.9125,26.285,26.4775,142010800
2016-03-22,26.3125,26.8225,26.3025,26.68,129777600
2016-03-23,26.62,26.7675,26.475,26.5325,102814000
2016-03-24,26.3675,26.5625,26.2225,26.4175,104532000
2016-03-28,26.5,26.5475,26.265,26.2975,77645600
2016-03-29,26.2225,26.9475,26.22,26.92,124760400
2016-03-30,27.1625,27.605,27.15,27.39,182404400
2016-03-31,27.43,27.475,27.22,27.2475,103553600
2016-04-01,27.195,27.5,27.05,27.4975,103496000
2016-04-04,27.605,28.0475,27.5675,27.78,149424800
2016-04-05,27.3775,27.6825,27.355,27.4525,106314800
2016-04-06,27.5575,27.745,27.3,27.74,105616400
2016-04-07,27.4875,27.605,27.03,27.135,127207600
2016-04-08,27.2275,27.4425,27.0425,27.165,94326800
2016-04-11,27.2425,27.6525,27.2075,27.255,117630000
2016-04-12,27.335,27.625,27.165,27.61,108929200
2016-04-13,27.7,28.085,27.7,28.01,133029200
2016-04-14,27.905,28.0975,27.8325,28.025,101895600
2016-04-15,28.0275,28.075,27.4325,27.4625,187756000
2016-04-18,27.2225,27.2375,26.735,26.87,243286000
2016-04-19,26.97,27,26.5575,26.7275,129539600
2016-04-20,26.66,27.0225,26.515,26.7825,122444000
2016-04-21,26.7325,26.7325,26.38,26.4925,126210000
2016-04-22,26.2525,26.62,26.155,26.42,134732400
2016-04-25,26.25,26.4125,26.1275,26.27,112126400
2016-04-26,25.9775,26.325,25.9775,26.0875,224064800
2016-04-27,24,24.6775,23.92,24.455,458408400
2016-04-28,24.4025,24.47,23.5625,23.7075,328970800
2016-04-29,23.4975,23.68,23.1275,23.435,274126000
2016-05-02,23.4925,23.52,23.1,23.41,192640400
2016-05-03,23.55,23.935,23.42,23.795,227325200
2016-05-04,23.8,23.975,23.455,23.5475,164102000
2016-05-05,23.5,23.5175,23.17,23.31,143562000
2016-05-06,23.3425,23.3625,22.9625,23.18,174799600
2016-05-09,23.25,23.4425,23.1475,23.1975,131745600
2016-05-10,23.3325,23.3925,23.0275,23.355,134747200
2016-05-11,23.37,23.3925,23.115,23.1275,114876400
2016-05-12,23.18,23.195,22.3675,22.585,305258800
2016-05-13,22.5,22.9175,22.5,22.63,177571200
2016-05-16,23.0975,23.5975,22.9125,23.47,245039200
2016-05-17,23.6375,23.675,23.2525,23.3725,187667600
2016-05-18,23.54,23.8025,23.4725,23.64,168249600
2016-05-19,23.66,23.66,23.3925,23.55,121768400
2016-05-20,23.66,23.8575,23.63,23.805,128104000
2016-05-23,23.9675,24.2975,23.9175,24.1075,152074400
2016-05-24,24.305,24.5225,24.21,24.475,140560800
2016-05-25,24.6675,24.935,24.5275,24.905,152675200
2016-05-26,24.92,25.1825,24.66,25.1025,225324800
2016-05-27,24.86,25.1175,24.8125,25.0875,145364800
2016-05-31,24.9,25.1,24.705,24.965,169228800
2016-06-01,24.755,24.885,24.5825,24.615,116693200
2016-06-02,24.4,24.46,24.1575,24.43,160766400
2016-06-03,24.4475,24.5675,24.3625,24.48,114019600
2016-06-06,24.4975,25.4725,24.3875,24.6575,93170000
2016-06-07,24.8125,24.9675,24.74,24.7575,89638000
2016-06-08,24.755,24.89,24.67,24.735,83392400
2016-06-09,24.625,24.9975,24.615,24.9125,106405600
2016-06-10,24.6325,24.8375,24.62,24.7075,126851600
2016-06-13,24.6725,24.78,24.275,24.335,152082000
2016-06-14,24.33,24.62,24.1875,24.365,127727600
2016-06-15,24.455,24.6025,24.2575,24.285,117780800
2016-06-16,24.1125,24.4375,24.0175,24.3875,125307200
2016-06-17,24.155,24.1625,23.825,23.8325,244032800
2016-06-20,24,24.1425,23.7575,23.775,137647600
2016-06-21,23.735,24.0875,23.67,23.9775,142185600
2016-06-22,24.0625,24.2225,23.8375,23.8875,116876400
