Date,Open,High,Low,Close,Volume
2025-01-02,236.14,236.14,228.66,229.16,414600
2025-01-03,230.41,231.97,227.73,230.72,374600
2025-01-06,231,234.72,230.46,230.99,510700
2025-01-07,231.69,235.2,227.93,228.45,367600
2025-01-08,229.3,229.75,224.28,228.51,398300
2025-01-10,226.24,228.88,224.6,225.62,615300
2025-01-13,223.83,226.47,222.5,225.82,490000
2025-01-14,226.66,228.05,224.65,226.8,366500
2025-01-15,231.28,232.87,226.2,228.74,344100
2025-01-16,227.85,230.26,226.71,229.09,302900
2025-01-17,231.98,232.02,227.99,229.08,380000
2025-01-21,232.75,238.77,228.88,237.36,611900
2025-01-22,238.05,238.05,229.15,235.42,967200
2025-01-23,236,245.65,235.75,245.3,714400
2025-01-24,244.66,252.73,244.66,252.43,727300
2025-01-27,250.64,257.23,250.55,252.06,854600
2025-01-28,249.55,256.15,248.25,255.14,541000
2025-01-29,254.88,255.05,249.01,251.85,356900
2025-01-30,254,256.7,249.68,250.63,420200
2025-01-31,251.69,254.44,250.5,253.96,582700
2025-02-03,249.61,257.13,247.46,256.58,573100
2025-02-04,254.67,258.81,253.16,255.01,357800
2025-02-05,256.29,258.61,252.52,257.31,399600
2025-02-06,258.5,265.39,256.96,264.26,617100
2025-02-07,267.69,267.69,259.07,260.38,342800
2025-02-10,261.73,262.12,258.12,260,297000
2025-02-11,259.78,264.55,258.75,263.92,593600
2025-02-12,260,266.54,256.49,264.99,803800
2025-02-13,266,268.75,263.45,267.63,463600
2025-02-14,267.63,268.01,263.52,266.12,387200
2025-02-18,265.91,269,258.5,260.91,684500
2025-02-19,257.63,261.5,254.85,258.11,679200
2025-02-20,235.34,241.04,213.42,225.07,2293400
2025-02-21,223.45,223.45,208.35,208.84,1694800
2025-02-24,208.56,213,207.09,207.38,952900
2025-02-25,207.5,213.53,206.34,210.5,1014200
2025-02-26,208.98,217.78,208.98,213.23,1241600
2025-02-27,213.39,215.91,207.7,208.31,824900
2025-02-28,208.3,212.66,203.28,206.14,1406800
2025-03-03,207,207.82,198.16,198.61,1018200
2025-03-04,196.05,202.15,195.59,198.01,978500
2025-03-05,198.2,201.46,197.31,200.15,783400
2025-03-06,197.76,201.98,196.16,197.27,579500
2025-03-07,196.02,199.42,194.25,198.8,510700
2025-03-10,195.58,196.9,189.49,190.41,790600
2025-03-11,190.16,193.36,187.43,191.36,704500
2025-03-12,193,193.81,188.38,189.21,517800
2025-03-13,187.59,187.83,179.35,180.16,776900
2025-03-14,181.8,182.93,179.45,182.73,1000700
2025-03-17,182.38,188.39,182.38,186.22,620400
2025-03-18,185.61,186.04,181.67,183.02,464800
2025-03-19,183.4,184.39,178.49,180.87,852100
2025-03-20,178.21,178.38,171.01,172.28,1486400
2025-03-21,170.61,176.68,169.5,175.3,1284500
2025-03-24,178.9,181.01,177.13,178.31,580500
2025-03-25,179.29,180.58,177.7,178.99,500000
2025-03-26,179.34,179.77,175.82,176.92,391100
2025-03-27,176.3,176.62,173.57,174.23,495200
2025-03-28,173.28,173.51,167,168.93,634000
2025-03-31,167.09,169.91,164,168.84,669700
2025-04-01,169.2,172.21,165.47,167.53,731800
2025-04-02,165.64,170.17,165.64,169.06,540800
