Date,Open,High,Low,Close,Volume
2023-01-03,334.78,337.52,325.01,331.42,271100
2023-01-04,336.81,341.45,331.2,335.22,258700
2023-01-05,325.83,327.95,301.37,313.48,729900
2023-01-06,315.2,320,310.18,316.67,273500
2023-01-09,322.81,331.87,320.38,324.98,337300
2023-01-10,323.23,327.51,319.35,326.88,183600
2023-01-11,331.49,336.98,331.18,336.64,197100
2023-01-12,340,341.36,331.59,340.99,212300
2023-01-13,336.21,346.52,336.21,345.82,205100
2023-01-17,344.87,358.66,342.5,357.63,370800
2023-01-18,363.44,371.1,352.4,352.9,310400
2023-01-19,347.4,350.91,335.8,336,423300
2023-01-20,338.55,345.04,338.55,345.02,565100
2023-01-23,346.94,349.99,340.45,348.7,615700
2023-01-24,347.92,348.6,331.26,331.95,339000
2023-01-25,323.21,329.91,316.42,329.04,467200
2023-01-26,338.32,346.88,335,344.17,267500
2023-01-27,339.38,345.25,335.87,341.43,337600
2023-01-30,336.02,339.36,331.47,334.89,190600
2023-01-31,335.72,338.29,330.73,332.65,353700
2023-02-01,333.8,353.9,332.54,352.77,380000
2023-02-02,362.18,380.24,360.29,379.34,629600
2023-02-03,367.81,385.96,367.05,375.85,878400
2023-02-06,368.43,373.98,364,367.86,279100
2023-02-07,365.28,375.32,360.92,372.4,236500
2023-02-08,369.24,380.25,368.79,375.41,338700
2023-02-09,380.72,380.72,364.46,365.46,286200
2023-02-10,360,361.31,350.15,356.49,321000
2023-02-13,357.08,362.67,355.7,358.5,454800
2023-02-14,352.31,363.39,345.94,361.5,351800
2023-02-15,357.22,368.69,355.92,366.53,507700
2023-02-16,349.1,363.15,338,346.01,1320000
2023-02-17,335,341.81,325.79,338.21,770000
2023-02-21,331.8,335.76,320.13,323.17,581000
2023-02-22,324.77,327.65,306.69,311.08,842500
2023-02-23,315,317.06,306.99,311.74,537200
2023-02-24,304.15,309.96,301.84,306.03,320700
2023-02-27,308.56,316.38,307.54,312.86,279800
2023-02-28,308.94,315.18,307.61,307.65,326400
2023-03-01,306.99,309.35,303.44,305.59,266500
2023-03-02,305,307.11,303.16,304.25,417200
2023-03-03,305.53,309.68,302.45,305.99,471000
2023-03-06,307.87,315.32,306.26,310.34,313800
2023-03-07,309.55,311.53,303.33,305.33,294900
2023-03-08,305.85,307.67,304.02,306.64,253200
2023-03-09,302.54,307.53,296.03,296.13,297400
2023-03-10,293.68,294.19,281.63,282.74,555400
2023-03-13,280,283.04,274.55,280.67,977100
