Date,Open,High,Low,Close,Volume
2017-01-03,64.68,65.58,63.48,63.66,287900
2017-01-04,63.92,64.84,63.49,64.36,722800
2017-01-05,64.35,65.62,63.95,64.75,737900
2017-01-06,64.86,67.1,64.31,66.87,555500
2017-01-09,67.26,67.5,66.42,66.84,352800
2017-01-10,66.57,67.21,66.34,66.95,268300
2017-01-11,66.65,67.38,65.95,67.29,315800
2017-01-12,67.19,67.37,65.78,66.77,521000
2017-01-13,67.07,67.57,66.42,66.99,446100
2017-01-17,66.79,66.79,65.19,66.66,457300
2017-01-18,66.76,66.86,66.08,66.49,200500
2017-01-19,66.48,66.72,65.67,65.7,231700
2017-01-20,65.72,66.31,65.2,65.48,365900
2017-01-23,65.42,65.57,63.84,64.49,516300
2017-01-24,64.4,66.43,64.34,66.18,786900
2017-01-25,66.55,67,66.02,66.95,338200
2017-01-26,66.74,66.8,65.63,65.75,151800
2017-01-27,65.85,66.01,65.03,65.76,230500
2017-01-30,65.47,65.47,64.09,64.32,260900
2017-01-31,64.25,64.57,63.32,64.36,213100
2017-02-01,64.69,64.75,63.64,64.74,260800
2017-02-02,64.75,65.44,63.52,64,646800
2017-02-03,64.65,65.81,64.13,65.6,425100
2017-02-06,65.37,65.56,64.69,64.81,299300
2017-02-07,65.03,65.92,64.86,65.84,353800
2017-02-08,65.83,66.03,64.93,64.96,299200
2017-02-09,64.85,66.24,64.67,65.89,862400
2017-02-10,66.25,68,65.74,66.6,590400
2017-02-13,66.92,66.92,65.76,66.8,418100
2017-02-14,66.4,66.64,65.78,66.5,317800
2017-02-15,66.42,67.61,66.42,67.32,809100
2017-02-16,65.5,70.8,65.13,70.69,1116500
2017-02-17,70.87,71.32,69.62,70.24,471500
2017-02-21,70.22,72.5,70.22,72.09,640200
2017-02-22,71.85,73.39,71.14,73.02,383800
2017-02-23,73.38,73.38,71.73,73.12,617200
2017-02-24,72.77,74.36,72.61,74.33,562400
2017-02-27,74.33,74.33,73.24,73.55,799700
2017-02-28,73.72,74.4,73.14,73.63,496900
2017-03-01,74.23,75.02,73.34,74.88,389700
2017-03-02,74.98,75.72,74.28,75.46,692400
2017-03-03,75.5,75.57,73.24,73.62,592000
2017-03-06,73.12,73.8,73.01,73.32,565400
2017-03-07,72.95,73.17,72.31,72.58,310300
2017-03-08,72.61,73.53,72.48,73.32,254300
2017-03-09,73.28,73.94,72.57,73.58,240800
2017-03-10,73.96,74.27,73.52,73.79,209300
2017-03-13,73.5,73.78,72.9,73.62,227200
2017-03-14,73.37,73.84,72.81,73.35,163000
2017-03-15,73.32,73.4,72.21,72.93,325000
2017-03-16,72.94,73.62,72.86,73.07,176200
2017-03-17,73.18,73.27,72.37,72.5,409600
2017-03-20,72.28,72.64,71.68,72.61,414100
2017-03-21,72.98,72.98,72,72.04,395100
2017-03-22,72.1,72.73,71.58,72.57,197400
2017-03-23,72.36,73.28,72.02,72.86,312700
2017-03-24,72.97,74,72.88,73.27,294300
2017-03-27,72.3,73.91,71.92,73.78,343500
2017-03-28,73.5,75.09,73.46,74.6,426600
2017-03-29,74.17,75.51,73.64,75.37,580900
2017-03-30,75.76,76.13,75.12,75.92,370100
2017-03-31,75.36,76.16,74.71,75.52,421200
2017-04-03,75.32,75.46,74,74.34,393700
2017-04-04,74,74.75,73.49,74.3,341100
2017-04-05,74.41,75.7,74.24,74.44,475900
2017-04-06,74.41,75.3,74.05,74.88,298600
