Date,Open,High,Low,Close,Volume
2018-01-02,119.93,120.18,117.93,118.06,4165800
2018-01-03,117.91,118.47,117.64,117.75,4224000
2018-01-04,117.8,119.11,117.6,118.33,3147000
2018-01-05,118.41,119.09,118.25,118.67,2714200
2018-01-08,118.21,118.74,117.67,117.99,5730400
2018-01-09,118.26,118.98,117.95,118.08,4573600
2018-01-10,118.13,118.36,116.7,117.48,3363900
2018-01-11,117.64,117.85,116.38,116.88,3685200
2018-01-12,116.95,118.01,116.85,117.38,4335500
2018-01-16,117.2,118.35,117.03,117.86,4936500
2018-01-17,118.29,120.17,118.21,119.18,4554600
2018-01-18,119.09,119.62,118.65,119.05,6221800
2018-01-19,119.48,120.68,118.64,120.17,6002600
2018-01-22,120.1,121.85,120,121.51,4308600
2018-01-23,121.07,122.51,120.85,121.3,3536900
2018-01-24,121.24,121.48,120.82,121.14,3445200
2018-01-25,120.61,121.45,120.36,120.9,2712900
2018-01-26,120.61,121.84,120.61,121.76,3993900
2018-01-29,121.38,122.16,119.65,119.67,3854700
2018-01-30,119.68,121.2,119.5,119.89,4945200
2018-01-31,119.84,120.75,119.51,120.3,4018100
2018-02-01,119.92,121.01,119.28,120.3,3485600
2018-02-02,119.91,120.28,118.4,118.67,3348900
2018-02-05,118.57,119.66,114.41,114.46,5347600
2018-02-06,112.44,113.95,110.15,113.56,6642600
2018-02-07,113.97,115.77,112.75,113.5,4931400
2018-02-08,113.7,113.72,110.09,110.15,4907900
2018-02-09,110.81,111.99,108.88,111.18,5301700
2018-02-12,111.9,112.75,111.06,111.93,4759200
2018-02-13,112,112.67,110.68,112.14,5274700
2018-02-14,111.67,111.9,108.76,109.11,7702700
2018-02-15,109.53,111.04,108.72,110.97,5125200
2018-02-16,111.06,111.7,109.76,111.06,5578500
2018-02-20,110.96,110.98,109.34,109.48,3835500
2018-02-21,109.35,109.84,107.94,108,4501900
2018-02-22,108.33,109.97,108.02,109.26,5394700
2018-02-23,109.36,110.05,108.57,109.68,4760400
2018-02-26,110.12,111.17,110.03,110.94,5355400
2018-02-27,111.19,112.08,110.71,110.89,6385800
2018-02-28,111,111.65,109.68,109.73,4638900
2018-03-01,109.21,109.88,107.24,108.12,6896300
2018-03-02,107.91,109.32,107.9,109.04,4903600
2018-03-05,108.46,109.6,108.02,109.43,3781700
2018-03-06,109.36,109.62,108.44,109.58,3380800
2018-03-07,108.89,110.06,108.61,109.84,4612600
2018-03-08,110.03,112.13,109.58,112.08,5437700
2018-03-09,112.27,112.57,111.64,112.54,3680600
2018-03-12,112.5,113.09,112.08,112.75,4509600
2018-03-13,113.27,113.9,112.72,113.6,4590000
2018-03-14,113.57,113.77,112.23,112.61,4055700
2018-03-15,112.4,113.25,111.66,111.99,3906800
2018-03-16,112.33,113.2,111.58,111.64,7730800
2018-03-19,111.65,111.99,110.05,110.36,4216700
2018-03-20,110.75,111.3,109.83,109.9,3319000
2018-03-21,109.89,110.08,108.53,108.74,3867600
2018-03-22,108.45,109.67,107.8,107.94,4325500
2018-03-23,108.09,108.74,105.94,106.15,4873300
2018-03-26,106.68,107.47,106.09,106.81,4119400
2018-03-27,107.23,108.54,106.51,107.64,5036300
2018-03-28,108.14,110.11,108,109.18,6413000
2018-03-29,110.12,110.66,108.97,109.15,3829500
2018-04-02,108.62,109.22,106.44,107.05,4325500
2018-04-03,107.39,108.53,106.59,108.19,4699000
2018-04-04,107.78,110.73,107.24,110.18,4694200
2018-04-05,110.43,111.18,109.75,110.57,3275700
2018-04-06,110.06,110.98,108.77,109.3,3579100
2018-04-09,109.54,110.45,108.78,109.38,2620000
2018-04-10,109.74,110.2,108.92,109.4,2817000
2018-04-11,108.57,109.47,108.42,108.68,4000200
2018-04-12,108.96,109.51,108.27,108.31,2691700
2018-04-13,108.85,109.46,108.52,109.26,2828300
2018-04-16,109.75,110.64,109.52,109.92,2769800
2018-04-17,108.69,109.08,107.98,108.87,5022000
2018-04-18,108.97,109.36,106.46,106.98,6525500
2018-04-19,106.71,106.94,105.08,105.57,6320200
2018-04-20,105.45,105.6,102.27,102.48,8650000
2018-04-23,102.55,102.8,101.84,102.58,6670600
2018-04-24,102.62,102.85,100.97,101.44,5695500
2018-04-25,101.21,102.36,100.85,101.15,4828300
2018-04-26,102.25,104.08,101.15,103.26,5978800
2018-04-27,102.22,102.99,101.65,101.71,4765900
2018-04-30,101.85,102.39,100.58,100.94,5479900
2018-05-01,100.36,100.93,98.57,99.13,4543900
2018-05-02,99.16,99.36,97.03,97.23,5927700
2018-05-03,97.48,98.09,96.7,97.6,6668200
2018-05-04,97.55,99.77,97.5,98.99,5937000
2018-05-07,98.98,99.31,98.07,98.23,3475400
2018-05-08,97.91,97.99,96.43,96.79,5333700
2018-05-09,97.19,97.52,95.94,96.16,6201500
2018-05-10,96.43,97.74,96.4,97.27,3100600
2018-05-11,97.58,98.26,96.88,97.43,3507300
2018-05-14,97.69,97.73,96.73,97.15,4307900
2018-05-15,96.61,97.24,96.36,96.8,6555700
2018-05-16,96.64,97.55,96.55,97.19,5544700
2018-05-17,97.55,97.99,97.15,97.92,6531100
2018-05-18,98.31,98.45,97.32,97.51,6894000
2018-05-21,98.22,99.98,98.06,99.51,6678100
2018-05-22,99.78,100.46,99.43,99.93,6807600
2018-05-23,99.93,100.6,99.61,100.45,6249900
2018-05-24,100.31,100.58,99.76,100.18,4696700
2018-05-25,100.18,101.11,99.9,100.31,5324300
2018-05-29,100,101.29,100,101.1,8302600
2018-05-30,101.66,102.24,101.09,101.83,6256600
2018-05-31,101.15,101.3,99.66,100.25,8270100
2018-06-01,100.54,100.93,99.65,100.25,4414200
2018-06-04,100.77,101.09,100.03,100.12,3932000
2018-06-05,100.46,100.96,99.88,100.21,4851900
2018-06-06,100.4,100.86,99.82,100.83,3946700
2018-06-07,100.51,101.51,100.33,101.16,5052900
2018-06-08,101.18,102.61,101.18,102.49,4795500
2018-06-11,102.61,103.41,102.27,103.21,3984500
2018-06-12,103.23,104.55,102.82,104.48,5075900
2018-06-13,104.16,105.6,104.16,105.27,7553500
2018-06-14,105.26,105.36,104.43,105.13,4812600
2018-06-15,105.1,107.75,104.82,107.61,10573000
2018-06-18,107.01,107.21,104.83,105.38,5964400
2018-06-19,105.49,106.68,105.22,105.96,5504400
2018-06-20,105.73,106.11,105.36,105.81,4601400
2018-06-21,106.57,107.43,106.3,107.24,6550700
2018-06-22,107.24,108.67,107.14,108.37,5709400
2018-06-25,107.71,109.59,107.71,108.99,5183000
2018-06-26,109.05,109.17,107.47,108.05,5034100
2018-06-27,108.37,108.96,107.62,108.27,6229200
2018-06-28,108.42,109.3,108.3,108.68,4297400
2018-06-29,108.72,109.5,107.8,108.87,4721400
2018-07-02,108.7,110,108.31,109.53,4711900
2018-07-03,108.58,109.57,108.06,108.8,3769100
2018-07-05,108.91,109.62,108,109.55,4870400
2018-07-06,109.49,110.02,108.97,109.56,4387300
2018-07-09,109.13,109.3,107.52,107.76,7866400
2018-07-10,110.62,113,109.68,112.89,16107200
2018-07-11,112.64,112.94,112.1,112.54,5521400
2018-07-12,112.54,112.71,110.97,111.53,5500100
2018-07-13,111.68,112.79,111.62,112.69,4417100
