Date,Open,High,Low,Close,Volume
2000-01-03,8.78125,8.78125,8.34375,8.59375,181400
2000-01-04,8.5,8.5,8.3125,8.46875,193400
2000-01-05,8.375,8.4375,8.25,8.4375,304800
2000-01-06,8.40625,8.40625,7.9375,8.09375,199000
2000-01-07,8.09375,8.09375,7.75,7.78125,231400
2000-01-10,7.9375,8,7.625,7.875,337000
2000-01-11,7.8125,7.8125,7.53125,7.65625,318000
2000-01-12,7.65625,7.65625,7.1875,7.25,219600
2000-01-13,7.3125,7.34375,7.25,7.3125,95600
2000-01-14,7.4375,7.4375,6.75,6.90625,755000
2000-01-18,6.84375,6.875,6.6875,6.875,431800
2000-01-19,6.875,7.09375,6.875,7,261800
2000-01-20,7.03125,7.28125,6.9375,7,525800
2000-01-21,6.90625,7,6.875,6.90625,767600
2000-01-24,6.9375,7,6.75,6.78125,258200
2000-01-25,6.6875,6.6875,6.0625,6.21875,654000
2000-01-26,6.1875,6.1875,5.78125,5.875,521200
2000-01-27,5.875,5.96875,5.78125,5.78125,272400
2000-01-28,5.78125,5.8125,5.625,5.65625,98400
2000-01-31,5.59375,5.6875,5.53125,5.5625,303400
2000-02-01,5.625,5.65625,5.4375,5.5625,290200
2000-02-02,5.65625,5.78125,5.625,5.71875,182600
2000-02-03,5.71875,5.8125,5.71875,5.75,196200
2000-02-04,5.78125,5.84375,5.75,5.78125,411400
2000-02-07,5.8125,6.0625,5.75,5.875,123000
2000-02-08,6.03125,6.03125,5.78125,5.8125,170800
2000-02-09,5.875,6.09375,5.75,5.9375,276200
2000-02-10,6,6.375,5.9375,6.3125,130400
2000-02-11,6.25,6.53125,6.09375,6.4375,138400
2000-02-14,6.4375,6.4375,6.0625,6.21875,194000
2000-02-15,6,6.03125,5.78125,5.78125,231400
2000-02-16,5.84375,5.875,5.5625,5.6875,376800
2000-02-17,5.75,6.0625,5.65625,5.75,296800
2000-02-18,5.75,5.78125,5.625,5.625,368000
2000-02-22,5.59375,5.625,5.5625,5.59375,129600
2000-02-23,5.65625,5.6875,5.40625,5.46875,168200
2000-02-24,5.4375,5.46875,5.25,5.25,247800
2000-02-25,5.21875,5.21875,4.5,4.75,1106800
2000-02-28,4.75,4.84375,4.59375,4.65625,655200
2000-02-29,4.71875,4.75,4.65625,4.75,607200
2000-03-01,4.8125,4.96875,4.8125,4.875,406200
