Date,Open,High,Low,Close,Volume
2017-01-03,65.03,65.92,64.1,64.82,2302500
2017-01-04,65.18,67.6,65.08,66.76,3485900
2017-01-05,66.17,67.17,65.34,66.38,2052200
2017-01-06,66.19,66.51,65.37,65.4,1277400
2017-01-09,65.46,65.87,64.85,65.19,1557400
2017-01-10,65.01,66.73,65,65.68,2462400
2017-01-11,67.09,68.06,66.25,66.89,2431900
2017-01-12,66.95,67.1,65.48,66.81,1278200
2017-01-13,66.82,67.51,66.73,67.17,1063000
2017-01-17,67.17,67.32,66.2,66.47,1402500
2017-01-18,66.25,66.39,65.22,65.68,2267600
2017-01-19,65.67,66.88,65.67,66.47,1994900
2017-01-20,66.68,67.11,66.11,66.65,1306600
2017-01-23,66.2,67.35,66.13,67.13,1768800
2017-01-24,67.51,68.72,67.31,68.21,2608700
2017-01-25,68.16,68.39,67.85,68.2,2866900
2017-01-26,68.34,68.86,67.56,67.67,1622700
2017-01-27,67.87,67.97,67.18,67.46,1084400
2017-01-30,67.3,67.47,66.22,66.89,2534500
2017-01-31,66.85,66.92,65.74,66.71,3275700
2017-02-01,65,66.55,64.7,65.19,2931700
2017-02-02,65.37,65.77,64.63,65,1689900
2017-02-03,65.03,66.11,65.03,65.69,1428400
2017-02-06,65.37,65.59,64.67,65.11,1340300
2017-02-07,65.16,65.85,65.02,65.83,1669400
2017-02-08,65.53,66.94,65.5,66.76,2276200
2017-02-09,66.84,67.68,66.11,67.44,1432600
2017-02-10,67.72,67.91,66.75,67.54,1531000
2017-02-13,67.79,67.95,67.03,67.5,1437200
2017-02-14,67.5,68.31,67.3,68.22,1308600
2017-02-15,67.91,68.86,67.79,68.6,1793100
2017-02-16,68.5,69.11,68.2,68.28,1606800
2017-02-17,67.63,67.65,66.39,67.02,2383500
2017-02-21,67.58,68.57,67.19,68.25,1658200
2017-02-22,67.86,68.24,67.31,67.55,1453400
2017-02-23,67.47,67.79,65.96,66.07,1368800
2017-02-24,65.86,66.24,64.89,65.83,1961200
2017-02-27,65.94,66.21,65.6,66.07,1397700
2017-02-28,65.72,65.94,64.18,64.54,3043000
2017-03-01,65.51,66.44,62.64,65.18,6524700
2017-03-02,64.91,66.15,64.8,65.03,1833100
2017-03-03,65.24,65.55,64.46,64.87,1943600
2017-03-06,64.3,64.54,63.77,63.9,1760200
2017-03-07,63.72,64.83,63.6,63.81,1882000
2017-03-08,64.05,65.14,63.88,64.61,1348200
2017-03-09,64.28,64.98,63.61,63.77,1266100
2017-03-10,64.15,64.82,63.85,64.2,1139200
2017-03-13,64.16,64.37,63.27,63.39,1667400
2017-03-14,63.18,63.39,62.18,62.98,2547900
2017-03-15,62.98,63.8,62.03,63.51,2689300
2017-03-16,63.57,63.96,62.65,63.54,1755600
