Date,Open,High,Low,Close,Volume
2022-01-03,16395.5098,16504.1406,16306.6396,16501.7695,4429960000
2022-01-04,16513.8691,16513.8691,16151.9004,16279.7305,5131110000
2022-01-05,16190.5498,16249.2305,15763.8398,15771.7803,5031850000
2022-01-06,15675.2197,15900.5996,15608.5703,15765.3604,4790820000
2022-01-07,15774.1299,15835,15526.7998,15592.1904,4238070000
2022-01-10,15383.1797,15627.9199,15165.5303,15614.4297,5317180000
2022-01-11,15582.7197,15848.5596,15496.9102,15844.1201,4390710000
2022-01-12,15955.4805,16017.3896,15815.9502,15905.0996,4338530000
2022-01-13,15970.0898,15990.3799,15468.0898,15495.6201,4302020000
2022-01-14,15396.4697,15617.1797,15396.4697,15611.5898,4374020000
2022-01-18,15378.0596,15446.2998,15182.96,15210.7598,5060790000
2022-01-19,15287.25,15382,15038.4404,15047.8398,4665340000
2022-01-20,15176.3799,15347.6201,14832.6904,14846.46,5102050000
2022-01-21,14728.6602,14868.4502,14432.6396,14438.4004,5870830000
2022-01-24,14160.9102,14532.5703,13724.8496,14509.5801,6998770000
2022-01-25,14237.5996,14410.4297,14033.8096,14149.1201,5019380000
2022-01-26,14492.5195,14646.54,14006.4004,14172.7598,5771140000
2022-01-27,14346.46,14419.4502,13972.8799,14003.1104,5177380000
2022-01-28,14091.3096,14457.7803,13880.4805,14454.6104,4971930000
2022-01-31,14505.0703,14934.5195,14442.8799,14930.0498,5124940000
2022-02-01,14966.5996,15034.4199,14749.4902,15019.6797,4671850000
2022-02-02,15173.0303,15196.4004,14960.8496,15139.7402,4673140000
2022-02-03,14693.8496,14856.5098,14471.2002,14501.1104,4326300000
2022-02-04,14566.2803,14832.0498,14452.2803,14694.3496,4121340000
2022-02-07,14716.4297,14813.8604,14524.6299,14571.25,4268730000
2022-02-08,14533.25,14785.2197,14485.7803,14747.0303,4293770000
2022-02-09,14930.9902,15057.9004,14870.3604,15056.96,4729730000
2022-02-10,14770.6797,15037.2598,14636.6201,14705.6396,5212510000
2022-02-11,14739.46,14769.6396,14194.54,14253.8398,5237320000
2022-02-14,14233.4004,14400.7803,14119.7305,14268.5898,4347350000
2022-02-15,14482.1104,14624.5303,14444.46,14620.8203,4416840000
2022-02-16,14514.8398,14647.79,14399.29,14603.6396,4238560000
2022-02-17,14485.0801,14497.46,14155.4297,14171.7402,4278370000
2022-02-18,14207.5498,14225.7197,13918.7598,14009.54,4501940000
2022-02-22,13892.8096,14109.2598,13720.9199,13870.5303,4849170000
2022-02-23,14016.9404,14035.9297,13502.5801,13509.4297,4639330000
2022-02-24,13065.4404,13989.0996,13065.4404,13974.6699,6180200000
2022-02-25,13973.9004,14193,13850.29,14189.1602,4628720000
2022-02-28,14058.6104,14296.5996,14009.3604,14237.8096,5928130000
2022-03-01,14197.6602,14271.5801,13906.9199,14005.9902,6131350000
2022-03-02,14075.1104,14292.7197,13962.6904,14243.6904,5246390000
2022-03-03,14339.7002,14342.5596,13965.1104,14035.21,5092580000
2022-03-04,13957.5996,13992.9697,13738.6104,13837.8301,5343900000
2022-03-07,13853.5303,13879.0996,13314.4404,13319.3799,6195370000
2022-03-08,13275.2305,13663.2695,13129.4004,13267.6104,6683960000
2022-03-09,13610.4805,13793.1104,13504.4805,13742.2002,5396550000
2022-03-10,13577.8398,13633.6904,13399.46,13591,5071250000
2022-03-11,13701.7998,13714.4404,13285.1904,13301.8301,5288210000
2022-03-14,13248.0898,13386.6699,13020.4004,13046.6396,5876710000
2022-03-15,13174.9697,13488.1797,13092.4502,13458.5596,5440100000
2022-03-16,13633.1201,13960.25,13475.0898,13956.79,6552210000
2022-03-17,13878.9902,14125.6699,13827.3398,14118.5996,5612090000
2022-03-18,14061.29,14427.4697,14014.4297,14420.0801,8149290000
2022-03-21,14377.1504,14470.6797,14190.5303,14376.0898,5673940000
2022-03-22,14396.0303,14688.9697,14385.5498,14654.3301,5445100000
2022-03-23,14525.2197,14681.3301,14446.04,14447.5498,5024230000
2022-03-24,14529.7197,14767.7305,14440.6699,14765.6904,5149520000
2022-03-25,14766.9004,14805.8799,14577.5898,14754.3096,5585100000
2022-03-28,14763.1602,14989.0801,14705.9199,14987.4004,5129500000
2022-03-29,15142.9297,15265.4199,15039.6104,15239.3203,6060890000
2022-03-30,15177.1504,15229.0098,15010.3398,15071.5498,5479200000
2022-03-31,15074.2305,15088.3799,14835.1602,14838.4902,5453890000
2022-04-01,14886.9102,14925.9297,14723.8301,14861.21,5002790000
2022-04-04,14903.3799,15161.8896,14884.5703,15159.5801,4630100000
2022-04-05,15109.2695,15120.6699,14782.5703,14820.6396,4727710000
2022-04-06,14600.2998,14639.3496,14395.4004,14498.8896,5360420000
2022-04-07,14469.5,14624.2402,14315.6904,14531.8096,4856090000
2022-04-08,14450.5303,14490.1904,14307.6797,14327.2598,4574080000
2022-04-11,14149.5996,14187.6699,13979.1396,13990.21,4946680000
2022-04-12,14175.6602,14264.7402,13882.75,13940.2402,4991720000
2022-04-13,13939.6104,14258.8096,13919.4805,14217.29,4909720000
2022-04-14,14225.4697,14235.3896,13884.8203,13893.21,4642240000
2022-04-18,13859.4697,13997.9297,13788.96,13910.7598,4365230000
2022-04-19,13882.75,14236.5098,13844.7402,14210.2598,4562840000
2022-04-20,14246.2002,14263.6104,13962.8604,13998.5303,4678930000
2022-04-21,14174.9199,14277.21,13682.6797,13720.4502,5233110000
2022-04-22,13714.6299,13769.4004,13342.79,13356.8701,4475090000
2022-04-25,13275.4102,13541.7695,13239.7305,13533.2197,4845160000
2022-04-26,13447.6602,13447.6602,13009.6504,13009.71,5168160000
2022-04-27,13009.4004,13241.9404,12936.4102,13003.3604,4810720000
2022-04-28,13254.96,13542.5596,13038.1699,13456.0596,5067150000
2022-04-29,13274.9404,13428.5303,12835.4805,12854.7998,4733070000
2022-05-02,12864.8301,13083.5703,12716.6299,13075.8496,4918240000
2022-05-03,13045.3496,13178.7402,12982.7002,13089.9004,4547280000
