Date,Open,High,Low,Close,Volume
2020-01-02,8802.2197,8873.6299,8786.9004,8872.2197,2862700000
2020-01-03,8755.1699,8843.6504,8755.1699,8793.9004,2586520000
2020-01-06,8713.8896,8849.9805,8713.8896,8848.5195,2810450000
2020-01-07,8857.1396,8872.4697,8821.6797,8846.4502,2381740000
2020-01-08,8845.4502,8953.5498,8834.9404,8912.3701,2472620000
2020-01-09,8990.04,9004.5498,8938.5303,8989.6299,2540960000
2020-01-10,9021.8799,9024.8701,8951.8301,8966.6396,2382900000
2020-01-13,9007.9404,9071.5303,8991.3496,9070.6504,2536820000
2020-01-14,9068.0195,9080.1602,9020.9199,9033.4199,2553160000
2020-01-15,9039.3096,9078.8701,9008.9502,9035.6699,2443220000
2020-01-16,9088.0801,9126.0703,9066.3096,9125,2312110000
2020-01-17,9159.4805,9176.4697,9118.9805,9173.7305,2542540000
2020-01-21,9145.6396,9187.4199,9141.7803,9166.6299,2686610000
2020-01-22,9212.3496,9242.4805,9179.2695,9188.5801,2454580000
2020-01-23,9186.1396,9221.1299,9145.2305,9216.9805,2465850000
2020-01-24,9266.3496,9272.3701,9101.4404,9141.4697,2622970000
2020-01-27,8913.1602,9001.4404,8910.9697,8952.1797,2593910000
2020-01-28,9013.2305,9111.3203,8994.2803,9090.9297,2169020000
2020-01-29,9141.5195,9153.0801,9067.29,9101.6104,2234620000
2020-01-30,9038.9199,9140.6904,9019.7197,9136.0898,2345370000
2020-01-31,9169.9102,9170.2197,8961.5898,8991.5098,2696090000
2020-02-03,9033.5195,9148.5,9031.0703,9126.2305,2427320000
2020-02-04,9256.9404,9352.96,9224.8604,9334.0596,2447340000
2020-02-05,9441.3398,9442.75,9311.8799,9367.4805,2470240000
2020-02-06,9395.6904,9448.7197,9357.8604,9445.9199,2313860000
2020-02-07,9397.7695,9453.2402,9376.9102,9401.0996,2243720000
2020-02-10,9373.2002,9517.7402,9373.2002,9516.8398,2187520000
2020-02-11,9567.8096,9600.0498,9493.6299,9517.8604,2450070000
2020-02-12,9569.8203,9615.9102,9552.0303,9613.2002,2366510000
2020-02-13,9540.6699,9636.4102,9532.7402,9595.7002,2254870000
2020-02-14,9613.8799,9634.75,9583.0801,9623.5801,2226720000
2020-02-18,9567.2803,9647.7197,9567.2803,9629.7998,2279420000
2020-02-19,9683.9404,9736.5703,9676.0703,9718.7305,2470860000
2020-02-20,9696.6602,9714.2305,9513.2305,9627.8301,2745730000
2020-02-21,9582.54,9594,9406.3799,9446.6904,2750160000
2020-02-24,9055.2998,9194.9102,9028.8701,9079.6299,3188590000
2020-02-25,9167.3301,9183.7803,8807.1104,8834.8701,3595520000
2020-02-26,8883.0098,9032.8799,8813.9199,8873.7598,3587950000
2020-02-27,8632.54,8786.6797,8430.5303,8436.6699,4559900000
2020-02-28,8133.8501,8490.4697,8133.8501,8461.8301,5320020000
2020-03-02,8569.9102,8879.3896,8446.5,8877.9805,4249020000
2020-03-03,8892.6797,9000.46,8516.5801,8594.4902,4336700000
2020-03-04,8745.6396,8952.1104,8669.7598,8949.2803,3634760000
2020-03-05,8713.1904,8864.1904,8613.9102,8671.6602,3763860000
2020-03-06,8395.9502,8571.8799,8319.9004,8530.3398,4292730000
2020-03-09,7912.1401,8241.7695,7912.1401,7948.0298,4554110000
2020-03-10,8213.9697,8376.4404,7942.1299,8372.2695,4447260000
2020-03-11,8166.2598,8224.7305,7900.9902,8006.1201,4302610000
2020-03-12,7452.7598,7808.3101,7255.6201,7263.6499,5099350000
