Date,Open,High,Low,Close,Volume
2010-01-04,105.48,106.21,104.83,105.64,95100
2010-01-05,104.73,104.73,101.31,103,317200
2010-01-06,102.65,104.27,101.52,102.21,243400
2010-01-07,102,102.55,100.36,100.44,209400
2010-01-08,99.9,102.3,99.54,102.14,119500
2010-01-11,102.1,103.35,101.84,103.05,112300
2010-01-12,102.88,103.12,101.15,101.59,97300
2010-01-13,101.38,103.57,101.04,102.97,160100
2010-01-14,103.2,104.53,103.01,103.82,132000
2010-01-15,104.05,104.34,100.97,101.09,101700
2010-01-19,100.72,102.03,100.55,101.7,153400
2010-01-20,101.2,101.64,99.91,100.82,136600
2010-01-21,101.46,102.13,99.69,100.17,314100
2010-01-22,100.48,101.06,98.7,98.78,149000
2010-01-25,99.06,99.59,98.59,99.09,139500
2010-01-26,98.71,100.07,98,98.97,80100
2010-01-27,98.69,98.75,97,98.23,182500
2010-01-28,98,99.39,97.34,97.34,184900
2010-01-29,97.35,99,97.27,97.47,206300
2010-02-01,97.64,98.46,97.06,97.68,234000
2010-02-02,97.97,98.95,97.26,98.1,267500
2010-02-03,97.52,100.3,97.52,100.24,282100
2010-02-04,99.44,99.94,96.14,96.29,361000
2010-02-05,96.01,98.45,93.95,96.94,620400
2010-02-08,96.35,96.98,94.46,94.46,312400
2010-02-09,95.49,96.18,95.26,95.59,156800
2010-02-10,95.25,95.67,93.99,94.1,120100
2010-02-11,93.74,95.03,93.65,94.85,221400
2010-02-12,93.95,94.67,93.43,94.33,424800
2010-02-16,94.8,95.77,94.22,95.76,209700
2010-02-17,95.81,96.45,95.7,96.24,157700
2010-02-18,96.31,96.54,95.84,96,180200
2010-02-19,95.63,97.51,95.09,97.43,245600
2010-02-22,98.31,98.43,97.44,98.36,243500
2010-02-23,98.45,98.67,97.8,98.36,247600
2010-02-24,98.21,99.35,98,98.55,169600
2010-02-25,98.01,98.92,97.11,98.79,137600
2010-02-26,98.41,99.74,98.41,99.41,140000
2010-03-01,99.86,102.98,99.43,102.62,215500
2010-03-02,102.67,103.84,102.32,103.61,156400
2010-03-03,103.87,104.63,103.36,103.94,96900
2010-03-04,104.18,104.38,101.65,103.37,231500
2010-03-05,104.21,105.6,104,105.5,154800
2010-03-08,105.03,105.76,104.81,105.29,153200
2010-03-09,105.29,105.5,104.48,105,84200
2010-03-10,104.62,106.06,104.58,105.62,284000
2010-03-11,105.69,106.18,104.63,105.3,197200
2010-03-12,105.5,106.1,104.88,106.09,120600
2010-03-15,106.09,107.36,105.77,107.17,150000
2010-03-16,107.23,109.24,107.23,109.14,304300
2010-03-17,109.24,109.75,108.56,108.81,151200
2010-03-18,109.05,109.22,107.85,108.22,97100
2010-03-19,107.2,108.25,107.02,107.2,186900
2010-03-22,107.07,108.77,106.43,108.6,145900
2010-03-23,108.96,109.98,108.41,109.77,105500
2010-03-24,108.78,109.34,108.25,108.36,120300
2010-03-25,109.15,110.75,108.65,109.42,135200
2010-03-26,109.62,110,108.87,109.39,80000
2010-03-29,109.01,111.45,108.93,109.06,245100
2010-03-30,109.44,111.07,108.94,110.31,123200
2010-03-31,110.31,110.78,109.2,109.2,124900
2010-04-01,109.86,110.99,109.65,110.26,100900
2010-04-05,110.33,111.37,110.3,111.19,158900
2010-04-06,110.39,112.75,109.91,112.58,185800
2010-04-07,112.66,112.87,111.33,112.27,121500
2010-04-08,112.22,112.54,110.56,112.32,174700
2010-04-09,112.33,113.48,111.95,113.48,97200
2010-04-12,113.49,114.49,113.34,114.22,120000
2010-04-13,114.16,115.47,113.84,115.26,228200
2010-04-14,115.49,116.99,115.42,116.68,157200
2010-04-15,116.23,117.75,116.23,116.58,103200
2010-04-16,116.6,117.73,115.66,117.29,296100
2010-04-19,116.23,117.23,115.83,116.92,146100
2010-04-20,117.3,117.73,116.61,116.87,163000
2010-04-21,116.72,117.5,115.98,116.45,162000
2010-04-22,115.28,115.87,114.66,115.23,233200
2010-04-23,115.02,116.77,114.15,116.76,242500
2010-04-26,116.38,117.9,116.29,116.7,194400
2010-04-27,116.78,120.12,115.96,116.31,289200
2010-04-28,116.88,118.87,116.23,118.42,278700
2010-04-29,118.89,120.96,118.87,119.83,327400
2010-04-30,127.47,130.17,125.46,125.48,503900
2010-05-03,126.58,127.62,124.84,126.7,274900
2010-05-04,125.25,125.42,122.81,123.66,372500
2010-05-05,122.65,122.65,119.68,120.2,268700
2010-05-06,120.02,120.02,111.61,117.53,351300
2010-05-07,116.17,116.42,111.82,112.46,278200
2010-05-10,116.13,118.75,116.03,117.57,306800
2010-05-11,117,120.29,116.38,119.95,286900
2010-05-12,119.97,122,119.93,122,231400
2010-05-13,121.5,121.62,119.93,120.48,212500
2010-05-14,120.21,120.21,117.47,118.25,495100
2010-05-17,118.36,119.28,116.57,118.6,203600
2010-05-18,119.96,119.96,116,116.34,325500
2010-05-19,115.5,116.46,114.8,116.04,344500
2010-05-20,114.71,114.71,110.08,110.82,382800
2010-05-21,109.22,112.65,108.82,111.35,363000
2010-05-24,110.85,112.86,110.73,111.32,221000
2010-05-25,109.07,110.14,107,109.11,401800
2010-05-26,110,112.31,109.73,110.69,352500
2010-05-27,113.19,116.85,112.83,116.64,315200
2010-05-28,116.25,116.81,114,114.53,182500
2010-06-01,113.71,115.04,112.35,112.41,134900
2010-06-02,112.64,114.06,110.59,113.96,218100
2010-06-03,114.43,116,113.78,115.32,232800
2010-06-04,113.68,113.87,109.94,110.21,229300
2010-06-07,110.16,110.78,107.76,107.96,203300
2010-06-08,107.93,108.25,106.22,107.42,257000
2010-06-09,108.27,111.54,107.84,110.36,328900
2010-06-10,111.8,113.63,111.59,113.4,215400
2010-06-11,112.28,114.44,112.16,113.17,209500
2010-06-14,113.66,117.14,113.66,115.59,173700
2010-06-15,116.05,117.97,116.05,117.74,98400
2010-06-16,116.81,118.98,116.31,118.25,177900
2010-06-17,118.68,119.36,116.62,118.02,81000
2010-06-18,117.86,118.63,116.64,116.98,113500
2010-06-21,118.17,119.7,116.26,116.76,121600
2010-06-22,116.65,117.93,114.89,115.01,119700
2010-06-23,114.92,115.58,113.53,114.59,84600
2010-06-24,113.69,114.44,113.01,113.44,105800
2010-06-25,113.52,115.75,112.91,114.52,189100
2010-06-28,115.04,116.05,113.79,114.71,69900
2010-06-29,114.17,114.17,109.98,110.55,211100
2010-06-30,110.04,112.44,109.97,111.63,219100
2010-07-01,111.43,111.49,107.57,109.39,213800
2010-07-02,109.9,110.29,108.1,108.42,123800
2010-07-06,109.19,111.93,109.19,111.41,317400
2010-07-07,111.91,113.74,110.85,113.51,288200
2010-07-08,113.93,115.24,113.32,114.52,290700
