Date,Open,High,Low,Close,Volume
2010-01-04,38.66,39.14,38.55,39.05,4447400
2010-01-05,39.63,40.63,39.62,40.59,8029400
2010-01-06,40.35,40.97,40.2,40.81,5819000
2010-01-07,40.69,43.11,40.59,42.83,7885800
2010-01-08,42.43,43.19,42.01,42.46,6929600
2010-01-11,42.81,42.99,41.68,41.7,5299100
2010-01-12,41.48,42.2,41.32,41.86,6491900
2010-01-13,41.52,42.24,40.72,42.12,6079100
2010-01-14,41.81,42.1,41.29,41.67,4302700
2010-01-15,41.32,42.11,40.9,41.13,7222400
2010-01-19,40.97,43.09,40.81,43.01,7769600
2010-01-20,42.71,43.6,42.32,43.02,7280300
2010-01-21,42.86,43.54,41.45,42.7,11787800
2010-01-22,40.79,40.88,37.31,37.53,22018900
2010-01-25,38.32,38.35,35.65,36.11,17531700
2010-01-26,35.96,36.7,35.15,35.21,13500900
2010-01-27,35.31,36.86,34.65,36.55,11448100
2010-01-28,36.51,37.23,35.76,36.74,10454200
2010-01-29,37.75,37.9,36.7,36.86,8555700
2010-02-01,36.85,37.36,36.47,36.78,8417200
2010-02-02,37.47,38.44,36.92,37.43,9958800
2010-02-03,37.15,37.34,36.38,36.55,5430300
2010-02-04,36.18,36.34,34.85,34.95,9094100
2010-02-05,35.11,35.54,34.03,35.36,8869700
2010-02-08,35.41,35.76,34.6,34.63,4895000
2010-02-09,35.17,36.11,34.86,35.33,5409000
2010-02-10,35.23,36.01,34.97,35.56,4672500
2010-02-11,35.5,35.87,34.83,35.64,4801100
2010-02-12,35.1,35.38,34.68,35.14,7013900
2010-02-16,36.19,36.91,35.95,36.74,8239700
2010-02-17,36.98,37.29,36.45,36.85,6431600
2010-02-18,36.61,37.54,36.61,37.33,5329000
2010-02-19,37.27,37.85,36.86,37.79,6076100
2010-02-22,37.9,38.53,37.68,38.28,6873200
2010-02-23,38.1,38.37,36.83,37.03,7199000
2010-02-24,37.2,37.69,36.91,37.64,4333100
2010-02-25,37.03,37.43,36.4,37.37,5267200
2010-02-26,37.35,37.92,37.04,37.75,3824400
2010-03-01,37.94,38.06,37.23,37.38,4418400
2010-03-02,37.52,38.33,37.47,37.98,3617600
2010-03-03,38.04,38.76,37.46,37.76,5416800
2010-03-04,37.48,37.55,36.58,36.84,9498300
2010-03-05,36.5,38.05,36.15,37.94,10041300
2010-03-08,38.06,38.26,37.56,37.85,4008100
2010-03-09,37.68,39.13,37.5,38.66,6799200
2010-03-10,38.93,39.66,38.74,39.09,5789000
2010-03-11,38.99,39.85,38.75,39.81,4837100
2010-03-12,39.88,40.75,39.46,39.89,6531300
2010-03-15,39.9,40.43,38.95,39.98,7799500
2010-03-16,40.26,40.42,39.27,40.39,7872500
2010-03-17,40.61,40.91,39.96,40.25,5605800
2010-03-18,40.2,40.92,40.03,40.84,5476600
2010-03-19,39.77,41.23,39.75,39.77,7784600
2010-03-22,39.37,40.69,39.33,40.61,6350100
2010-03-23,40.59,41.12,40.3,40.91,4431200
2010-03-24,40.79,41.63,40.66,41.26,5131100
2010-03-25,41.56,42.79,41.56,42.05,6346700
2010-03-26,42.29,42.83,41.63,41.92,4469800
2010-03-29,42.34,42.75,41.79,42.65,4870100
2010-03-30,42.65,43,41.88,41.92,4641700
2010-03-31,41.54,41.83,41.14,41.41,5263600
2010-04-01,41.78,41.86,41.19,41.57,3969600
2010-04-05,41.86,43.21,41.62,43.15,5690200
2010-04-06,42.93,43.38,42.7,43.26,5765000
2010-04-07,43.02,43.68,42.74,43.15,6164700
2010-04-08,42.77,44.15,42.77,43.99,5279600
2010-04-09,44.09,44.42,43.44,43.86,3445300
2010-04-12,43.91,45.35,43.91,45.18,7029300
2010-04-13,45.14,45.2,44.51,44.95,4524600
2010-04-14,45.61,46.4,44.27,46.06,9193800
2010-04-15,46.26,46.31,45.03,45.15,8515100
2010-04-16,45.07,45.47,42.82,43.49,11226500
2010-04-19,43.1,43.82,42.7,43.81,5967800
2010-04-20,44.14,44.6,43.71,44.58,4244500
2010-04-21,44.58,45.06,44.1,44.74,5103100
2010-04-22,44.11,45.85,44.02,45.55,6261000
2010-04-23,47.73,47.73,45.2,46.73,10853300
2010-04-26,46.57,46.84,45.14,45.24,7297000
2010-04-27,44.93,45.52,43.11,43.29,9433300
2010-04-28,43.81,44.5,43.5,43.87,5385000
2010-04-29,44.37,45.32,44.19,44.87,5672400
2010-04-30,44.71,45.11,43.3,43.41,5548900
2010-05-03,43.73,46.36,43.73,46.13,7934900
2010-05-04,45.37,46,44.4,44.89,7506300
2010-05-05,44.14,45.6,43.67,44.24,7756600
2010-05-06,43.93,45.6,40.5,43.12,12246700
2010-05-07,43.05,43.74,40.97,42.14,11128800
2010-05-10,44.11,45.38,43.45,44.2,7256800
2010-05-11,43.41,45.78,43.28,44.78,8386400
2010-05-12,45.35,46.78,44.58,46.61,7920700
2010-05-13,46,46.12,44.9,44.91,6457100
2010-05-14,43.18,43.46,42.11,42.76,12583000
2010-05-17,43.31,43.79,40.86,42.61,11841200
2010-05-18,43.21,43.21,40.63,41.57,12251600
2010-05-19,41.29,43.22,41.18,42.38,12229400
2010-05-20,41.63,43.74,41.29,41.33,15338500
2010-05-21,40.44,42.04,40.26,41.81,12224200
2010-05-24,41.95,42.44,40.86,40.92,5806800
2010-05-25,39.88,40.77,39.08,40.65,8865700
2010-05-26,41.3,41.77,40.01,40.31,6128100
2010-05-27,41.29,42.28,41.07,42.21,4279700
