Date,Open,High,Low,Close,Volume
2015-01-02,16.38,16.449,16.087,16.312,450000
2015-01-05,16.175,16.344,15.872,16.298,765000
2015-01-06,16.3,16.304,15.508,15.797,492000
2015-01-07,15.946,15.946,15.531,15.8,462000
2015-01-08,15.889,16.42,15.74,16.241,365000
2015-01-09,16.284,16.388,15.809,15.962,536000
2015-01-12,16.002,16.102,15.727,15.868,376000
2015-01-13,16.038,16.248,15.465,15.806,665000
2015-01-14,15.686,16.006,15.512,15.87,462000
2015-01-15,15.961,15.961,15.302,15.366,358000
2015-01-16,15.294,15.821,15.001,15.789,393000
2015-01-20,15.835,16.039,15.541,15.998,660000
2015-01-21,16.012,16.19,15.537,15.89,688000
2015-01-22,15.936,16.5,15.609,16.358,705000
2015-01-23,16.426,16.719,16.376,16.521,1615000
2015-01-26,16.465,16.841,16.032,16.83,847000
2015-01-27,15.25,16.461,15.25,16.145,2329000
2015-01-28,16.295,16.375,15.637,15.903,1234000
2015-01-29,16.053,16.295,15.572,16.188,915000
2015-01-30,16.075,16.696,15.772,16.16,1259000
2015-02-02,16.342,16.536,15.979,16.501,1275000
2015-02-03,16.599,17.091,16.567,16.75,974000
2015-02-04,16.647,17,16.502,16.896,1267000
2015-02-05,16.949,17.568,16.676,17.422,1556000
2015-02-06,17.485,17.736,17.267,17.516,1677000
2015-02-09,17.498,17.713,17.254,17.533,830000
2015-02-10,17.69,18.15,17.43,17.783,1565000
2015-02-11,17.703,17.85,17.416,17.806,1044000
2015-02-12,17.892,18,17.804,17.875,788000
2015-02-13,17.94,18.224,17.88,18.124,525000
2015-02-17,18.203,18.262,17.848,17.966,269000
2015-02-18,17.68,18.008,17.68,17.966,653000
2015-02-19,17.888,18.095,17.847,17.962,400000
2015-02-20,18.008,18.063,17.734,17.955,308000
2015-02-23,17.843,17.978,17.477,17.739,963000
2015-02-24,17.69,17.959,17.55,17.733,442000
2015-02-25,17.779,18.073,17.741,17.93,369000
2015-02-26,17.958,18.173,17.808,17.951,340000
2015-02-27,18.001,18.05,17.718,17.834,460000
2015-03-02,17.86,18.044,17.621,17.959,840000
2015-03-03,17.912,18.218,17.638,17.919,1240000
2015-03-04,17.796,17.952,17.459,17.468,767000
2015-03-05,17.476,17.549,16.948,17.03,1284000
2015-03-06,16.8,16.999,15.975,16.172,2809000
2015-03-09,16.2,16.551,16.118,16.486,687000
2015-03-10,16.26,16.284,16,16.104,700000
2015-03-11,16.195,16.299,15.91,16.021,963000
2015-03-12,16.054,16.303,16.054,16.303,961000
2015-03-13,16.327,16.502,16.123,16.426,1391000
2015-03-16,16.486,17.087,16.325,16.841,1305000
2015-03-17,16.826,17.199,16.803,16.996,1598000
2015-03-18,17.053,17.4,16.832,17.324,1144000
2015-03-19,17.3,17.505,17.097,17.378,1119000
2015-03-20,17.516,17.648,17.351,17.476,1466000
2015-03-23,17.487,17.754,17.346,17.435,845000
2015-03-24,17.496,17.496,17.041,17.25,455000
2015-03-25,17.304,17.304,16.561,16.696,1242000
2015-03-26,16.618,17.101,16.272,16.954,533000
2015-03-27,16.954,17.045,16.8,17.013,407000
2015-03-30,17.168,17.168,16.975,17.091,557000
2015-03-31,16.93,17.133,16.786,16.919,962000
2015-04-01,16.872,16.999,16.591,16.916,1033000
2015-04-02,16.938,17.057,16.658,16.952,702000
2015-04-06,16.891,17.173,16.883,17.002,683000
2015-04-07,17.065,17.362,16.96,17.028,449000
2015-04-08,17.02,17.296,16.971,17.207,565000
2015-04-09,17.138,17.442,16.94,17.399,783000
2015-04-10,17.451,17.69,17.376,17.599,366000
2015-04-13,17.557,17.703,17.111,17.196,724000
2015-04-14,17.2,17.301,16.919,17.112,489000
2015-04-15,17.305,17.525,17.137,17.339,527000
2015-04-16,17.325,17.383,17.11,17.335,376000
2015-04-17,17.147,17.197,16.633,17.065,766000
2015-04-20,17.203,17.372,17,17.122,893000
2015-04-21,17.287,17.656,17.068,17.539,1180000
2015-04-22,17.529,17.713,17.302,17.632,493000
2015-04-23,17.572,17.808,17.25,17.663,783000
2015-04-24,17.721,17.721,17.475,17.509,209000
2015-04-27,17.637,17.705,17.281,17.356,497000
2015-04-28,17.32,17.433,16.901,16.97,1184000
2015-04-29,18,19.789,17.423,18.707,5102000
2015-04-30,18.674,19.443,18.035,18.212,1607000
2015-05-01,18.175,19.194,18.029,18.268,985000
2015-05-04,18.282,18.654,17.892,18.13,716000
2015-05-05,18.081,18.146,17.612,17.9,698000
2015-05-06,18.025,18.037,17.507,17.935,584000
2015-05-07,17.939,17.992,17.581,17.754,1077000
2015-05-08,17.884,18.194,17.581,18.084,1037000
2015-05-11,18.027,18.417,18.027,18.106,839000
2015-05-12,18.082,18.082,17.68,17.758,771000
2015-05-13,17.864,17.922,17.504,17.743,626000
2015-05-14,17.992,18.198,17.699,17.982,443000
2015-05-15,18,18.073,17.711,17.88,731000
2015-05-18,18.028,18.028,17.657,17.91,1037000
2015-05-19,17.888,17.893,17.6,17.869,1402000
2015-05-20,17.95,18.047,17.611,17.645,1429000
2015-05-21,17.503,17.725,17.5,17.538,702000
2015-05-22,17.529,17.674,17.271,17.53,813000
2015-05-26,17.316,17.39,17.02,17.279,770000
2015-05-27,17.386,17.649,17.3,17.531,557000
2015-05-28,17.546,17.697,17.45,17.668,886000
2015-05-29,17.705,17.904,17.405,17.598,1075000
2015-06-01,17.761,17.961,17.437,17.614,910000
2015-06-02,17.599,17.864,17.565,17.588,667000
2015-06-03,17.685,18.117,17.604,17.78,965000
2015-06-04,17.665,17.805,17.445,17.489,298000
2015-06-05,17.452,18.064,17.452,18.043,971000
2015-06-08,17.959,18.137,17.641,17.687,876000
2015-06-09,17.738,17.738,17.475,17.678,638000
2015-06-10,17.784,18.236,17.771,18.176,1104000
2015-06-11,18.154,18.282,17.916,18.064,898000
2015-06-12,17.975,18.098,17.694,17.875,931000
2015-06-15,17.735,17.735,17.293,17.409,909000
2015-06-16,17.358,17.697,17.358,17.62,479000
2015-06-17,17.646,17.759,17.461,17.68,602000
2015-06-18,17.681,17.895,17.453,17.864,572000
2015-06-19,17.851,17.905,17.648,17.769,896000
2015-06-22,17.77,17.984,17.729,17.862,293000
2015-06-23,17.795,17.923,17.643,17.862,298000
2015-06-24,17.796,17.796,17.389,17.423,426000
2015-06-25,17.46,17.48,17,17.389,484000
2015-06-26,17.437,17.437,17,17.386,933000
2015-06-29,17.211,17.211,16.718,16.788,777000
2015-06-30,16.902,17.09,16.823,17.008,689000
2015-07-01,17.121,17.358,16.906,17.006,798000
2015-07-02,16.956,17.309,16.901,17.257,664000
2015-07-06,17.087,17.308,17.001,17.247,922000
2015-07-07,17.196,17.4,16.863,17.36,1172000
2015-07-08,17.202,17.424,17.101,17.222,855000
2015-07-09,17.414,17.7,17.226,17.444,966000
2015-07-10,17.654,17.677,17.455,17.57,489000
2015-07-13,17.64,17.792,17.597,17.71,1005000
2015-07-14,17.68,18.175,17.603,18.07,829000
