Date,Open,High,Low,Close,Volume
2023-01-03,89.21,89.29,86.555,87.25,1990000
2023-01-04,87.25,87.81,86.24,87.48,1946300
2023-01-05,94.87,96.87,93.52,96.03,5677700
2023-01-06,97.84,100.22,96.92,99.61,3048900
2023-01-09,98.9,100.16,98.34,98.66,1710000
2023-01-10,99.04,99.66,97.67,98.05,1304800
2023-01-11,98.39,98.91,96.09,97.24,1591000
2023-01-12,97.54,98.12,96.5,97.06,1116200
2023-01-13,97.35,98.35,96.51,98.16,995200
2023-01-17,99.2,100.77,99.01,99.99,1708500
2023-01-18,99.68,99.72,96.47,97.09,1565000
2023-01-19,96.85,97.16,95.59,95.64,1080800
2023-01-20,96.29,96.75,95.17,96.56,1934700
2023-01-23,97.17,97.335,95.97,96.13,2006900
2023-01-24,96.61,98.13,95.66,96.98,937700
2023-01-25,96.55,97.79,96.45,97.76,957800
2023-01-26,98.14,98.81,97.015,98.75,1261000
2023-01-27,98.97,99.008,97.39,98.31,939300
2023-01-30,98.49,98.95,98.07,98.55,781600
2023-01-31,99.01,100.08,98.665,99.89,1696400
2023-02-01,99.51,100.225,99.06,99.6,1392600
2023-02-02,98.34,98.39,96.45,97.08,1533300
2023-02-03,97.19,98.748,96.48,98.12,1292200
2023-02-06,98.12,99.9,98.07,99.14,997000
2023-02-07,98.54,99.18,97.82,99.06,1107400
2023-02-08,98.86,99.35,98.54,98.99,935900
2023-02-09,99.25,100.1,98,98.12,1230300
2023-02-10,98,99.3,97.75,99.27,1089300
2023-02-13,99.68,99.98,99.02,99.59,813500
2023-02-14,99.65,99.931,98.58,99.27,936000
2023-02-15,99.11,100.28,98.52,100.11,1760400
2023-02-16,99.33,100.49,98.38,100.01,1477100
2023-02-17,100.16,100.97,100.03,100.48,1300100
2023-02-21,100.58,100.855,99.605,100.33,984900
2023-02-22,100.69,102.22,100.69,101.3,1854600
2023-02-23,101.63,102.48,100.05,100.33,984300
2023-02-24,99.9,100.345,99.01,99.98,713900
2023-02-27,100.28,101.05,99.965,101.03,1138900
2023-02-28,101,101.37,100.5,100.64,1264500
2023-03-01,100.4,101.06,99.92,100.89,1270500
2023-03-02,101.18,102.77,100.61,102.3,913100
2023-03-03,102.09,102.38,101.565,101.98,872500
2023-03-06,101.79,102.27,100.72,101.99,1365500
2023-03-07,102.18,102.49,100.93,100.97,1539300
2023-03-08,101.21,101.355,99.22,99.93,1441700
2023-03-09,100.4,100.4,98.93,99.2,1505000
2023-03-10,99.12,99.615,97.17,97.63,1514400
2023-03-13,97,98.34,96.05,96.31,1295800
2023-03-14,97.24,98.72,96.89,98.62,1369700
2023-03-15,97.57,98.01,96.45,97.99,1515300
2023-03-16,97.6,98.62,96.93,98.29,1079400
