Date,Open,High,Low,Close,Volume
2026-01-02,241.75,245.34,240,244.81,961300
2026-01-05,243.27,247.29,242.54,245.36,773900
2026-01-06,244.72,250.15,243.5,249.19,848700
2026-01-07,248,250.13,245.52,248.21,735300
2026-01-08,247.04,252,246.85,250.92,696900
2026-01-09,252.92,253.81,250.18,252.47,598200
2026-01-12,251.38,257.99,250.32,257.84,1111500
2026-01-13,260.42,262.87,251.71,254.67,1071300
2026-01-14,253.65,260.16,252.49,259.51,970300
2026-01-15,259.25,261.36,256.56,260.7,940000
2026-01-16,260.14,261.04,256.99,257.58,955400
2026-01-20,257.12,258.39,252.77,253.19,1061300
2026-01-21,254.86,260.84,252.84,259.28,853300
2026-01-22,262,264.09,254.65,255.35,892800
2026-01-23,254.78,255.63,250.19,252.38,722100
2026-01-26,252.22,256.22,252.22,255.47,819100
2026-01-27,255.89,257.93,254.86,255.5,1093100
2026-01-28,255.92,258.46,254.44,257.72,1404900
2026-01-29,257.02,261,254.55,257.61,1676600
2026-01-30,251.03,258.64,245.21,258.31,2258200
2026-02-02,257.18,258.45,250.85,254.74,1436100
2026-02-03,253.36,257.43,250.54,251.41,1285500
2026-02-04,251.31,264.88,251.31,263.03,1727800
2026-02-05,262.38,268.33,262.06,267.05,1665400
2026-02-06,267.05,272.33,267.03,271.63,1502500
2026-02-09,272,276.43,269.62,275.96,1479200
2026-02-10,276.01,277.67,262.99,263.54,1812000
2026-02-11,260.52,261.84,253.42,259.62,1178900
2026-02-12,255.66,257.39,245.65,245.73,1567100
2026-02-13,247.16,254.21,246.21,252.55,971000
2026-02-17,251.05,257.79,248.99,255.82,1344100
2026-02-18,255.84,262.17,255.09,258.91,1226500
2026-02-19,257.66,260.17,255.76,256.29,820700
2026-02-20,255.66,259.2,254.28,259.12,727800
2026-02-23,257.61,261.91,257.03,260.79,869900
2026-02-24,259.08,260,250.36,251.63,1034300
2026-02-25,251.51,252.81,250.19,252.53,667900
2026-02-26,254.18,258.24,253.58,257.06,928000
2026-02-27,255.89,257.5,252.74,256.26,1069100
2026-03-02,254.3,258.4,250.57,257.39,951600
2026-03-03,255.92,260,254.05,258.28,1229100
2026-03-04,260,260.22,254.35,259.05,664300
2026-03-05,256.05,258.2,250.97,255.32,864600
2026-03-06,253.15,253.26,248.13,252.87,920800
2026-03-09,250.08,253.13,246.17,252.93,1049200
2026-03-10,251.92,252.53,246.63,247.11,932000
2026-03-11,245.42,245.88,237.52,240.15,1202600
2026-03-12,237.87,238.8,231.4,232.41,1333800
2026-03-13,234.89,235.8,230.21,230.84,1340800
2026-03-16,230.86,234.89,229.56,230.61,1179400
2026-03-17,233.65,235.17,232,233.5,928000
2026-03-18,231.57,232.2,227.87,227.88,928700
2026-03-19,228.1,230.15,226.43,227.41,803600
2026-03-20,225.46,227.45,224.78,225.99,1162400
2026-03-23,229.5,231.77,227.57,227.97,904800
2026-03-24,226.83,231.45,224.92,228.19,1000700
2026-03-25,230.93,232.6,219.4,226.31,1859700
2026-03-26,225.09,228.53,221.22,222.5,1036400
2026-03-27,222.51,222.51,219.57,220.47,985000
2026-03-30,222,222,218.39,220.03,1074600
2026-03-31,222.58,225.05,219.4,224.48,939400
2026-04-01,224.62,225.8,221,222.85,1051900
2026-04-02,220.99,226.3,219.01,224.09,642900
2026-04-06,224.28,226.63,223.59,224.93,598900
2026-04-07,224.25,228.23,222.35,226.05,1029900
2026-04-08,231.3,234.91,229.82,230.7,1116300
2026-04-09,227.99,229.56,225.16,227.98,1141000
2026-04-10,229.38,230.03,227.08,228.87,844000
2026-04-13,228.15,230.34,226.92,230.26,711300
2026-04-14,228.94,232.32,228.39,230.69,646300
2026-04-15,231.34,231.99,226.46,228.8,1280300
2026-04-16,227.68,230.08,223.79,224.72,1093500
2026-04-17,226.09,230.03,225.47,228.12,1173200
2026-04-20,227.66,229.3,224.3,226.14,1072500
2026-04-21,225.51,227.31,220,221.22,1127700
2026-04-22,222,225.18,220.21,222.04,834000
2026-04-23,221.38,221.47,216.68,219.51,987000
2026-04-24,218.17,220.23,217,219.85,797400
2026-04-27,219.13,223.92,218.86,222.02,1312600
2026-04-28,221.84,222.4,215.3,217.14,1547100
2026-04-29,215.68,216.59,211.93,211.93,1301500
2026-04-30,212.47,215.14,210.6,213.81,1906900
2026-05-01,206,206.84,198.64,205.02,3154100
2026-05-04,205,209.62,204.42,209.43,2483700
2026-05-05,211,211,205.94,207.88,1850000
2026-05-06,207.12,213.53,207.12,209.64,1455600
2026-05-07,209.26,211.23,206.37,206.89,1315600
2026-05-08,206.79,207.98,203.92,206.76,993600
2026-05-11,205.16,206.68,198.61,198.76,1805500
2026-05-12,200,205.15,200,203.79,1368900
2026-05-13,202.02,203.24,200.77,202.37,989300
2026-05-14,203.06,204.8,202.09,202.46,931200
2026-05-15,204.01,206,201.47,201.88,1405700
2026-05-18,200.54,205.49,200.25,204.15,1033700
2026-05-19,203,208.92,202.4,207.78,1410800
2026-05-20,208.99,211.74,207.28,209.86,1786900
2026-05-21,207.74,210.23,205.65,208.98,1115700
2026-05-22,208.98,211.06,207.25,208.05,1095700
2026-05-26,207.63,210,206.22,207.98,1695200
2026-05-27,209.07,211.56,206.07,206.1,1305700
2026-05-28,205.59,206.98,203.05,203.42,1595600
2026-05-29,203.75,205.09,190.38,190.57,3527900
2026-06-01,188.36,190.13,184.59,186.44,2439000
2026-06-02,182.78,184.84,180.27,182.82,1734400
2026-06-03,185,190.8,184.07,186.46,1683900
2026-06-04,191.44,194.46,189.39,194.32,1573600
2026-06-05,196.28,199.99,194.73,196.04,1536500
2026-06-08,194,195.03,192.19,193.14,1033900
2026-06-09,194.44,197.34,193.75,196.94,1024100
2026-06-10,196.79,197.15,193.53,193.57,1039200
2026-06-11,193.77,197.25,191.72,192.39,1070900
2026-06-12,194.97,197.1,192.52,194.78,1085600
2026-06-15,195.77,197.41,191.65,192.74,1523700
2026-06-16,192.67,195.2,191.85,193.94,1092000
2026-06-17,190,192,184.65,186.29,1873200
2026-06-18,188.92,190.36,187.01,188.63,3884900
2026-06-22,188.52,190.73,187.25,188.45,1204000
2026-06-23,191.53,193.85,190.16,191.26,1235500
2026-06-24,193.43,197.6,192.36,196.5,1665000
2026-06-25,199.24,202.68,198.24,198.6,1825000
2026-06-26,199.54,201.89,198.21,200.29,2102300
2026-06-29,201,202.08,197.65,198.43,1396000
2026-06-30,197.48,198.68,192.81,194.88,1503600
2026-07-01,196.99,203.22,196.99,201.1,1112000
2026-07-02,204,209.68,203.15,209.63,1144200
2026-07-06,211.88,222.43,211.88,218.4,3722000
2026-07-07,219.34,219.98,216.52,219.75,1726400
2026-07-08,212.53,214.5,205.21,205.84,1761800
2026-07-09,206.39,209.33,205,208.45,1479000
2026-07-10,208.61,209.36,203.4,203.87,1331100
2026-07-13,193.72,200.55,190.25,198.5,2161100
2026-07-14,193.31,195.05,190.76,193.01,1622300
2026-07-15,194.61,199.56,194.06,198.57,1208800
2026-07-16,196.49,203.88,195.09,202.76,1019500
2026-07-17,201.19,203.04,198.22,198.99,1284200
2026-07-20,196.94,198.73,194.52,198.61,1037300
2026-07-21,194.6,198.23,194,195.8,1112700
