Date,Open,High,Low,Close,Volume
2001-01-02,78.25,79.1875,69,72.125,5798600
2001-01-03,72.1875,83.6875,71,83.6875,11127500
2001-01-04,85,89.1875,84.625,88.6875,12219500
2001-01-05,88.6875,88.6875,83.25,84.625,7910900
2001-01-08,84,84.4375,80.4375,83.375,4762100
2001-01-09,83.375,84,81.6875,82.5,5112500
2001-01-10,80.875,86.3125,80.875,86,5848000
2001-01-11,86.0625,89.125,85.5,87.5,6664200
2001-01-12,85.625,87.9375,84.8125,85.125,4324000
2001-01-16,84,87,82.9375,83.9375,4934300
2001-01-17,83.9375,85.4375,79.875,80.875,7966000
2001-01-18,80.875,80.875,78.375,80.125,6544400
2001-01-19,80.25,84.6875,80.25,84.375,5753500
2001-01-22,84.375,85.75,83.125,83.875,4218900
2001-01-23,85.125,87.375,84.5625,86.8125,4310000
2001-01-24,86.8125,89.0625,82.875,84.25,12325400
2001-01-25,84.25,84.6875,81.5,82.875,5562200
2001-01-26,82.875,83.75,80.375,82.5,4871300
2001-01-29,83.19,84.99,82.91,83.98,4198100
2001-01-30,84.6,86,82.55,85,5416000
2001-01-31,85.3,88,84,84.8,6682400
2001-02-01,85.05,89.8,84.63,89.8,7401400
2001-02-02,89.7,90.49,85.9,86.26,5984500
2001-02-05,86.79,87.12,85.5,86.5,3251300
2001-02-06,86.9,87,84.01,84.95,3836300
2001-02-07,84.75,85.5,78,80.2,6542800
2001-02-08,81.25,81.55,77.21,78,5334000
2001-02-09,78,80,75.88,79.35,5245700
2001-02-12,79.3,80.05,77.27,80,4940900
2001-02-13,80.1,81.65,77.66,79.21,4942900
2001-02-14,79.2,79.21,76.2,76.94,5876900
2001-02-15,76.7,79.48,75.55,76.32,6347200
2001-02-16,75,75.58,73.99,74.75,6522800
2001-02-20,75.25,75.25,68.38,68.86,7290800
2001-02-21,68.3,70.74,65.5,66.04,7419400
2001-02-22,66.7,69.49,63.5,68.93,7833300
2001-02-23,68.45,68.45,63.5,67,9139200
2001-02-26,67.25,69.97,64.25,69.2,6874900
2001-02-27,70,71.34,67.85,69.66,6971900
2001-02-28,68.65,68.65,64.4,65.13,7348400
2001-03-01,62.5,63.75,60,63.6,10818200
