Date,Open,High,Low,Close,Volume
2017-01-03,103.43,104.03,102.81,103.48,2277400
2017-01-04,103.74,104.37,103.5,104.14,1712600
2017-01-05,104.13,106.02,103.77,105.91,2504000
2017-01-06,105.98,108.43,105.25,108.3,2625600
2017-01-09,107.96,108.79,107.56,108.57,2925000
2017-01-10,108.57,108.79,107.61,108.26,3081000
2017-01-11,108.23,109.05,108,108.99,1784000
2017-01-12,107.99,108.74,107.16,108.59,1617900
2017-01-13,108.84,108.9,107.98,108.53,1593500
2017-01-17,107.79,108.05,107.06,108,1697800
2017-01-18,108.5,109.17,107.53,108.79,2536900
2017-01-19,108.63,109.98,108.04,109.79,3090500
2017-01-20,110.02,110.81,109.57,110.71,3179200
2017-01-23,110.71,111.92,110.3,110.97,2574200
2017-01-24,111.46,114.17,111.34,113.72,3654400
2017-01-25,113.77,114.57,113.29,114.25,3919300
2017-01-26,113.79,114.44,112.73,112.88,2745200
2017-01-27,113.07,114.01,112.75,113.99,1696800
2017-01-30,113.22,113.87,112.26,113.82,2176500
2017-01-31,113.22,113.75,112.7,113.38,1716600
2017-02-01,113.31,113.64,112.68,113.36,1859100
2017-02-02,112.82,113.58,112.27,113.16,1695400
2017-02-03,113.55,115.45,113.42,115.17,2507500
2017-02-06,114.68,114.83,113.29,114.46,3067500
2017-02-07,114.83,115.19,114.54,114.96,1643500
2017-02-08,115,116.38,114.45,116.13,2591700
2017-02-09,116.26,116.9,116.02,116.44,1688900
2017-02-10,116.51,116.94,115.03,116.85,2612900
2017-02-13,117.03,117.94,116.2,117.65,1910400
2017-02-14,117.65,117.79,116.67,117.58,1556500
2017-02-15,117.33,119.09,117.07,118.73,1699600
2017-02-16,118.84,119.47,118.47,118.93,1649300
2017-02-17,118.79,119.72,118.24,119.67,2143300
2017-02-21,119.73,120.17,119.31,119.63,2032300
2017-02-22,119.67,119.89,118.85,119.47,1981800
2017-02-23,120.1,120.15,118.03,118.83,2381700
2017-02-24,118.3,119.32,117.83,119.31,1942500
2017-02-27,119.02,119.2,118.07,118.78,1550400
2017-02-28,118.83,118.84,118.02,118.34,2008000
2017-03-01,119.24,120.57,118.38,120.35,2356500
2017-03-02,120.09,120.12,119.28,119.9,1819700
2017-03-03,119.83,120.13,119.48,120.04,1361100
2017-03-06,119.73,120.48,119.37,120.15,1979700
2017-03-07,120.06,120.69,119.69,119.98,1872500
2017-03-08,120.21,120.66,119.35,119.6,2962800
2017-03-09,119.82,120.26,119.11,119.91,1984200
2017-03-10,120.57,121.37,120.24,121.09,2211000
2017-03-13,121.11,121.96,120.89,121.8,1805200
2017-03-14,121.65,121.99,120.62,121.44,1507500
2017-03-15,122,122.42,120.9,122.11,2396300
2017-03-16,123.25,123.6,121.53,122.35,4044600
2017-03-17,128.45,130.3,126.94,127.01,8749900
2017-03-20,126.99,128.09,125.79,126.31,3320900
2017-03-21,126.64,127.36,124.96,125.07,3105300
2017-03-22,124.6,126.94,124.51,126.21,3477300
2017-03-23,126.2,127.25,126.01,126.87,2197200
2017-03-24,127.86,129,127.05,127.7,3044000
2017-03-27,127.48,128.84,126.36,128.25,2424200
2017-03-28,127.81,129.28,127.81,128.69,2213000
2017-03-29,128.4,129.63,128.2,129.58,2272500
2017-03-30,129.55,130.28,129.3,129.61,2204800
2017-03-31,129.57,130.69,129.4,130.13,2086400
2017-04-03,129.59,130.75,128.88,129.59,2336800
2017-04-04,129.47,130.37,129.02,130.04,2026500
2017-04-05,130.58,131.33,129.38,129.89,2811600
2017-04-06,129.86,130.22,129.16,130.15,1890800
2017-04-07,130.15,130.67,129.52,130.22,2287600
2017-04-10,130.32,130.38,129.47,130.16,2234900
2017-04-11,129.91,130.17,128.21,129.95,2331600
2017-04-12,129.96,129.96,128.72,129.38,2106100
2017-04-13,129.63,130.42,129.05,129.05,1815100
2017-04-17,129.69,130.36,129.11,129.99,1395300
2017-04-18,129.74,130.23,129.48,129.81,1499900
2017-04-19,129.9,130.98,129.82,130.22,2007600
2017-04-20,130.7,131.99,130.28,131.42,2004000
2017-04-21,131.84,131.97,131.03,131.52,2137100
2017-04-24,132.94,133.18,132.17,132.89,1845300
2017-04-25,133.44,133.72,132.88,133.49,2504100
2017-04-26,133.5,133.8,132.42,132.79,1635900
2017-04-27,133.13,134.25,132.76,133.38,1658000
2017-04-28,133.4,133.92,132.67,133.74,1749200
2017-05-01,134.3,135.34,133.71,135.11,1812000
2017-05-02,135.54,135.7,134.75,135,2692200
2017-05-03,134.99,135.21,134.38,134.85,1974200
2017-05-04,135.13,135.35,134.41,134.61,1810500
2017-05-05,135.19,135.19,134.19,134.84,1845500
2017-05-08,135.36,135.39,134.22,135.12,1583100
2017-05-09,135.33,135.62,134.9,135.6,1692700
2017-05-10,135.86,136.75,135.51,136.15,1755400
2017-05-11,135.98,136.31,135.4,136.29,1343900
2017-05-12,136.45,137.38,135.89,136.84,1626600
2017-05-15,137.13,137.71,136.83,137.6,3210200
2017-05-16,138.06,138.39,137.6,138.03,2271800
2017-05-17,137.2,137.32,134.24,134.33,3558500
2017-05-18,132.77,134.85,130.82,134.54,4158700
2017-05-19,135.18,136.61,134.34,136.43,3721700
2017-05-22,137.38,139.19,136.58,138.86,2516000
2017-05-23,139.16,139.95,138.7,139.52,2123600
2017-05-24,140.18,141.25,139.81,141.12,1695100
2017-05-25,142.16,143.48,141.8,142.85,1731100
2017-05-26,142.93,143.1,141.67,141.89,1604200
2017-05-30,141.8,142.56,141.5,142.41,1540800
2017-05-31,143.04,143.19,141.41,141.86,2944400
2017-06-01,141.64,142.49,140.93,141.38,2407700
2017-06-02,142.12,143.57,141.86,143.48,2885700
2017-06-05,144.14,144.34,143.51,143.59,1847600
2017-06-06,143.35,144.17,142.73,143.03,2162700
2017-06-07,143.33,143.77,142.45,143.62,1633800
2017-06-08,143.96,143.97,141.74,142.63,2811500
2017-06-09,143.14,143.59,135.76,138.05,4146200
2017-06-12,133.72,138.64,131.2,137.25,6772300
2017-06-13,138.79,139.86,138.09,139.09,2871400
2017-06-14,139.29,140.85,136.41,138.25,2831100
2017-06-15,136.63,137.9,134.45,137.52,2804400
2017-06-16,137.35,138.35,136.29,137.84,4205800
2017-06-19,138.79,141.47,138.64,140.35,4356900
2017-06-20,141.21,142.3,140.19,140.91,5454700
2017-06-21,145.08,147.45,142.75,144.24,8251900
2017-06-22,145.15,145.77,143.66,143.69,3688400
2017-06-23,143.75,145.59,143.06,145.41,3419000
2017-06-26,146.06,146.89,144.36,144.96,2775500
2017-06-27,144.33,144.81,142.54,142.54,3018900
2017-06-28,143.01,144.08,141.15,143.81,2507900
2017-06-29,143.06,143.2,139.65,141.24,2653900
2017-06-30,141.87,142.81,140.74,141.44,2331000
2017-07-03,141.73,142.15,138.31,138.41,1786000
