Date,Open,High,Low,Close,Volume
2009-01-02,7.88,8,7.45,7.98,4066300
2009-01-05,7.93,8,7.48,7.79,5473800
2009-01-06,7.87,8,7.6,7.7,6697200
2009-01-07,7.55,7.6,7.13,7.15,5080900
2009-01-08,7.01,7.24,6.75,7.02,6821800
2009-01-09,7.12,7.12,6.59,6.64,7206300
2009-01-12,6.57,6.62,5.9,6.01,11696100
2009-01-13,6.03,6.13,5.61,5.91,14798700
2009-01-14,5.6,5.6,4.56,4.95,22783700
2009-01-15,4.87,5.04,4.02,4.29,19836300
2009-01-16,4.5,4.7,4.16,4.56,15245400
2009-01-20,4.53,4.95,3.79,3.81,12889200
2009-01-21,4.14,4.65,4.03,4.61,13427000
2009-01-22,3.61,3.75,2.88,3.2,25916800
2009-01-23,3.1,3.36,2.96,3.27,19727800
2009-01-26,3.32,3.6,3.11,3.11,15526800
2009-01-27,3.2,3.33,3.08,3.13,8036200
2009-01-28,3.5,4.09,3.35,3.69,26909400
2009-01-29,3.65,3.69,3.35,3.43,9448500
2009-01-30,3.48,3.52,2.84,2.88,10951900
2009-02-02,2.85,2.85,1.93,2.02,27837000
2009-02-03,2.12,2.29,1.76,1.81,21271800
2009-02-04,1.92,2.01,1.37,1.44,23676400
2009-02-05,1.5,1.99,1.28,1.79,32742000
2009-02-06,1.96,2.54,1.85,2.36,27202100
2009-02-09,2.83,3.05,2.55,2.61,25655600
2009-02-10,2.66,2.68,1.75,1.96,39848900
2009-02-11,2.04,2.25,1.75,1.88,22947400
2009-02-12,1.81,1.86,1.67,1.81,13660900
2009-02-13,1.77,1.86,1.67,1.69,10649700
2009-02-17,1.51,1.52,1.3,1.31,21728800
2009-02-18,1.45,1.46,1.24,1.31,17824100
2009-02-19,1.3,1.36,1.03,1.03,20466800
2009-02-20,1.01,1.45,1,1.36,32323200
2009-02-23,1.63,1.63,1.13,1.16,16080200
2009-02-24,1.2,1.45,1.13,1.41,21991500
2009-02-25,1.38,1.73,1.21,1.66,24643300
2009-02-26,1.82,2.08,1.66,1.98,35572100
2009-02-27,1.52,1.83,1.45,1.46,21312000
2009-03-02,1.35,1.44,1.26,1.28,10958400
2009-03-03,1.44,1.47,1.19,1.2,12097300
2009-03-04,1.37,1.39,1.15,1.18,18725500
2009-03-05,1.14,1.17,1.05,1.06,10203300
2009-03-06,1.12,1.18,1.02,1.02,10325500
2009-03-09,1.04,1.14,1.02,1.08,8974300
2009-03-10,1.23,1.37,1.17,1.34,17314400
2009-03-11,1.47,1.49,1.2,1.25,16943000
2009-03-12,1.25,1.68,1.15,1.68,22994800
2009-03-13,1.76,1.78,1.47,1.56,16612000
2009-03-16,1.65,1.85,1.56,1.76,21871800
2009-03-17,1.76,1.76,1.55,1.74,9973700
2009-03-18,1.73,2.04,1.68,2.02,22823600
2009-03-19,2.22,2.25,1.75,1.8,16912600
2009-03-20,1.87,1.94,1.61,1.76,21404400
2009-03-23,2.01,2.12,1.88,2.09,15868500
2009-03-24,1.93,2,1.74,1.74,21329300
2009-03-25,1.76,1.85,1.52,1.62,21833400
2009-03-26,1.71,1.73,1.56,1.59,16816500
2009-03-27,1.54,1.71,1.52,1.68,12577100
2009-03-30,1.52,1.57,1.44,1.44,10862000
2009-03-31,1.57,1.66,1.47,1.66,13369100
2009-04-01,1.64,1.95,1.55,1.9,29635100
2009-04-02,2.18,2.25,1.88,1.96,26127500
2009-04-03,1.93,2.04,1.82,2.01,14839000
2009-04-06,1.96,2.04,1.88,1.94,9107200
2009-04-07,1.82,1.86,1.75,1.75,11875200
2009-04-08,1.8,1.84,1.65,1.71,7346900
2009-04-09,1.99,2.15,1.86,2.15,21075800
2009-04-13,2.08,3.01,2.02,2.86,45029900
2009-04-14,3.25,3.5,2.58,2.59,48717700
2009-04-15,2.68,3.1,2.37,3.06,23422800
2009-04-16,3.35,3.49,3.1,3.31,32644400
2009-04-17,3.4,4,3.22,3.89,43864600
2009-04-20,3.5,3.68,3.11,3.11,28224100
2009-04-21,2.4,3.5,2.3,3.45,38118400
2009-04-22,3.32,3.97,3.19,3.35,39821500
2009-04-23,3.6,3.74,3.27,3.47,19636800
2009-04-24,3.6,3.61,3.21,3.24,29974000
2009-04-27,3.08,3.36,2.96,2.97,24611700
2009-04-28,2.87,2.96,2.73,2.78,24553500
2009-04-29,2.9,3,2.85,2.94,23394800
2009-04-30,3.12,3.15,2.76,2.79,18894000
2009-05-01,2.83,2.88,2.63,2.69,13411600
2009-05-04,2.77,3.01,2.66,2.92,31666600
2009-05-05,2.93,3.2,2.81,3,28878500
2009-05-06,3.15,3.66,3.08,3.45,44015900
2009-05-07,4.17,4.25,3.46,3.89,64928100
2009-05-08,4.6,5.69,4.55,5.2,90459900
2009-05-11,5.58,6.18,5.26,5.71,78293900
2009-05-12,5.89,6.05,4.76,5.18,59996700
2009-05-13,4.77,4.94,4.36,4.41,36894700
2009-05-14,4.25,4.89,4.25,4.72,31957600
2009-05-15,4.76,4.99,4.52,4.63,22015600
2009-05-18,4.9,5.13,4.81,4.99,26375500
2009-05-19,4.95,5.1,4.61,4.61,24771800
2009-05-20,4.89,4.93,4.6,4.82,24575900
2009-05-21,4.35,4.45,4.12,4.3,34975100
2009-05-22,4.39,4.41,4.13,4.24,15979000
2009-05-26,4.15,4.33,4.08,4.25,20747700
2009-05-27,4.32,4.32,3.96,4.03,23830100
2009-05-28,4.06,4.11,3.8,4.03,18697400
2009-05-29,4.12,4.12,3.92,3.92,24793300
2009-06-01,4.1,4.13,3.96,4.04,21203600
2009-06-02,3.93,4.29,3.81,4.15,35760100
2009-06-03,4.13,4.34,3.88,3.96,35610500
2009-06-04,3.89,4.14,3.8,4.05,107648400
2009-06-05,4.21,4.21,3.98,4.08,34922400
2009-06-08,4,4.17,3.96,4.14,23374600
2009-06-09,4.17,4.2,4.07,4.13,19968300
2009-06-10,4.15,4.15,3.94,4.03,18882700
2009-06-11,4.12,4.41,4.07,4.13,44578300
2009-06-12,4.11,4.26,4.11,4.15,24840800
2009-06-15,4.69,4.77,4.4,4.52,85743300
2009-06-16,4.66,4.68,4.22,4.3,43247100
2009-06-17,4.31,4.34,3.93,4.1,40879500
2009-06-18,4.13,4.39,4.11,4.33,26685400
2009-06-19,4.42,4.54,4.35,4.54,41458600
2009-06-22,4.42,4.52,4.07,4.11,29527800
2009-06-23,4.25,4.27,4.11,4.16,28483500
2009-06-24,4.25,4.48,4.19,4.37,34265300
2009-06-25,4.25,4.41,4.22,4.41,16145900
2009-06-26,4.36,4.44,4.3,4.36,12915500
