Date,Open,High,Low,Close,Volume
2020-01-02,62.29,62.46,61.68,61.92,2234500
2020-01-03,61.08,61.54,60.89,61.36,2535700
2020-01-06,61.04,61.3,60.35,60.75,3017000
2020-01-07,60.67,60.69,59.98,60.32,2952900
2020-01-08,60.41,60.86,60.22,60.73,2912100
2020-01-09,61.5,61.99,60.75,61.11,4049000
2020-01-10,61.38,61.38,60.45,60.64,2538300
2020-01-13,60.49,61.27,60.21,61.16,2787200
2020-01-14,61.09,61.71,60.97,61.37,3066800
2020-01-15,61.42,62,61.42,61.85,2613400
2020-01-16,62.02,62.56,61.86,62.45,3048700
2020-01-17,62.56,62.93,62.32,62.77,4046000
2020-01-21,62.4,62.73,61.94,62.29,3823600
2020-01-22,62.6,62.92,61.83,62.19,3534500
2020-01-23,62.02,62.58,61.85,62.55,3048100
2020-01-24,62.78,63.15,61.99,62.42,2631200
2020-01-27,61.83,62.09,61.29,61.77,3309800
2020-01-28,61.96,62.88,61.57,62.6,2683100
2020-01-29,62.84,63.38,62.59,62.92,3415800
2020-01-30,62.17,62.52,61.3,62.47,2428900
2020-01-31,62.23,62.34,60.85,61.38,3340700
2020-02-03,61.85,62.91,61.57,62.61,3646700
2020-02-04,63.35,63.9,63,63.43,2793100
2020-02-05,64.59,65.17,64.23,64.97,3815400
2020-02-06,67.05,71.48,66.97,71.42,7789900
2020-02-07,70.58,70.99,68.55,69.59,7927100
2020-02-10,68.89,69.47,68.59,69.38,3077000
2020-02-11,69.46,69.46,68.76,69.2,3036000
2020-02-12,69.53,69.67,69.05,69.43,2629700
2020-02-13,69.26,69.7,68.96,69.61,2827000
2020-02-14,69.27,69.41,67.8,68.42,4148300
2020-02-18,68.34,69.22,68.04,68.83,3218200
2020-02-19,68.37,69.24,67.91,68.88,3612800
2020-02-20,68.56,69.74,68.18,69.56,3641300
2020-02-21,69.13,70.29,68.8,70.09,4787100
2020-02-24,68.92,69.88,67.39,67.42,4557300
2020-02-25,67.56,68,64.33,64.48,4976800
2020-02-26,65.11,65.89,63.26,63.28,5205300
2020-02-27,62.25,63.85,61.3,62.32,5326600
2020-02-28,60.59,61.65,59.46,60.93,7873500
2020-03-02,60.6,61.35,58.82,61.33,5676800
2020-03-03,60.92,62.88,58.87,59.61,5117800
2020-03-04,60.76,62.19,59.35,62.17,3244200
2020-03-05,60.47,61.26,59.35,59.93,3893000
2020-03-06,57.75,58.85,57.01,58.24,5364400
2020-03-09,55.06,55.97,53.46,53.96,7526000
2020-03-10,55.59,56.22,52.92,55.78,6703100
2020-03-11,54.14,55.37,52.42,53.14,6122600
2020-03-12,49.69,52.23,47.75,48.98,7701700
2020-03-13,51.61,52.7,48.69,52.62,5853600
2020-03-16,46.73,47.72,43.01,43.58,6489800
2020-03-17,44.54,50.65,43.67,50.1,6919500
2020-03-18,47.15,49.93,45.79,47.47,7214400
2020-03-19,46.63,47.77,44.23,46.49,5650600
2020-03-20,46.32,48.46,43.67,44.1,6541200
2020-03-23,44.27,44.74,40.01,41.61,8152800
2020-03-24,43.68,46.5,43.08,46.41,5853300
2020-03-25,46,49.36,45.49,47.69,4921000
2020-03-26,48,50.45,47.43,49.82,5291000
2020-03-27,47.62,48.49,46.28,46.66,5159300
2020-03-30,47.4,47.93,46.33,47.38,6230200
2020-03-31,47.02,48.46,46.16,46.47,5228500
2020-04-01,44.68,45.08,42.14,42.51,5490300
2020-04-02,42.3,45,42.2,44.29,3819700
2020-04-03,43.97,44.72,43.01,43.4,3225800
2020-04-06,45.81,48.7,45.39,48.45,5659100
2020-04-07,50,50.4,47.61,47.8,4056100
2020-04-08,48.45,51.79,47.76,51.39,5382200
2020-04-09,51.92,55.25,51.92,54.28,6208800
2020-04-13,53.51,53.72,52.05,52.7,3698900
2020-04-14,53.9,54.15,53.03,54.07,5486600
2020-04-15,52.69,52.79,51.13,51.94,3385100
2020-04-16,52.06,52.89,50.54,51.47,3551100
2020-04-17,52.7,53.91,52.59,53.81,5052600
2020-04-20,52.36,53.42,51.14,52.53,4955500
2020-04-21,51.3,52.51,50.67,50.99,4115900
2020-04-22,52.04,52.59,51.33,52.26,3591100
2020-04-23,52.41,53.72,52.41,52.65,2708900
2020-04-24,52.6,54.12,52.4,53.81,4056600
2020-04-27,54.39,56.17,54.36,56.04,4324900
2020-04-28,57.14,58.02,56.48,56.53,3728800
2020-04-29,58.13,59.7,57.78,59.23,3707200
2020-04-30,58.41,58.77,57.3,58.02,4274900
2020-05-01,56.89,57.05,56.11,56.5,2956200
2020-05-04,55.77,56.58,55.13,56.39,3566200
2020-05-05,56.8,57.46,56.36,57.14,3362600
2020-05-06,57.73,58.26,56.66,57.59,3939000
2020-05-07,58.31,59.23,58.31,58.76,3867600
2020-05-08,55,57.56,54.24,57.16,7785200
2020-05-11,56.32,56.36,54.62,55.55,3687900
2020-05-12,55.25,55.74,53.21,53.21,3603200
2020-05-13,52.64,52.67,48.98,49.48,5834000
2020-05-14,49.14,50.78,47.39,50.74,5218300
2020-05-15,49.86,50.28,48.98,50.18,4724900
2020-05-18,52.09,53.46,51.91,53.14,3686500
2020-05-19,52.51,52.9,51.32,51.48,3415300
2020-05-20,52.17,53.59,52,52.56,2866700
2020-05-21,52.44,52.79,51.71,51.74,2290600
2020-05-22,52.02,52.04,50.93,51.45,2718000
2020-05-26,53.07,53.9,52.83,53.26,3632800
2020-05-27,54.31,55.41,53.98,55.35,3709500
2020-05-28,55.61,55.89,53.59,53.7,3031100
2020-05-29,53.59,53.6,52.23,53,6450300
2020-06-01,53,53.33,52.48,52.85,3202900
2020-06-02,53.57,53.57,52.89,53.3,3079400
2020-06-03,53.72,55.44,53.52,55.35,4428800
2020-06-04,55.06,55.74,54.53,55.6,2349300
2020-06-05,56.96,59.22,56.55,57.82,4945700
2020-06-08,58.09,58.92,58.09,58.58,2706200
2020-06-09,58,58,56.64,57.19,2364900
2020-06-10,57.86,58.39,56.68,57.53,2811000
2020-06-11,56.08,56.23,53.62,53.66,3404300
2020-06-12,54.35,55.47,53.48,54.8,2474300
2020-06-15,52.59,55.1,52.5,54.67,2724000
