Date,Open,High,Low,Close,Volume
2017-01-03,27.71,27.8,27.21,27.56,3225300
2017-01-04,27.75,28.47,27.63,28.23,7423300
2017-01-05,28.09,28.38,28.08,28.35,3815300
2017-01-06,28.21,28.43,27.8,27.85,5339500
2017-01-09,27.8,28.15,27.61,27.96,4461000
2017-01-10,28.14,28.38,27.88,28.15,3319900
2017-01-11,28.1,28.72,27.97,28.61,5440200
2017-01-12,28.51,28.75,27.98,28.69,4171300
2017-01-13,28.61,28.8,28.42,28.5,2360900
2017-01-17,28.4,28.76,28.25,28.57,3699900
2017-01-18,28.56,28.68,28.37,28.5,2951700
2017-01-19,28.53,28.82,27.97,28.01,4121800
2017-01-20,28.08,28.38,28.03,28.31,4869400
2017-01-23,28.4,28.86,28.33,28.74,6132700
2017-01-24,29.86,30.83,29.51,30.64,11197400
2017-01-25,30.91,31.66,30.7,31.37,7794500
2017-01-26,31.47,31.9,31.17,31.35,7853000
2017-01-27,31.44,31.48,30.83,30.94,4262600
2017-01-30,30.86,30.86,30.23,30.71,4935900
2017-01-31,30.61,30.63,29.78,29.91,7352000
2017-02-01,30,30.11,29.5,29.68,6006600
2017-02-02,29.82,30.14,29.62,29.88,5309800
2017-02-03,30.1,30.22,29.78,29.89,3184400
2017-02-06,29.86,29.99,29.47,29.49,4324300
2017-02-07,29.63,29.69,29.29,29.42,4037000
2017-02-08,29.46,29.93,29.37,29.89,3697600
2017-02-09,29.89,30.19,29.54,30.12,3483000
2017-02-10,30.2,30.96,30.15,30.82,4099600
2017-02-13,31,31.05,30.37,30.42,3376300
2017-02-14,30.2,30.45,29.95,30.11,4911400
2017-02-15,30.11,30.92,29.99,30.76,4986700
2017-02-16,30.76,30.9,30.37,30.43,2858600
2017-02-17,30.34,30.51,30.1,30.49,2349500
2017-02-21,30.6,30.98,30.51,30.9,3336700
2017-02-22,31.39,31.45,30.81,31,4162100
2017-02-23,31.1,31.21,30.71,30.98,3756600
2017-02-24,30.86,31.4,30.61,31.39,5569600
2017-02-27,31.39,32.05,31.27,32.03,5416400
2017-02-28,31.94,32.17,31.74,32,4648000
2017-03-01,32.23,32.89,32.21,32.6,4863900
2017-03-02,32.6,32.82,32.32,32.51,4019400
2017-03-03,32.39,32.6,31.91,32.55,4308600
2017-03-06,32.31,32.51,32.18,32.41,3170800
2017-03-07,32.48,33.07,32.31,32.85,5767200
2017-03-08,32.88,33.43,32.78,33.3,3877600
2017-03-09,33.29,33.63,32.69,33.05,4185200
2017-03-10,33.38,33.89,33.31,33.57,5293800
2017-03-13,33.6,33.69,33.14,33.18,4662500
2017-03-14,33.07,33.16,32.53,32.9,2580100
2017-03-15,33.18,33.47,32.69,33.27,3115600
