Date,Open,High,Low,Close,Volume
2017-01-03,35.44,36.19,35.09,35.57,3218900
2017-01-04,35.37,35.95,35.19,35.65,2481400
2017-01-05,35.66,35.83,35.18,35.36,1875500
2017-01-06,35.36,35.71,35.16,35.23,1711800
2017-01-09,35.32,35.47,35.13,35.23,2140700
2017-01-10,35.28,35.72,35.16,35.25,3026000
2017-01-11,35.25,35.88,35.25,35.65,3006100
2017-01-12,35.52,35.88,35.08,35.81,2069800
2017-01-13,35.81,36.11,35.79,35.93,1250800
2017-01-17,35.54,35.97,35.46,35.56,1329000
2017-01-18,35.7,36,35.41,35.99,1313200
2017-01-19,35.89,36.19,35.61,35.83,2625900
2017-01-20,35.89,36.5,35.84,36.37,2358900
2017-01-23,36.3,36.49,35.77,36.17,2761700
2017-01-24,36.3,37.66,36.24,37.52,3172300
2017-01-25,37.93,38.5,37.77,37.95,3174400
2017-01-26,38.02,38.13,37.25,37.6,2144000
2017-01-27,37.71,37.87,37.3,37.76,1915500
2017-01-30,38.5,38.97,37.87,38.07,3516700
2017-01-31,37.85,38.42,37.48,38.32,2377800
2017-02-01,38.55,38.7,37.9,38.05,1892000
2017-02-02,37.89,38.36,37.58,38.24,1564800
2017-02-03,38.32,38.51,38.1,38.28,1458800
2017-02-06,38.18,38.63,38.13,38.36,2583700
2017-02-07,38.5,38.87,38.44,38.83,2459100
2017-02-08,38.71,39,38.43,38.96,2152600
2017-02-09,38.9,39.6,38.77,39.31,3378400
2017-02-10,39.43,39.72,38.97,39.45,2835500
2017-02-13,39.61,39.84,39.49,39.58,2844500
2017-02-14,39.9,39.9,39.36,39.52,2930400
2017-02-15,39.36,39.5,38.85,38.93,4894400
2017-02-16,40.8,42.18,40.36,40.56,8173100
2017-02-17,40.3,40.98,40.01,40.17,3930100
2017-02-21,40.16,40.68,40.11,40.52,3000600
2017-02-22,40.4,40.77,40.32,40.7,2839500
2017-02-23,40.8,41.11,40.45,40.94,3177000
2017-02-24,40.66,41.05,40.47,40.95,3146100
2017-02-27,40.87,41.38,40.77,41.27,3203100
2017-02-28,41.37,41.96,41.29,41.83,4647800
2017-03-01,42.02,43.14,41.83,43.01,4715100
2017-03-02,43.13,43.14,42.25,42.26,4062900
2017-03-03,42.33,42.83,42.24,42.8,2572200
2017-03-06,42.58,42.7,42.25,42.57,2283200
2017-03-07,42.43,43.08,42.35,42.66,3476800
2017-03-08,42.65,42.83,42.12,42.15,3888000
2017-03-09,41.96,42.25,41.75,41.98,2007400
2017-03-10,42.03,42.4,41.89,42.15,2301300
2017-03-13,42.27,42.39,41.93,41.99,3139800
2017-03-14,41.99,42.16,41.75,42.03,2593700
2017-03-15,42.31,42.44,41.89,42.22,2210400
2017-03-16,42.23,42.44,42.02,42.2,3181200
2017-03-17,42.25,42.43,42.06,42.06,4226200
2017-03-20,42.2,42.31,41.93,41.95,2330200
2017-03-21,42.01,42.09,40.84,40.91,2917900
2017-03-22,40.97,41.07,40.63,40.98,2597400
2017-03-23,40.96,41.29,40.79,40.9,3417300
2017-03-24,41.25,41.6,40.7,40.88,2686500
2017-03-27,40.52,41.11,40.3,40.9,2538900
2017-03-28,40.8,41.36,40.72,41.15,2309100
2017-03-29,40.9,41.61,40.83,41.59,3068600
2017-03-30,41.53,42.03,41.4,41.9,3119400
2017-03-31,41.85,42.05,41.44,41.85,4608200
2017-04-03,41.87,42.07,41.08,41.65,3464700
2017-04-04,41.42,41.71,41.06,41.19,3234300
2017-04-05,41.33,42.34,40.83,40.9,5029400
2017-04-06,41.14,41.27,40.69,41.05,4348100
2017-04-07,40.97,41.09,40.74,40.8,3102100
2017-04-10,40.89,41,40.36,40.41,2287300
2017-04-11,40.41,40.66,40.07,40.54,3109600
2017-04-12,40.69,40.72,39.61,39.65,3137800
