Date,Open,High,Low,Close,Volume
2007-01-03,39.5,40.89,38.91,39.95,5794700
2007-01-04,39.93,40,38.9,39.57,5140500
2007-01-05,39.57,39.65,38.76,39.07,3965900
2007-01-08,39.65,40.7,39.35,40.23,5272800
2007-01-09,40.3,40.43,39.6,39.74,4263100
2007-01-10,39.36,39.95,39.05,39.73,2943600
2007-01-11,39.76,40.78,39.76,40.06,4112300
2007-01-12,39.86,40.15,39.55,39.8,3446000
2007-01-16,39.94,40.11,39.35,39.83,3602000
2007-01-17,39.79,39.94,38.61,38.89,5356300
2007-01-18,38.77,38.79,37.64,37.71,7064600
2007-01-19,37.49,37.71,36.75,37.06,7430900
2007-01-22,37.02,37.06,36.28,36.5,5873100
2007-01-23,36.65,37.78,36.4,37.2,6445000
2007-01-24,37.26,38.11,37.26,37.64,4351600
2007-01-25,37.57,38.16,36.99,37.15,4757000
2007-01-26,37.19,37.28,36.44,36.73,3882300
2007-01-29,36.6,37.26,36.2,36.91,3208700
2007-01-30,37.12,37.83,36.51,37.68,6537800
2007-01-31,37.76,37.85,36.94,37.6,3682900
2007-02-01,37.9,38.47,37.03,37.31,4070700
2007-02-02,37.46,37.5,36.87,37.33,3012000
2007-02-05,37.17,37.7,36.79,37.52,3731000
2007-02-06,37.62,37.7,36.61,37.12,3458400
2007-02-07,37.34,38.19,37.22,38.12,4142400
2007-02-08,38.2,38.38,37.68,38.24,3283500
2007-02-09,38.4,38.49,37.56,37.7,2521900
2007-02-12,37.71,37.99,37.51,37.76,2628700
2007-02-13,37.79,37.91,37.19,37.34,3802500
2007-02-14,37.4,38.5,37.05,38.41,6151900
2007-02-15,38.53,40.42,38.53,40.3,13992400
2007-02-16,40.11,40.33,39.74,40.01,4303000
2007-02-20,40.01,40.49,39.76,40.49,5210300
2007-02-21,40.2,40.62,39.83,40.1,4629400
2007-02-22,40.18,40.37,39.41,39.88,3435600
2007-02-23,39.92,40.35,39.68,40.09,3884400
2007-02-26,40.35,40.4,39.43,39.65,4059300
2007-02-27,39.27,39.27,37.75,37.75,5744800
2007-02-28,38.04,38.89,37.5,38.67,6614400
2007-03-01,37.75,38.67,37.18,38.15,4150300
2007-03-02,37.95,38.26,37.32,37.32,3565700
2007-03-05,37.05,37.43,36.77,36.8,3794800
2007-03-06,37.04,37.63,36.81,37.31,3617200
2007-03-07,37.02,37.22,36.42,36.47,4835700
2007-03-08,36.95,38.24,36.85,37.72,5267300
2007-03-09,37.98,38.02,37.25,37.69,3215500
2007-03-12,37.6,38.54,37.6,38.23,4769400
2007-03-13,37.77,38.09,36.13,36.16,8106400
2007-03-14,36.4,36.53,35.44,36.3,8376800
2007-03-15,36.16,36.62,36.16,36.55,4850900
2007-03-16,36.55,36.77,36.16,36.72,4952000
2007-03-19,36.87,36.94,35.96,36.37,4677300
2007-03-20,36.38,36.94,36.3,36.82,3572900
2007-03-21,36.91,37.98,36.38,37.98,6394400
2007-03-22,38.2,38.2,37.46,37.65,3109800
2007-03-23,38.31,38.8,38.09,38.13,5734200
2007-03-26,38.13,38.53,37.74,38.52,2747300
2007-03-27,38.34,38.44,37.75,38.02,3588900
2007-03-28,37.81,37.93,36.38,36.42,6741600
2007-03-29,36.61,36.83,36.1,36.39,4857100
