Date,Open,High,Low,Close,Volume
1997-01-02,12.9375,13.5625,12.4375,13.5625,3406400
1997-01-03,13.625,14.125,13.5625,14,4087200
1997-01-06,14,14.3125,13.5625,14.25,3239600
1997-01-07,14.1875,15,14.0625,14.9375,5278600
1997-01-08,15.0625,15.0625,14.375,14.4375,4190000
1997-01-09,14.375,14.375,13.625,13.75,6088200
1997-01-10,13.375,14,13.375,13.875,5518000
1997-01-13,14.8125,15.4375,14.5,14.5,11178600
1997-01-14,15.375,16.625,15.375,16.25,17118000
1997-01-15,16.8125,17.3125,16.6875,16.8125,12613800
1997-01-16,16.9375,17.125,16.75,16.875,4495000
1997-01-17,16.9375,17.5,16.9375,17.5,4298800
1997-01-20,17.3125,17.3125,16.8125,17.1875,2858200
1997-01-21,16.875,17.4375,16.8125,17.125,2895600
1997-01-22,17,17.125,16.8125,16.875,2362200
1997-01-23,16.875,17.0625,16.25,16.25,4043200
1997-01-24,15.9375,16.4375,15.8125,15.875,4328200
1997-01-27,16,16.125,15.375,15.375,2382200
1997-01-28,15.875,16.1875,15.625,15.8125,2300800
1997-01-29,15.9375,16.5,15.8125,16.4375,2262000
1997-01-30,16.875,17.625,16.8125,17.5625,7756600
1997-01-31,17.4375,18.0625,17.25,17.5625,6308200
1997-02-03,17.5625,17.8125,16.9375,16.9375,2634400
1997-02-04,16.875,16.9375,16.375,16.9375,2478600
1997-02-05,16.9375,17.25,15.875,16.375,2809000
1997-02-06,16.5,16.875,16.375,16.8125,2694000
1997-02-07,17.125,17.4375,17.0625,17.25,2712200
1997-02-10,17.3125,17.375,16.4375,16.5,1191800
1997-02-11,16.625,16.8125,15.6875,16,3763800
1997-02-12,16,17.25,15.875,17.125,5965200
1997-02-13,17.1875,17.5,17.0625,17.0625,3512200
1997-02-14,17.125,17.25,16.875,16.9375,2178800
1997-02-18,16.9375,17.3125,16.75,17.25,1388400
1997-02-19,17.5,18.125,17.4375,17.75,5866400
1997-02-20,17.75,18.375,17.6875,18.1875,4769200
1997-02-21,18.1875,18.1875,17.375,17.375,3837000
1997-02-24,17.5,18.25,17.4375,18.1875,2994400
