Date,Open,High,Low,Close,Volume
2026-01-02,218.9,227.15,218.9,223.47,36446200
2026-01-05,230.25,234.02,220.48,221.08,31941100
2026-01-06,222.71,222.92,211.25,214.35,40033200
2026-01-07,212.13,212.13,207.17,210.02,29715500
2026-01-08,210.9,210.94,203.33,204.68,27505000
2026-01-09,205.72,207.3,203.07,203.17,24217300
2026-01-12,201.18,209.88,199.8,207.69,27287300
2026-01-13,215.1,223.11,214.98,220.97,56894900
2026-01-14,217.54,224.09,215.11,223.6,40466500
2026-01-15,227.9,238.35,227.22,227.92,55270200
2026-01-16,234.3,234.49,228.86,231.83,42545600
2026-01-20,226.08,239.5,225.41,231.92,44327700
2026-01-21,235.99,252.9,235.78,249.8,62385600
2026-01-22,251.75,256.08,246.63,253.73,37945000
2026-01-23,261.18,266.96,256.25,259.68,47525900
2026-01-26,256.75,258.29,250.3,251.31,30672500
2026-01-27,252.16,255.55,247.96,252.03,25691600
2026-01-28,254.13,257.4,250.21,252.74,27061200
2026-01-29,254.66,260.53,240.91,252.18,31685200
2026-01-30,236.93,245.24,234.55,236.73,40035700
2026-02-02,235.77,249.97,235,246.27,36308100
2026-02-03,251.55,252.65,237.04,242.11,53097100
2026-02-04,215,218.58,199.15,200.19,107173300
2026-02-05,201.86,204.04,190.72,192.5,62196400
2026-02-06,197.13,209.27,196.43,208.44,54504500
2026-02-09,206.9,217.6,204.15,216,38810800
2026-02-10,215.14,219.39,213.13,213.57,25326700
2026-02-11,217.88,219.65,209.21,213.58,33384700
2026-02-12,215.83,218.46,205.14,205.94,32181000
2026-02-13,204.02,210.05,203.88,207.32,26123900
2026-02-17,202.15,205.3,194.83,203.08,33712100
2026-02-18,198.41,203.2,195,200.12,35664100
2026-02-19,200.11,204.1,198.29,203.37,25842300
2026-02-20,200.12,204.87,198.56,200.15,36317300
2026-02-23,198.09,199.38,194.15,196.6,28187900
2026-02-24,211.63,216.71,206.5,213.84,81367000
2026-02-25,214.82,216.7,210.33,210.86,44588100
2026-02-26,208.8,209.79,201.46,203.68,35020500
2026-02-27,200.11,201.89,197.74,200.21,31312400
2026-03-02,193.85,198.74,190,198.62,34120200
2026-03-03,191.46,193.64,188.22,190.95,37785700
2026-03-04,192.12,202.44,189.86,202.07,40912600
2026-03-05,197.77,203.79,194.88,199.45,36000700
2026-03-06,195.27,200.24,191.25,192.43,33913800
2026-03-09,189.36,202.97,189.02,202.68,38877200
2026-03-10,202.51,206.59,202.2,203.23,29139200
2026-03-11,205.11,209.21,203.63,204.83,23076400
2026-03-12,202.83,203.62,196.67,197.74,28886900
2026-03-13,198.11,199.68,192.27,193.39,27561900
2026-03-16,194.98,200.17,194.8,196.58,30285200
2026-03-17,196.68,199.21,195.26,196.31,22779700
2026-03-18,196,202.86,195.75,199.46,28569100
2026-03-19,195.03,205.88,192.83,205.27,32245300
2026-03-20,204.89,206.3,198.26,201.33,37265100
2026-03-23,206.4,209.11,201.71,202.68,31857800
2026-03-24,201.39,206.43,200.13,205.37,27258800
2026-03-25,211.51,221.33,211.51,220.27,48518300
2026-03-26,217.98,221,203.43,203.77,49213000
2026-03-27,201.77,203.27,197.69,201.99,29206600
2026-03-30,204.95,208.43,192.87,196.04,41053300
2026-03-31,198.05,204,196.41,203.43,42318700
2026-04-01,207.59,213.83,205.84,210.21,40835800
2026-04-02,204.05,217.78,200.62,217.5,38463500
2026-04-06,219.28,226.31,217.73,220.18,30786400
2026-04-07,218.26,222.1,215.38,221.53,26483000
2026-04-08,232.12,234,227.09,231.82,35496400
2026-04-09,233.01,237.1,230.91,236.64,27126200
2026-04-10,239,249.58,238.96,245.04,36477200
2026-04-13,245.03,247.33,242.03,246.83,22781800
2026-04-14,249.79,255.46,245.7,255.07,25733200
2026-04-15,254.96,258.18,251.85,258.12,24695200
2026-04-16,264.99,279.34,261.51,278.26,64850800
2026-04-17,281,281.05,274.14,278.39,35519900
2026-04-20,280.6,287.61,272,274.95,34833900
2026-04-21,277.33,286.2,276.62,284.49,38950900
2026-04-22,291.22,304.25,286.14,303.46,49054200
2026-04-23,302.01,310.22,299.76,305.33,45619700
2026-04-24,336.76,352.99,334.54,347.81,81616700
2026-04-27,346.32,349.21,328.81,334.63,50585300
2026-04-28,311.86,327.5,310,323.21,43002500
2026-04-29,326.58,340.17,318.86,337.11,44704400
2026-04-30,341.36,354.96,332.6,354.49,42115300
2026-05-01,351.87,362.79,349.25,360.54,34279200
2026-05-04,360.31,361.85,338.7,341.54,42000200
2026-05-05,351.51,359.57,344.88,355.26,64235100
2026-05-06,409.49,430.6,402.04,421.39,87732200
2026-05-07,417.07,421.71,401.08,408.46,44885500
2026-05-08,418.59,456.29,418.29,455.19,58134900
2026-05-11,460.55,469.22,450.88,458.79,46085400
2026-05-12,449.25,458.8,426.11,448.29,39140100
2026-05-13,457.04,459.5,432.65,445.5,30423400
2026-05-14,440.6,453.31,435.68,449.7,26113600
2026-05-15,433.34,439,423.36,424.1,29131600
2026-05-18,429.5,438.8,410.71,420.99,28432100
2026-05-19,412.6,428.75,393.36,414.05,38756900
2026-05-20,428.04,449.39,426.05,447.58,36137500
2026-05-21,441.99,451.2,431.6,449.59,27252000
2026-05-22,469.84,481.41,461.71,467.51,34758600
2026-05-26,484.74,506.96,480.23,503.89,38473800
2026-05-27,508,510.21,486.66,495.54,27589300
2026-05-28,499,527.2,493.52,518.09,31438500
2026-05-29,520.8,522,503.43,516.1,30803200
2026-06-01,500.16,517.5,486.8,510.13,33309200
2026-06-02,506.3,522.49,501.22,521.54,24293200
2026-06-03,533.75,546.44,524.3,542.52,29411100
2026-06-04,514.75,532.19,499.87,523.2,29110000
2026-06-05,499.53,505.62,463.95,466.38,46900600
2026-06-08,485,494.97,477.71,490.33,25158800
2026-06-09,502.75,505,437.23,475.51,37799800
2026-06-10,467.97,477.45,448.33,452.4,27777400
2026-06-11,461.6,490.46,458.02,488.45,30463100
2026-06-12,499.69,521.71,494,511.57,31553100
2026-06-15,535.75,558.37,530.5,547.26,33482400
2026-06-16,546.89,548.95,507.25,507.29,28411700
