Date,Open,High,Low,Close,Volume
2007-05-04,8.25,8.5625,7.7575,7.825,94059600
2007-05-07,7.875,7.89,7.325,7.4375,18848800
2007-05-08,7.455,7.5,7.0725,7.125,11493600
2007-05-09,7.1275,7.32,6.94,7.08,8882400
2007-05-10,7.115,7.1375,6.8625,6.9225,5564000
2007-05-11,7.035,7.1,6.8025,6.8075,5238400
2007-05-14,6.8,7.15,6.795,6.9125,8377600
2007-05-15,6.9975,7.095,6.855,6.995,6286400
2007-05-16,7,7.11,6.925,7.0675,4160000
2007-05-17,7.1275,7.1375,6.8,6.83,2856800
2007-05-18,6.8875,6.8875,6.5375,6.655,6581600
2007-05-21,6.63,6.8525,6.5,6.7725,4286000
2007-05-22,6.83,6.99,6.79,6.8875,3120400
2007-05-23,6.9825,6.9975,6.7375,6.78,2124400
2007-05-24,6.78,6.8325,6.73,6.75,1847200
2007-05-25,6.86,6.86,6.78,6.8225,1087200
2007-05-29,6.85,6.95,6.775,6.8875,1769600
2007-05-30,6.4475,6.5125,6.135,6.4775,15253200
2007-05-31,6.45,6.5625,6.3125,6.375,3370800
2007-06-01,6.4375,6.65,6.38,6.635,2250400
2007-06-04,6.645,6.65,6.49,6.525,2384400
2007-06-05,6.5225,6.59,6.4625,6.5675,2524000
2007-06-06,6.5725,6.75,6.5,6.74,1992400
2007-06-07,6.7125,6.775,6.63,6.7,1666400
2007-06-08,6.65,6.945,6.65,6.935,3777600
2007-06-11,6.88,7.12,6.8125,7.06,2519200
2007-06-12,7,7.175,7,7.175,2747600
2007-06-13,7.25,7.2625,6.9125,6.9775,5999200
2007-06-14,6.975,7.0375,6.84,6.865,1942000
2007-06-15,6.8375,6.9875,6.8125,6.9875,2761600
2007-06-18,7,7.0075,6.875,6.9,1079200
2007-06-19,6.8875,6.9225,6.755,6.83,2138800
2007-06-20,6.8625,6.93,6.75,6.765,1376800
2007-06-21,6.715,6.7325,6.595,6.7125,1814000
2007-06-22,6.6975,6.6975,6.5,6.6025,18477200
2007-06-25,6.5625,6.5825,6.4025,6.5325,2904000
2007-06-26,6.5325,6.74,6.48,6.72,3236800
2007-06-27,6.65,6.87,6.6,6.8075,1542400
2007-06-28,6.79,6.83,6.705,6.805,1076400
2007-06-29,6.835,6.8375,6.72,6.7825,1390400
2007-07-02,6.8025,6.825,6.74,6.815,1738800
2007-07-03,6.7975,6.85,6.7375,6.8075,520400
2007-07-05,6.765,6.795,6.5675,6.7775,2328000
2007-07-06,6.16,6.4375,6.0625,6.2425,12674800
2007-07-09,6.25,6.28,6.0725,6.0875,4786800
2007-07-10,6.07,6.08,5.8725,5.8725,3232000
2007-07-11,5.875,6.0175,5.8375,5.9275,1888000
2007-07-12,5.97,6.12,5.925,6.06,3210800
2007-07-13,6.035,6.0825,5.9375,5.995,971600
2007-07-16,5.995,5.995,5.8775,5.885,1122400
2007-07-17,5.875,5.935,5.825,5.8525,894800
2007-07-18,5.8475,5.8675,5.625,5.7525,2709600
2007-07-19,5.755,5.86,5.5875,5.7025,2770800
2007-07-20,5.69,5.9,5.59,5.78,3820800
2007-07-23,5.8125,5.865,5.7225,5.7675,1235600
2007-07-24,5.7375,5.7475,5.4775,5.4975,3216400
2007-07-25,5.55,5.5825,5.39,5.45,3291200
2007-07-26,5.4025,5.55,5.25,5.495,3775200
2007-07-27,5.3875,5.875,5.375,5.7325,2681200
2007-07-30,5.9375,6.205,5.9325,6.1725,4410400
2007-07-31,6.1725,6.28,6.055,6.07,2237200
2007-08-01,6.1525,6.1525,5.795,6.0275,3210400
2007-08-02,6,6.215,5.9725,6.135,4287600
2007-08-03,6.1125,6.1725,5.8625,5.875,4175600
2007-08-06,5.9,5.9,5.5975,5.795,4097200
2007-08-07,5.75,6.0675,5.6725,6.005,4532800
2007-08-08,6.0725,6.3875,5.965,6.1425,2893200
2007-08-09,6.0375,6.375,5.975,6.2675,4125200
2007-08-10,6.2275,6.4225,6.2,6.2825,2589600
2007-08-13,6.3625,6.48,6.2725,6.3125,1907200
2007-08-14,6.35,6.3575,6.2125,6.215,1324000
2007-08-15,6.2425,6.435,5.935,6.015,1943200
2007-08-16,5.9975,5.9975,5.6525,5.9775,5587600
2007-08-17,6.1875,6.27,6.0075,6.1725,2996000
2007-08-20,6.1875,6.235,5.8725,6.1875,1635200
