Date,Open,High,Low,Close,Volume
2021-01-04,35.95,36.62,34.65,34.77,1062100
2021-01-05,35.05,36.34,35.02,36.13,790000
2021-01-06,37.12,38.34,36.98,37.79,1138800
2021-01-07,37.91,37.99,37.14,37.73,1000700
2021-01-08,37.88,37.89,36.44,36.98,718200
2021-01-11,36.17,37.39,36.02,37.25,582100
2021-01-12,37.55,38.35,37.3,37.84,796100
2021-01-13,37.97,38.04,36.98,37.07,534600
2021-01-14,37.34,38.85,37.07,38.56,1076100
2021-01-15,38.22,38.25,37,37.23,1021900
2021-01-19,37.75,38.59,37.51,38.25,724000
2021-01-20,38.39,39.02,38.17,38.55,690500
2021-01-21,38.31,38.78,38.21,38.55,689500
2021-01-22,37.98,38.72,37.72,38.56,784500
2021-01-25,38.02,38.49,37.11,37.44,551600
2021-01-26,38.08,38.08,36.69,36.92,417700
2021-01-27,35.98,36.77,35.33,36.62,718100
2021-01-28,37.34,38.48,37.26,37.38,841400
2021-01-29,37.43,37.43,35.52,35.56,786700
2021-02-01,36.1,36.31,35.45,36.02,759400
2021-02-02,36.72,37.02,36.25,36.5,1281300
2021-02-03,36.18,36.91,36.03,36.8,771900
2021-02-04,36.94,37.34,36.46,36.9,1106200
2021-02-05,37.34,37.84,37.18,37.58,701900
2021-02-08,37.71,39.17,37.71,38.79,683300
2021-02-09,38.74,38.74,37.99,38.44,668700
2021-02-10,38.76,38.92,38.33,38.55,865400
2021-02-11,38.51,38.97,38.08,38.95,647600
2021-02-12,38.8,39.85,38.56,39.81,586200
2021-02-16,40.06,40.71,39.15,39.18,1032100
2021-02-17,39.18,39.7,38.28,39.19,493300
2021-02-18,39.04,39.11,38.13,38.18,540900
2021-02-19,38.57,39.69,38.41,39.24,1141700
2021-02-22,39.28,40.23,38.94,39.14,2038900
2021-02-23,39.03,39.75,38.29,39.55,1619900
2021-02-24,37.01,39.15,36.35,38.75,2657300
2021-02-25,39.15,39.15,37.03,37.68,1191200
2021-02-26,37.55,37.88,36.45,37,1353100
2021-03-01,37.94,39.01,37.73,38.13,1574900
2021-03-02,38.01,38.26,37.43,37.82,1164500
2021-03-03,37.89,39.19,37.81,38.69,1383300
2021-03-04,38.76,39.26,37.46,38.41,1324200
2021-03-05,38.99,39.98,38.71,39.82,2280800
2021-03-08,40.22,42.14,40.11,41.28,1864700
2021-03-09,41.32,41.46,39.68,39.68,1064700
2021-03-10,39.8,40.76,39.68,40.32,885000
2021-03-11,40.22,41.37,39.79,40.81,1579200
2021-03-12,41.19,41.5,40.82,41.4,757100
2021-03-15,41.17,41.36,39.61,40.97,1475400
2021-03-16,40.64,40.88,39.85,39.95,1064300
2021-03-17,40.09,40.55,39.67,40.35,1224500
2021-03-18,40.53,42.24,39.6,39.76,1592400
2021-03-19,39.76,40.73,38.13,40.05,24350300
2021-03-22,39.92,40.1,38.98,39.46,1156800
2021-03-23,38.74,39.45,37.15,37.49,1365000
2021-03-24,37.88,39.07,37.77,37.82,1310000
2021-03-25,37.31,38.47,36.6,38.27,1560300
2021-03-26,38.88,39.52,38.51,39.45,735200
2021-03-29,39.2,39.74,38.66,38.85,751000
2021-03-30,39.01,39.49,38.72,39.19,506900
2021-03-31,39.43,39.6,38.56,38.81,735200
2021-04-01,39.15,39.5,38.77,39.46,605900
2021-04-05,39.96,40.33,39.54,39.87,682800
2021-04-06,39.86,40.71,39.8,40.14,809700
2021-04-07,40.16,40.36,39.61,39.75,591600
2021-04-08,39.5,39.83,38.93,39.79,876500
2021-04-09,39.89,40.08,39.19,39.74,568900
2021-04-12,39.81,39.88,39.42,39.78,451700
2021-04-13,39.57,39.57,38.56,38.96,775100
2021-04-14,39.14,40.26,39.06,39.68,1166500
2021-04-15,39.67,39.99,39.01,39.69,530500
2021-04-16,40.13,40.5,39.84,40.02,452800
2021-04-19,39.96,40.24,39.65,39.98,536000
2021-04-20,39.71,40.01,38.73,39.16,556500
2021-04-21,39.01,40.17,38.91,40.15,662600
2021-04-22,40.39,40.67,40.05,40.06,554300
2021-04-23,40.22,40.6,39.68,40.32,649200
2021-04-26,40.59,40.92,40.3,40.46,670200
2021-04-27,40.52,40.63,40.12,40.37,473400
2021-04-28,40.35,40.91,40.29,40.44,715200
2021-04-29,40.99,41.19,40.48,40.55,698200
2021-04-30,40.2,40.39,39.45,39.64,1529800
2021-05-03,40.35,40.98,39.98,40.46,854900
2021-05-04,40.47,41.98,39.92,41.92,1293500
2021-05-05,42.21,42.29,41.64,41.74,849700
2021-05-06,42,42.36,41.43,42.29,1061200
2021-05-07,41.84,42.83,41.6,42.65,768800
2021-05-10,43,43.71,42.59,42.6,811300
2021-05-11,41.97,42.47,41.48,41.76,683500
2021-05-12,41.93,42.31,40.69,40.69,810500
2021-05-13,40.51,42.42,40.48,42.1,647400
2021-05-14,42.29,43.41,42.12,43.21,750500
2021-05-17,42.86,43.53,42.64,43.49,637200
2021-05-18,43.5,43.79,42.73,42.76,884900
2021-05-19,41.92,41.96,41.16,41.75,606500
2021-05-20,41.89,41.89,41.09,41.81,681700
2021-05-21,42.26,42.75,41.94,42.22,438200
2021-05-24,42.46,42.59,41.82,42.36,533100
2021-05-25,42.37,42.81,41.87,41.94,745300
2021-05-26,42.1,42.21,41.72,42.08,589000
2021-05-27,42.7,42.82,42.43,42.62,606100
2021-05-28,42.62,42.62,42,42.39,584600
2021-06-01,42.9,43.28,42.67,43.25,503600
2021-06-02,43.45,43.45,42.25,42.46,906600
2021-06-03,42.25,42.88,41.92,42.8,1100100
2021-06-04,43.03,43.93,42.91,43.88,821200
2021-06-07,44,44.16,43.31,43.43,382800
2021-06-08,43.16,44.39,42.87,44.31,488400
2021-06-09,44.14,44.2,43.36,43.37,519300
2021-06-10,43.8,43.8,43.01,43.13,333300
2021-06-11,43.33,43.47,42.82,42.98,473200
2021-06-14,43.01,43.03,42.12,42.28,331300
2021-06-15,42.38,42.84,42.23,42.68,714100
2021-06-16,42.43,42.84,41.98,42.38,436800
2021-06-17,42.43,42.46,39.81,40.47,766900
2021-06-18,39.75,40.3,39.32,40.07,1031100
2021-06-21,40.47,41.37,40.39,41.32,545400
2021-06-22,41.32,41.32,40.46,40.85,530000
2021-06-23,41.03,41.14,40.6,40.6,406800
2021-06-24,40.61,40.9,40.01,40.76,952900
2021-06-25,40.92,41.41,40.83,41.18,936100
2021-06-28,40.98,40.98,39.94,40.23,541300
2021-06-29,40.56,40.85,39.45,39.67,1234200
2021-06-30,39.31,40.38,39.31,40.32,1472200
2021-07-01,40.7,40.91,40.14,40.18,1197800
2021-07-02,40.26,40.55,39.86,40.32,614600
2021-07-06,40.2,40.26,38.74,39.42,906400
2021-07-07,40.32,41.06,39.98,40.71,1066700
