Date,Open,High,Low,Close,Volume
2001-01-02,7.125,7.125,6.833333,6.875,714300
2001-01-03,6.958333,7.333333,6.875,7.333333,479100
2001-01-04,7.291667,7.375,7.1875,7.25,420900
2001-01-05,7.1875,7.1875,6.8125,6.8125,367800
2001-01-08,6.875,6.979167,6.833333,6.833333,321600
2001-01-09,6.9375,7.3125,6.916667,7.1875,240600
2001-01-10,7.291667,7.3125,6.958333,7.166667,410400
2001-01-11,7.083333,7.208333,7,7.0625,128700
2001-01-12,7.0625,7.229167,7,7.229167,310200
2001-01-16,7.1875,7.208333,7.041667,7.166667,191400
2001-01-17,7.166667,7.5,7.166667,7.354167,465000
2001-01-18,7.354167,7.375,7.125,7.354167,410100
2001-01-19,7.354167,7.8125,7.354167,7.708333,437400
2001-01-22,7.729167,7.833333,7.666667,7.666667,979200
2001-01-23,7.625,7.666667,7.375,7.458333,318600
2001-01-24,7.458333,7.583333,7.3125,7.354167,620700
2001-01-25,7.416667,7.458333,7.3125,7.375,544800
2001-01-26,7.458333,7.520833,7.354167,7.479167,287400
2001-01-29,7.5,7.566667,7.483333,7.533333,199800
2001-01-30,7.5,7.626667,7.5,7.623333,399000
2001-01-31,7.623333,7.64,7.503333,7.513333,215100
2001-02-01,7.566667,7.58,7.483333,7.516667,170400
2001-02-02,7.566667,7.663333,7.55,7.6,275400
2001-02-05,7.516667,7.533333,7.416667,7.516667,490200
2001-02-06,7.666667,7.783333,6.8,6.916667,1994700
2001-02-07,6.916667,6.996667,6.733333,6.976667,786600
2001-02-08,7.06,7.06,6.933333,6.973333,446400
2001-02-09,6.906667,7.03,6.906667,6.966667,287700
2001-02-12,6.966667,7.01,6.966667,7.01,308100
2001-02-13,7.033333,7.1,6.95,7.09,741300
2001-02-14,7.09,7.133333,7.05,7.086667,130500
2001-02-15,7.083333,7.3,7.083333,7.256667,505200
2001-02-16,7.256667,7.256667,7.126667,7.196667,429000
2001-02-20,7.266667,7.663333,7.253333,7.583333,765300
2001-02-21,7.663333,7.666667,7.396667,7.4,470400
2001-02-22,7.4,7.453333,7.353333,7.406667,413700
2001-02-23,7.406667,7.45,7.3,7.433333,267000
2001-02-26,7.383333,7.5,7.296667,7.333333,416700
2001-02-27,7.333333,7.333333,7.016667,7.02,494100
2001-02-28,7.07,7.083333,6.756667,7,459600
2001-03-01,6.983333,7.166667,6.933333,7.14,566100
2001-03-02,7.116667,7.333333,7.116667,7.333333,200100
2001-03-05,7.366667,7.626667,7.333333,7.58,194400
2001-03-06,7.663333,7.716667,7.663333,7.713333,339300
2001-03-07,7.713333,7.983333,7.7,7.966667,458400
2001-03-08,7.9,8.116667,7.5,7.583333,812700
2001-03-09,7.633333,7.783333,7.61,7.75,1153800
2001-03-12,7.75,7.76,7.55,7.566667,306300
